date,author,subject,recipient,title,filename,type,notes,notes2,file,old_date
1963-10-04,Raymond Moley,Cover letter offering staff-organization memorandum; encloses two pieces on Rockefeller's staff troubles,Barry Goldwater,NA,NA,Letter,Cover letter accompanying the campaign memo below,,Part 1,1963-10-04
1963-10-04,Raymond Moley,Memorandum on organizing a 1964 presidential campaign: separating political-organization staff from policy staff; historical review of 1936-1960 GOP campaign mistakes; recommended campaign topics,Barry Goldwater,NA,NA,Memorandum,Six-page strategy memo,,Part 1,1963-10-04
1963-10-07,Newsweek_Perspective_column,"IN THE press and in the talks which I have had with the ""anybodybut-Goldwater"" Republicans I note a sudden change in the criticisms of the Arizona senator. There is no longer a harping on the charge that he is an ""extremist."" Over the past six weeks Goldwater has in printed interviews and many press conferences stated his views on a great range of national and international issues.",NA,Goldwater's Education: RESOURCEFUL MIND,batch2_106_page0.txt,NA,NA,NA,NA,NA
1963-10-08,Barry Goldwater,Thanks Moley for the organization memorandum and agrees with its recommendations; comments on Rockefeller's attack on the Republican right wing,Raymond Moley,NA,NA,Letter,,,Part 1,1963-10-08
1963-10-15,Raymond Moley,Reports on McCarthy/Conservative Party effort to enter delegates in Ohio pledged to Goldwater; recounts conversation with John Bricker on Ohio politics,Barry Goldwater,NA,NA,Letter,,,Part 1,1963-10-15
1963-10-23,Raymond Moley,Comments favorably on Ed McCabe's appointment to head research operation; recommends Bob Humphreys; notes upcoming Financial World dinner introduction,Barry Goldwater,NA,NA,Letter,,,Part 1,1963-10-23
1963-10-25,Barry Goldwater,Thanks Moley for his column; discusses meeting with Ray Bliss on Ohio favorite-son strategy and comparison to Rockefeller/Wisconsin situation,Raymond Moley,NA,NA,Letter,,,Part 1,1963-10-25
1963-11-25,Newsweek_Perspective_column,IN RECENT weeks some admirers of Sen. Barry Goldwater have been complaining that their favorite has been too free with offhand opinions on large issues. Liberal Republicans hope that these comments of his may prevent his nomination. And Democrats are using them in behalf of Mr. Kennedy's re-election.,NA,Tamper With an Image?: ANOTHER FRONTIER,batch2_99_page0.txt,NA,NA,NA,NA,NA
1963-12-26,Raymond Moley (draft,Tony Smith and Bill Baroody (per handwritten routing note),attributed),NA,NA,Draft presidential candidacy announcement speech ('Grand Rapids Memorandum'): reflects on JFK's assassination and Lyndon Johnson as a Senate colleague; lays out conservative Republican critique of Democratic governance and formally offers Goldwater's candidacy for the Presidency,Draft/Speech,"13-page draft; handwritten routing note dated 12/26/63; content matches Goldwater's Jan 3, 1964 candidacy announcement themes",Part 3,1963-12-26
1964-01-13,Newsweek_Perspective_column,"IF BARRY GOLDWATER had the Presidency in mind twelve years ago when he left behind the pleasant life of a successful businessman and entered the arena of politics, the evidence fails to support it. There have been many perennial seekers of the Presidency in our history, and certain rituals have developed which border on superstition.",NA,Goldwater's Decision: POPULAR DEMAND,batch2_92_page0.txt,NA,NA,NA,NA,NA
1964-02-10,Raymond Moley,Notes irritation at Goldwater's critics 'lint-picking' his statements; encloses a newspaper piece defending him for syndication,Barry Goldwater,NA,NA,Letter,,,Part 2,1964-02-10
1964-02-18,Barry Goldwater,"Complains good-naturedly about trivial press criticism during the campaign (his wife's fur coat, his bad foot, his dog) from people who urged him to run; praises a position paper Moley had prepared",Raymond Moley,NA,NA,Letter,,,Part 3,1964-02-18
1964-02-25,Raymond Moley,Sympathizes about press complaints and the New Hampshire primary 'mare's nest'; predicts an easy win in Illinois; recounts 1932 New Hampshire primary story from Bob Jackson; announces a six-week trip through the South to Phoenix and California,Barry Goldwater,NA,NA,Letter,Two-page letter,,Part 3,1964-02-25
1964-04-13,Newsweek_Perspective_column,"PHOENIX—During the final weeks of the wretched New Hampshire primary campaign and since, a great deal of criticism of Senator Goldwater's management and managers has been published. Politics is like baseball. If the team is leading on Sept. 1, the manager is hailed as a genius.",NA,Goldwater's Managers: THE PRECEDENTS,batch2_79_page0.txt,NA,NA,NA,NA,NA
1964-04-23,Denison Kitchel,Encloses the press statement announcing Goldwater's cancellation of campaign appearances in Oregon and elsewhere,Raymond Moley,NA,NA,Letter,Third party (Goldwater for President Committee General Director); On Goldwater for President Committee letterhead,,Part 3,1964-04-23
1964-04-28,Raymond Moley,Requests convention tickets for supporter Felix W. Coste; mentions a newspaper piece on the Oregon primary and Goldwater's plans,Denison Kitchel,NA,NA,Letter,Third party (Goldwater campaign general director),,Part 2,1964-04-28
1964-06-01,Newsweek_Perspective_column,"This department has had nothing to say about Presidential politics since the NEWSWEEK issue of April 20. There has been nothing to say beyond speculation in the context of various primaries. These meant very little except that various possibilities for the GOP nomination were striving to nominate someone other than Goldwater, the leading contender.",NA,AFTER OREGON—WHAT?: ROCKEFELLER MONEY,batch2_72_page0.txt,NA,NA,NA,NA,NA
1964-06-22,Newsweek_Perspective_column,"The hysterical outcries of many politicians and pundits during the first days after the California primary were genuinely amusing. Perhaps the distemper which afflicted these people was due to their loss of faith in their own infallibility and influence. For after they had hammered Gold-water for more than two years with verbal artillery, a sufficient number of Republicans, by their primary votes and in their selection of delegates, seem to have made the nomination of the Arizona senator inevitable.",NA,AFTER THE PRIMARIES: WHAT MAINSTREAM?,batch2_69_page0.txt,NA,NA,NA,NA,NA
1964-07-13,Newsweek_Perspective_column,"Los Angeles—Eastern and Northeastern politicians and erstwhile leaders, as well as those who interpret them for us, fail to realize that in attacking Goldwater they are tilting at a symbol rather than a reality. The reality is a protest, deep and wide and powerful, among Republicans, homeless Democrats, and the politically unattached against past Republican Party control and also the sort of government we have had during the last 25 years.",NA,A PARTY REVOLUTION: FORCE AND OPTIMISM,batch2_66_page0.txt,NA,NA,NA,NA,NA
1964-07-27,Newsweek_Perspective_column,"San Francisco—Observers from overseas, as they have witnessed our noisy and seemingly disorderly national conventions, have wondered why, with this method of selecting candidates for the Presidency, we have had, with the exception of Britain, the most stable government on earth.",NA,WHAT IT MEANS: LONG BEGINNING,batch2_64_page0.txt,NA,NA,NA,NA,NA
1964-07-29,Raymond Moley,Congratulates the campaign on the San Francisco convention outcome; proposes a piece on the campaign's 'brains trust'; encloses a doctor's letter for Goldwater,Denison Kitchel,NA,NA,Letter,Third party (Goldwater campaign general director),,Part 2,1964-07-29
1964-08-02,Republican National Committee (press release),Announces appointment of Albert B. (Ab) Hermann as Special Assistant to RNC Chairman Dean Burch,n/a,NA,NA,Enclosure/Press Release,Not correspondence; enclosure in file,,Part 2,1964-08-02
1964-08-03,Newsweek_Perspective_column,"In the political comment before, during, and after the San Francisco convention the expression ""party control"" was frequently used. But what does party control mean? Is there such a thing? If so, what does it mean in the Republican Party now, after Goldwater's clear margin of victory in winning the nomination?",NA,PARTY CONTROL: INFLUENCE IN CONGRESS,batch2_63_page0.txt,NA,NA,NA,NA,NA
1964-08-03,Raymond Moley,"Forwards an alleged 'Fact' magazine psychiatrist questionnaire, warning it could be used to smear Goldwater; suggests RNC investigate",Denison Kitchel,NA,NA,Letter,Third party,,Part 2,1964-08-03
1964-08-10,Newsweek_Perspective_column,"While both Presidential candidates may labor to prevent pre-Civil War issues from playing a part in this campaign, there is nothing they can do about the ignition of a still more remote concern—the spirit of 1776.",NA,THIS IS OUR BUSINESS: THE 'LION'S PAW',batch2_62.txt,NA,NA,NA,NA,NA
1964-08-17,Newsweek_Perspective_column,"Two short sentences in Senator Goldwater's acceptance address in San Francisco which mentioned ""extremism"" and ""moderation"" seem to have diverted most comment from the essential theme of the speech.",NA,`NOT BY BREAD ALONE': `THE COMPLETE LIFE',batch2_61_page0.txt,NA,NA,NA,NA,NA
1964-08-19,Denison Kitchel,Thanks Moley for the copy of 'Fact' magazine material; reports the campaign is already investigating the smear attempt,Raymond Moley,NA,NA,Letter,Third party,,Part 2,1964-08-19
1964-08-24,Newsweek_Perspective_column,Many factors play a part in winning or losing an election. Some of these are unexpected events which cannot be anticipated or planned. But the major element in political success is organization.,NA,GOLDWATER'S STAFF-1: A PERSONAL ORGANIZATION,batch2_60_page0.txt,NA,NA,NA,NA,NA
1964-08-25,Edward A. McCabe (RNC Director of Research),"Thanks Moley for an advance sheet of his August 31 column, saying it accurately sets forth 'the case'",Raymond Moley,NA,NA,Letter,Third party; cc to Senators Tower and Curtis,,Part 2,1964-08-25
1964-08-26,William H. Peterson,"Handwritten note enclosing copies of his letter to Rep. William Miller on the 'white vote,' asking Moley to forward to McCabe and Kitchel",Raymond Moley,NA,NA,Note,Third party,,Part 2,1964-08-26
1964-08-26,William H. Peterson,"Recommends Goldwater give a speech to Black religious audiences on the 'moral side of civil rights,' placing blame for race riots on civil rights leaders and Democrats",William E. Miller,NA,NA,Letter,Third party; enclosure forwarded to Moley; cc Senators Tower and Curtis,,Part 2,1964-08-26
1964-08-28,Raymond Moley,"Forwards a communication from Bill Peterson (economist, U.S. Steel) without endorsing its content",Edward A. McCabe,NA,NA,Letter,Third party,,Part 2,1964-08-28
1964-08-31,Newsweek_Perspective_column,"I noted in last week's article that candidate Goldwater's working staff is divided into two distinct groups. One of these I have called the ""political"" group, which before the convention was concerned with maintaining state-by-state contacts and gathering pledged delegates and which from now on is concerned with gathering votes.",NA,GOLDWATER'S STAFF-II: THE SPECIALISTS,batch2_59_page0.txt,NA,NA,NA,NA,NA
1964-09-11,Raymond Moley,"Sends a draft speech expressing Goldwater's 'concept of the Presidency,' including a Roosevelt/Farley analogy applicable to Bobby Baker",William J. Baroody,NA,NA,Letter,Cover letter for enclosed 11-page draft speech below,,Part 2,1964-09-11
1964-09-21,Newsweek_Perspective_column,"In this campaign, as in the Republican fight for the nomination, Barry Goldwater will be assailed as an enemy of the social-security system. An appraisal of the facts will show that Lyndon Johnson is the one who presents a real threat to a system which is the keystone of the material lives of millions of Americans.",NA,INCOME WITH FREEDOM: ROOSEVELT'S PLAN,batch2_56_page0.txt,NA,NA,NA,NA,NA
1964-10-12,Newsweek_Perspective_column,"Last week I found it necessary to part with a bad tooth. After the Novocain had been administered, there was that dread pause while the stuff was performing its merciful mission of insensibility and before the short pull (euphemistically called the ""evulsion""). In that waiting moment the dentist asked: ""You don't think Goldwater can win, do you?""",NA,WHO'S REALLY FOR LBJ?: NO POINTING WITH PRIDE,batch2_53_page0.txt,NA,NA,NA,NA,NA
1964-10-19,Newsweek_Perspective_column,"At this stage of the campaign, when the critics of Senator Goldwater have long passed the limits of reason, it seems that anything the Republican candidates say is twisted to an argument that they should not only be defeated but crushed. If Goldwater says that black is black and white is white, they cry out that he has not considered gray.",NA,THE ISSUE OF MORALITY: 'MORAL ARISTOCRACY',batch2_52_page0.txt,NA,NA,NA,NA,NA
1964-10-26,Newsweek_Perspective_column,"If the acclaim now given by conservative people to Richard Nixon for his campaign over the nation in support of the Goldwater-Miller ticket had been accorded him by those same people in 1960, he would now be running for re-election as President, and John F. Kennedy and Lyndon B. Johnson would be senators from their respective states.",NA,NIXON'S ROLE IN 1964: RECORD OF LOYALTY,batch2_51_page0.txt,NA,NA,NA,NA,NA
1964-11-06,Raymond Moley,Post-election letter: notes losing an election means 'losing it twice'; praises Goldwater's 'gallant fight' and predicts a lasting conservative Republican Party,Barry Goldwater,NA,NA,Letter,,,Part 2,1964-11-06
1964-11-06,Raymond Moley,Post-election consolation; notes the 'perfect recipe for victory' offered by critics after defeat; praises the groundwork laid for a conservative GOP,Denison Kitchel,NA,NA,Letter,Third party,,Part 2,1964-11-06
1964-11-06,Raymond Moley,"Post-election consolation; reflects that success would have been hailed as genius, but defeat brings only recrimination",William J. Baroody,NA,NA,Letter,Third party,,Part 2,1964-11-06
1964-11-16,Newsweek_Perspective_column,"The egghead word for it has been ""consensus."" Before the San Francisco convention it was used to urge Republicans to take the middle way and present a candidate whose views were relatively indistinguishable from the presently established regime in Washington.",NA,INDISPENSABLE DISSENT: NO ERA OF HARMONY,batch2_48_page0.txt,NA,NA,NA,NA,NA
1964-11-24,William J. Baroody,Handwritten thank-you note for Moley's 'heartening' November 6 letter after the election,Raymond Moley,NA,NA,Note,Third party,,Part 2,1964-11-24
1964-11-30,Newsweek_Perspective_column,"Among all the published comments about the GOP's future, those of Richard Nixon make the most sense. Moreover, he has richly earned the right to be heard. No one except the candidates labored so hard in this campaign—200 speeches in 36 states.",NA,A PARTY'S NINE LIVES: NEED FOR SPECIFICS,batch2_46_page0.txt,NA,NA,NA,NA,NA
1964-12-01,Denison Kitchel,Thanks Moley for his November 6 letter and year-long counsel during the campaign; cc to Goldwater,Raymond Moley,NA,NA,Letter,Third party,,Part 2,1964-12-01
1965-01-18,Newsweek_Perspective_column,"What Republicans generally, and especially those who are members of the National Committee, should seek in the next few months is a moderation of the hysteria which followed the great November defeat. This is not to be attained by merely putting Dean Burch on the bloody sacrificial altar.",NA,"COOL OFF, REPUBLICANS!: OUTCRIES OF FRUSTRATION",batch2_39_page0.txt,NA,NA,NA,NA,NA
1965-03-15,Raymond Moley (unsigned,Barry Goldwater,attributed),NA,NA,Reflects on Vietnam War escalation; suggests Goldwater was spared a difficult presidency and that his 1964 warnings are being vindicated,Letter,Attribution inferred from style/context; no letterhead or signature block,Part 1,1965-03-15
1965-07-01,Clarke H. Morian Sr.,"Lists perceived Democratic-administration foreign policy 'blunders' (China, Pearl Harbor, Yalta/Potsdam, Bay of Pigs); urges public exposure of these",Barry Goldwater,NA,NA,Letter,"Marked Personal; cc to Raymond Moley at Newsweek; third party, not Moley himself",,Part 1,1965-07-01
NA,Barry Goldwater,Post-election reflections: finds humor in critics who 'once professed to be friends'; notes 27 million voters 'had guts' to vote their convictions; invites a post-election talk,Raymond Moley,NA,NA,Letter,Dictated in Phoenix Nov 22,,Part 2,NA
NA,Raymond Moley,"Handwritten note enclosing the 1960 Goldwater Newsweek piece, noting 'Andy Cullen thought you'd be interested'",Unspecified recipient,NA,NA,Note,Handwritten cover note accompanying the Aug 1 1960 clipping,,Part 2,NA
NA,Raymond Moley,"Draft introduction speech for a dinner event ('Introducing G'wat'), referencing the 'McKisson story'",Barry Goldwater,NA,NA,Draft/Speech,Likely tied to the Financial World dinner mentioned Oct 15/23 1963 letters,,Part 1,NA
NA,Raymond Moley,Handwritten cover note: suggestions for Goldwater's convention acceptance speech,Barry Goldwater,NA,NA,Note,Handwritten note accompanying draft speech text below,,Part 1,NA
NA,Raymond Moley (draft,Barry Goldwater,unsigned),NA,NA,"Draft convention acceptance speech material: themes of national unity, the two-party system, and foreign/economic policy (Vietnam, sound dollar)",Draft/Speech,Companion to handwritten note above,Part 1,NA
NA,Rowland Evans and Robert Novak (syndicated column),Inside Report: Goldwater's New Strategy' - describes campaign shake-up ahead of the California primary,Newspaper readers,NA,NA,Enclosure/Publication,Newspaper clipping; not correspondence between Moley and Goldwater,,Part 2,NA
NA,Raymond Moley (draft,n/a,for Goldwater),NA,NA,Draft speech on the concept and moral responsibilities of the Presidency; addresses standards of official integrity and the two-party system,Draft/Speech,,Part 2,NA
NA,1964),for Goldwater campaign),Raymond Moley (draft,NA,NA,n/a,Draft public statement explaining the decision to cancel further personal campaign appearances in the Oregon primary,,Part 2,NA
