docname	filename	year	pre	keyword	post
text21330	batch2_234_page0.txt	1961	The evidence is now before us through the enterprise of the press and the statements of members of Congress that the	John Birch Society	has so concentrated its attention on Communism and has become so vehement in its pursuit of that one issue that it has adopted methods and has made statements which must bring it into general disrepute . Specifically , Americans do not like the terms " monolithic " or " authoritarian " as applied to any American group or society . They resent loose and inaccurate name calling especially when applied to Presidents and other high officials who are charged by the people with responsibility for their protection . They don't like the idea of " infiltrating " various worthy organizations
text21965	batch2_241_page0.txt	1961	That there is no classroom or teacher shortage was proved by the prodigious research of Roger	Freeman	and presented in 1958 in his book " School Needs in the Decade Ahead . " This did more than anything else to forestall crash programs in Congress . His new book , " Taxes for the Schools , " presents with incontestable documentation the financial situation .
text21966	batch2_241_page0.txt	1961		Freeman	says that in 1958 the public schools cost the states and local districts $ 12 billion . He estimates that with pupil-teacher ratios declining and teachers ' salaries rising , by 1969-70 the annual school expenditures will reach $ 24 billion . Freeman's estimate is almost exactly the same as that of the Rockefeller Brothers ' Fund and the Committee for Economic Development .
text21966	batch2_241_page0.txt	1961	Freeman says that in 1958 the public schools cost the states and local districts $ 12 billion . He estimates that with pupil-teacher ratios declining and teachers ' salaries rising , by 1969-70 the annual school expenditures will reach $ 24 billion .	Freeman's	estimate is almost exactly the same as that of the Rockefeller Brothers ' Fund and the Committee for Economic Development .
text22074	batch2_243_page0.txt	1961	Roger A .	Freeman	, by long and pains -
text22083	batch2_243_page0.txt	1961	In his new book	Freeman	points
text25571	batch3_34_page0.txt	1960	A considerable number of programs have stimulated many thousands who have hitherto been negligent . Such programs are directed toward management employees and have also included interested individuals such as independent retailers , distributors , agents , and professional people . The	National Association of Manufacturers	and the U.S . Chamber of Commerce began their interest at about the same time . Meanwhile , many companies established programs of their own . Johnson & Johnson and General Electric were pioneers , followed by such corporations as Ford Motor , Republic Steel , Hercules Powder , Aerojet-General , American Can , Gulf , and Esso , together with other companies in almost every line of business . Programs vary in format , content , and suggested locations and times for instruction and discussion . In many , a trained leader handles small groups in six to twelve
text25571	batch3_34_page0.txt	1960	A considerable number of programs have stimulated many thousands who have hitherto been negligent . Such programs are directed toward management employees and have also included interested individuals such as independent retailers , distributors , agents , and professional people . The National Association of Manufacturers and the U.S .	Chamber of Commerce	began their interest at about the same time . Meanwhile , many companies established programs of their own . Johnson & Johnson and General Electric were pioneers , followed by such corporations as Ford Motor , Republic Steel , Hercules Powder , Aerojet-General , American Can , Gulf , and Esso , together with other companies in almost every line of business . Programs vary in format , content , and suggested locations and times for instruction and discussion . In many , a trained leader handles small groups in six to twelve " lessons " scheduled over a number
text25752	batch3_37_page0.txt	1960		FREEMAN	UPHELD
text25780	batch3_37_page0.txt	1960		Freeman	estimated in his 1958
text25995	batch3_41_page0.txt	1960	Until recently , no such guide for conservative voters has been available . But now that need has been supplied by the Civic Affairs Associates , Inc . , 2612 P Street , N.W . , Washington 7 , D.C . Its publication is called " The Free Citizens Voting Record . " Since it has involved an expensive job of preparation backed by no such organizations as the AFL-CIO and ADA , its cost is $ 5 for single copies , and $ 1 for 50 or more . Thus it is suitable for political organizations ,	chambers of commerce	, and trade associations rather than for general distribution . The booklet begins with a statement of the policies and principles on the basis of which its rating of members is calculated . These principles are stated under these general titles : The Free Market ; Limited Government ; Economy in Government ; Economic Growth With Stability ; Equality Under the Law With Elimination of Physical Coercion ; National Security . Its definition of these objectives conforms to what Americans not interested in radical change believe .
text30149	batch5_2_page0.txt	1958	views of their dominant members , it is vital to have citizens ' groups which will fight to make parties stand for realities . A citizens ' group has been organized to " preserve America as an economically stable , self-governing republic that may continue to provide its people with a widely distributed well-being and to serve as an example to the world of a continentwide civilization that can survive without resort to organized intolerance , economic class conflict , the liquidation of oppositions , or slavery to an all-powerful state . " The name of this group is "	Americans for Constitutional Action	. " Heading the list of distinguished Americans who constitute its board of trustees is Adm . Ben Moreell . The noted head of the famous Seabees in the war in the Pacific and more recently the president and chairman of the Jones and Laughlin Steel Co . is the sort of man who can make such a group a powerful force in support of enlightened and dynamic conservatism .
text30390	batch5_9_page0.txt	1958	conclusive denial is Roger	Freeman's	
text30415	batch5_9_page0.txt	1958		Freeman	estimates on the basis of
text30517	batch5_10_page0.txt	1958	Roger	Freeman	of the Institute for
text30552	batch5_10_page0.txt	1958	money ?	Freeman	concludes that while
text30566	batch5_10_page0.txt	1958	of digging by	Freeman	have gone into
text30571	batch5_10_page0.txt	1958	mented by	Freeman	, has to do with
text32051	batch5_35_page0.txt	1958		Chambers of Commerce	and manu -
text32054	batch5_35_page0.txt	1958	tions , the	Chamber of Commerce	of
text32108	batch5_35_page0.txt	1958		Chamber of Commerce	of the United
text33838	batch6_13_page0.txt	1957		Chambers of Commerce	claim it is .
text34781	batch6_25_page0.txt	1957	the	Chamber of Commerce	of the
text34962	batch6_29_page0.txt	1957		Chamber of Commerce	of the United
text36495	batch6_52_page0.txt	1956	election . In 1933 the foregoing New Deal items were supplemented and enacted into law . The TVA was the “ yardstick ” concept enlarged into a vast paternalism by George Norris , liberal Republican . The guarantee of bank deposits was suggested to the RFC by President Hoover and was put through in March 1933 against opposition by F.D.R . through the efforts of Jesse Jones , John N . Garner , and Senator Vandenberg . The NRA was created by Hugh Johnson out of several plans , the most definitive of which came from the president of the	Chamber of Commerce	of the United States . Those illustrate the essential unity of history of which Maitland wrote . The origins of the early New Deal were in both parties and in no party . The Maitland phrase , “ a seamless web , ” was actually used by F.D.R . to illustrate his belief in the basic unity of all economic interests . He also expressed this concept in a sentence , quoted by Freidel : “ I plead not for a class control but for a true concert of interests . ” That attracted many conservatives , who left in
text36926	batch6_62_page0.txt	1956	Tumulty , Steed , Anfuso ,	Buckley	,
text37680	batch6_70_page0.txt	1956		Chamber of Commerce	has sent out a
text39294	batch6_93_page0.txt	1955	A .	Freeman	, assistant to Governor
text39296	batch6_93_page0.txt	1955		Freeman	served as chief advisor to
text39304	batch6_93_page0.txt	1955	this subject with	Freeman’s	answers
text39312	batch6_93_page0.txt	1955	1954 .	Freeman	answers that this fig -
text39366	batch6_93_page0.txt	1955	perusal of this	Freeman	study , is that
text41048	batch6_116_page0.txt	1955	able Roger A .	Freeman	, had a point of
text41063	batch6_116_page0.txt	1955	Mr .	Freeman	, testifying before the
text47078	batch6_197_page0.txt	1953	The eight economists were Gottfried Haberler and Edward H . Chamberlin of Harvard , John Maurice Clark of Columbia University , Frank H . Knight and	Milton Friedman	of the University of Chicago , Kenneth E . Boulding of the University of Michigan , Paul A . Samuelson of the Massachusetts Institute of Technology , and David McCord Wright of the University of Virginia . Those familiar with the literature of economics will recognize that the attitudes of these men range over all shades of economic theory and ideology , from left to the extreme right . Each prepared a formal paper on a phase of labor economics and all were furnished with copies in advance in order to facilitate discussion . Each paper was read and followed
text49113	batch6_219_page0.txt	1953	State	Chamber of Commerce	, and
text51708	batch6_252_page0.txt	1952	IT WAS , I believe , John Chamberlain of * The	Freeman	* who created the expression " we-elite . " By this he meant people who falsely profess devotion to democracy but constantly speak of what " we " should do for people—the " we " meaning those who are talking . They conceive themselves , the " elite , " to be the sanctified ministers of enlightenment and the givers of every perfect gift .
text53022	batch6_270_page0.txt	1952	the work and ideas of	Freeman	L .
text53081	batch6_270_page0.txt	1952		Freeman	Guerin of Columbus , Ohio ,
text57998	batch7_33_page0.txt	1951	writes movingly in The	Freeman	of
text59042	batch7_46.txt	1950	To meet this need and to fill this void , there has been established The	Freeman	, the first issue of which appeared a month ago . It is a fortnightly and if , as time goes on it seems advisable , it will become a weekly . One of the editors of The Freeman is Henry Hazlitt , whose signed column appears and will continue to appear in Newsweek . Another is John Chamberlain , whose associations with other magazines and whose varied writings are well known . Suzanne La Follette is managing editor . These people are experienced journalists , courageous , and lucid exponents of enlightened economic , political , and literary opinion
text59042	batch7_46.txt	1950	To meet this need and to fill this void , there has been established The Freeman , the first issue of which appeared a month ago . It is a fortnightly and if , as time goes on it seems advisable , it will become a weekly . One of the editors of The	Freeman	is Henry Hazlitt , whose signed column appears and will continue to appear in Newsweek . Another is John Chamberlain , whose associations with other magazines and whose varied writings are well known . Suzanne La Follette is managing editor . These people are experienced journalists , courageous , and lucid exponents of enlightened economic , political , and literary opinion . They can offer the sort of thinking through editorials and special articles to counteract the vast pabulum of leftism that prevails so generally in print and over the radio these days .
text59043	batch7_46.txt	1950	When The New Republic was first published , 30-odd years ago , it was hailed as a stimulating protest against traditional thinking . But that protest has now well nigh become orthodoxy . The	Freeman's	great role is that of a protest against the new orthodoxy which holds that all good comes from the state . This new protest has the virtue , however , of conformity to the oldest and best traditions of American freedom—traditions that if neglected too long will wither and die .
text59044	batch7_46.txt	1950	The	Freeman	is sold mainly by subscription from its New York office . It is not only entitled to the support of sound people but will reward its readers with stimulating mental fare .
text59433	batch7_53_page0.txt	1950	"	Chambers of Commerce	who have
text74388	batch7_241_page0.txt	1946		National Association of Manufacturers	
text82682	batch7_390_page0.txt	1944	Portland has employed Robert Moses of New York City , who prepared a city plan for future improvements . L . Deming Tilton of the San Francisco Planning Commission has completed a comprehensive plan for that city . And in Los Angeles , a number of organizations and committees , including the state and the city	chambers of commerce	, are at work .
text100416	batch8_195_page0.txt	1939	" National security " would be an appropriate way to designate the theme of the annual Congress of American Industry recently held by the	National Association of Manufacturers	. " National " because in its extraordinarily well-planned program , in its statement of principles and in the general atmosphere surrounding the meetings the congress emphasized the broad interests of the nation rather than the narrower problems of industrial management alone . " Security " because the Congress sought to point the way to a spiritual and material knitting together of the many dissociated elements of our life through a healthy increase in productive power , an equitable distribution of the products of industry , a sound financial policy , a humane but workable division of responsibility for individual
text102164	batch8_211_page0.txt	1939	" American industry hates war , " says the	National Association of Manufacturers	. " We can and must stay out of war . " More , " industry opposes the utilization of war emergency to boost prices for the purpose of making excessive profits . "
text102165	batch8_211_page0.txt	1939	On three successive nights , Howard Coonley , president of the	National Association of Manufacturers	, Colby Chester and William B . Warner , past presidents , have amplified and explained these positions . " Industrialists of this country fear the dodges of war psychology , " said Mr . Warner ; " they prefer to face the task of solving difficult economic problems by the slow , and at times , cumbersome , but always sure democratic processes . Industry has no stomach for war . Let those whose standards permit choose that course ; but the manufacturer will not capitalize catastrophe . His memory of the debacle of the last conflict is too
text102169	batch8_211_page0.txt	1939	The Wall Street Journal , reflecting opinion of the financial center of the country , has made similar assertions . Likewise the	Chamber of Commerce	of the United States . Likewise Charles Belknap , executive vice president of the Monsanto Chemical Co . of St . Louis , who cogently points out that the chemical industry opposes participation in war because " wars are invariably followed by business depressions . . . War disrupts peacetime progress , substitutes temporary profits and long-term taxes for the long-term real profits of planned research and development . " There have been few occasions when business opinion in this country has so promptly and with such unanimity taken a position on a public question .
text108030	batch8_269_page0.txt	1938	If Charles R . Hook , president of the	National Association of Manufacturers	, were to attend a meeting of employers in a foreign country and were to shout to the international delegates assembled there that American labor unionists were attempting to impose Communism upon the United States , Washington would roundly condemn him for rattling the saber . And yet when the Beau Sabreur of labor , John L . Lewis , appearing before the International Labor Congress in Mexico City not so long ago , declared that American employers were attempting to bring about Fascism in the United States and that the great corporations were the enemies of the workers of
text113842	batch8_317_page0.txt	1937	The spark of peace between government and business glows cheeringly this week with the appearance of a conciliatory statement of principles by the	National Association of Manufacturers	. This platform for American industry describes the requirements of American industrial management in such a moderate tone and specifies them in such considered terms that it is at last possible to conceive of the Administration's finding common ground with business in the immediate job of checking the recession .
text114973	batch8_326_page0.txt	1937	your	Chamber of Commerce	friends . . .
text122433	1968-11-04_156128083_1_page0.txt	1968	NEW YORK—James	Buckley	, the
text122484	1968-11-04_156128083_1_page0.txt	1968		Buckley	and Paul O’Dwyer , who
text122488	1968-11-04_156128083_1_page0.txt	1968	But the poll shows	Buckley	running
text122490	1968-11-04_156128083_1_page0.txt	1968	O’Dwyer . For if	Buckley	runs fairly
text122509	1968-11-04_156128083_1_page0.txt	1968		Buckley	has 14.7 % of the straw
text122513	1968-11-04_156128083_1_page0.txt	1968	votes .	Buckley’s	percentage is
text122539	1968-11-04_156128083_1_page0.txt	1968	vote with	Buckley	, Rockefeller and
text122547	1968-11-04_156128083_1_page0.txt	1968	perhaps 200,000 votes to	Buckley	.
text123356	1968-09-04_156116870_1_page0.txt	1968		Buckley	. If a joint slate of electors
text123362	1968-09-04_156116870_1_page0.txt	1968	under the law to drop	Buckley	from
text136135	1966-03-13_155430602_1_page0.txt	1966	named	Freeman	, a dope addict for
text137876	1965-12-26_155362163_1_page0.txt	1965	is Prof .	Milton Friedman	
text138826	1965-11-14_155336802_1_page0.txt	1965		Buckley	, running as a can -
text138842	1965-11-14_155336802_1_page0.txt	1965	charged that	Buckley	was
text138866	1965-11-14_155336802_1_page0.txt	1965		Buckley	said a good ma -
text139286	1965-10-24_155312610_1_page0.txt	1965	And William F .	Buckley	
text139367	1965-10-24_155312610_1_page0.txt	1965		Buckley	. A considerable
text139368	1965-10-24_155312610_1_page0.txt	1965	part of	Buckley’s	Conservative Party vote is expected to be drawn from
text139382	1965-10-24_155312610_1_page0.txt	1965	More recently , the stinging rhetoric of	Buckley	
text139388	1965-10-24_155312610_1_page0.txt	1965	ignore	Buckley	.
text139389	1965-10-24_155312610_1_page0.txt	1965		Buckley	is provocative
text150950	1963-12-17_168440076_1_page0.txt	1963		DuPont	or IBM is , of
text152914	1963-08-13_168411548_1_page0.txt	1963	Arthur ( Red ) Motley of Parade Publications has labored for years to stimulate the interest of businessmen in politics—first as chairman of a committee of the U.S .	Chamber of Commerce	, and then as president of that body . Owing to his labors , the chamber developed courses in practical politics which have been given in hundreds of companies and communities to thousands of participants .
text153523	1963-07-08_168398865_1_page0.txt	1963		Chambers of Commerce	
text154359	1963-06-04_168312089_1_page0.txt	1963	The	Kennedy-Freeman	
text154393	1963-06-04_168312089_1_page0.txt	1963		Freeman	
text155823	1963-03-25_168294633_1_page0.txt	1963		Freeman	. The depart -
text155832	1963-03-25_168294633_1_page0.txt	1963	by Udall and	Freeman	,
text155865	1963-03-25_168294633_1_page0.txt	1963	Udall and	Freeman	or
text155898	1963-03-25_168294633_1_page0.txt	1963	that the	Udall-Freeman	
text157275	1963-01-27_168217805_1_page0.txt	1963		chamber of commerce	had
text162834	1962-05-20_168119752_1_page0.txt	1962	Secretary	Freeman	about
text163955	1962-03-25_168087974_1_page0.txt	1962	Over the past year , Liberals generally and liberal Democrats in particular have made a public relations killing by spreading the implication that the extremists in the	John Birch Society	and its leader , Robert Welch , represented conservatism generally and the Republican Party specifically .
text172601	1961-04-07_167851769_1_page0.txt	1961	The	John Birch Society	Imperils
text172876	1961-04-04_167875184_1_page0.txt	1961	In this and in a succeeding column I shall examine the claim by Robert Welch of Massachusetts , founder and spokesman of the	John Birch Society	, for the support of right thinking American conservatives .
text172878	1961-04-04_167875184_1_page0.txt	1961	In response to such questions I have strongly advised against having anything to do with the	John Birch Society	. For the published statements of Welch and his society have been in large part inimical to the fundamental American principles in which I have always believed .
text172890	1961-04-04_167875184_1_page0.txt	1961	This is the point at which the	John Birch Society	, whose sole purpose seems to be to cast a suspicion upon all Americans who do not limit their concern to fighting the Communist conspiracy , does not represent genuine conservatism .
text176078	1961-01-15_167775274_1_page0.txt	1961	controversy	Freeman	sus -
text177088	1960-12-23_167797369_1_page0.txt	1960		Freeman	carries to the
text185304	1960-08-06_167745146_1_page0.txt	1960	In a conversation Nixon mentioned a book he had recently read . It is a very big and important book , " The Constitution of Liberty , " by F . A .	Hayek	, an Austrian who once taught at the University of London and is now at the University of Chicago .
text185306	1960-08-06_167745146_1_page0.txt	1960	Nixon mentioned that he agreed in principle with the summing up in	Hayek's	final chapter . In that , Hayek rejects both conservatism and liberalism because of the historical changes which have attended both . His philosophy follows the basic principles of Edmund Burke , the younger James Madison , and the great French commentator , Tocqueville .
text185306	1960-08-06_167745146_1_page0.txt	1960	Nixon mentioned that he agreed in principle with the summing up in Hayek's final chapter . In that ,	Hayek	rejects both conservatism and liberalism because of the historical changes which have attended both . His philosophy follows the basic principles of Edmund Burke , the younger James Madison , and the great French commentator , Tocqueville .
text185308	1960-08-06_167745146_1_page0.txt	1960		Hayek's	philosophy , he says , is best described in the traditions of Burke , the younger Gladstone , Lord Acton and Bryce , " for whom liberty , rather than equality and democracy , was the main goal . "
text209270	1959-01-15_167391552_1_page0.txt	1959		Chamber of Commerce	.
text218763	1958-07-12_167353445_1_page0.txt	1958		Freeman	.
text218792	1958-07-12_167353445_1_page0.txt	1958	collar slaves .	Freeman's	
text219657	1958-07-01_167360378_1_page0.txt	1958	The bill's opponents include the believers in centralized big government . The AFL-CIO , the ADA , and the NAACP have testified strongly against it . Among the organizations that have supported it are the	National Association of Manufacturers	, the U.S . Chamber of Commerce , the American Farm Bureau , the Conference of Small Business Organizations , the Conference of State Labor Commissioners and State Labor Boards , the 48th annual Governors ' Conference , the National Association of States Attorneys General , and the American Bar Association .
text219657	1958-07-01_167360378_1_page0.txt	1958	The bill's opponents include the believers in centralized big government . The AFL-CIO , the ADA , and the NAACP have testified strongly against it . Among the organizations that have supported it are the National Association of Manufacturers , the U.S .	Chamber of Commerce	, the American Farm Bureau , the Conference of Small Business Organizations , the Conference of State Labor Commissioners and State Labor Boards , the 48th annual Governors ' Conference , the National Association of States Attorneys General , and the American Bar Association .
text231894	1957-03-26_167095904_1_page0.txt	1957	the	Chamber of Commerce	
text239063	1957-10-19_167220767_1_page0.txt	1957	first is that local	Chambers of Commerce	and other
text241433	1957-08-30_167108526_1_page0.txt	1957		Chamber of Commerce	. His
text259613	1955-11-27_166862893_1_page0.txt	1955	informed Roger A .	Freeman	
text260234	1955-11-22_166855868_1_page0.txt	1955	opinion ,	National Review	,
text260238	1955-11-22_166855868_1_page0.txt	1955	William F .	Buckley	Jr . ,
text260253	1955-11-22_166855868_1_page0.txt	1955	the youthful	Buckley	. In
text260258	1955-11-22_166855868_1_page0.txt	1955		Buckley	has unques -
text260275	1955-11-22_166855868_1_page0.txt	1955	of	National Review	is any
text260277	1955-11-22_166855868_1_page0.txt	1955	The	Buckley	magazine is
text260299	1955-11-22_166855868_1_page0.txt	1955		National Review	will prove
text262644	1955-08-16_166830036_1_page0.txt	1955		Freeman	presented his own
text262651	1955-08-16_166830036_1_page0.txt	1955	this study and	Freeman's	
text262679	1955-08-16_166830036_1_page0.txt	1955	ed in the	Bennion-Freeman	
text271979	1955-01-01_166722880_1_page0.txt	1955		Buckley	, Metcalf , Madden ,
text283171	1954-03-09_166606648_1_page0.txt	1954	and edited by F . A .	Hayek	. It
text284281	1954-03-30_166590982_1_page0.txt	1954	William F .	Buckley	Jr . and
text284289	1954-03-30_166590982_1_page0.txt	1954	like this . But	Buckley	, the
text287462	1953-02-26_166449508_1_page0.txt	1953	if	Chambers of Commerce	and
text292245	1953-09-24_166543465_1_page0.txt	1953	an article for the	Freeman	
text304094	1952-02-22_166362583_1_page0.txt	1952	by William F .	Buckley	Jr . ,
text304101	1952-02-22_166362583_1_page0.txt	1952	officers of this great institution into consternation . Replies to	Buckley	have been
text304117	1952-02-22_166362583_1_page0.txt	1952	and graduates of the institution to consider the	Buckley	
text304126	1952-02-22_166362583_1_page0.txt	1952		Buckley	: first , that in its educational offerings there prevails , especially in economics ,
text304135	1952-02-22_166362583_1_page0.txt	1952		Buckley's	charge is that in a
text304170	1952-02-22_166362583_1_page0.txt	1952	sides of a question . It is exactly what	Buckley	says it is — " indoctrination . "
text307162	1952-05-20_166337092_1_page0.txt	1952	ership of	Freeman	Guerin of
text307238	1952-05-20_166337092_1_page0.txt	1952	seems to me that	Freeman	
text314915	1951-07-18_166275214_1_page0.txt	1951		National Association of Manufacturers	to levy a tax that
text316147	1951-09-01_166261134_1_page0.txt	1951	States	Chamber of Commerce	,
text319970	1951-08-04_166229322_1_page0.txt	1951	political liabilities . For Bennett is a conservative businessman who has been president of the	National Association of Manufacturers	. Gov .
text322414	1951-06-04_166212377_1_page0.txt	1951		Chamber of Commerce	high -
text332526	1950-10-14_166114938_1_page0.txt	1950		Chamber of Commerce	
text368603	1945-04-01_165591542_1_page0.txt	1945	States	Chamber of Commerce	,
text371488	1945-02-17_165552002_1_page0.txt	1945	Eric Johnson of the U.S .	Chamber of Commerce	, emphasized
text374877	1944-11-26_165542989_1_page0.txt	1944	Frederick	Hayek	, in his extraordinary book , " The Road to Serfdom , " has recently pointed out the conflict between a planned economy and a flexible economy . He says , " If the changes in the distribution of men between different employments , which are constantly necessary in any society , can no longer be brought about by pecuniary ' rewards ' and ' penalties , ' they must be brought about by direct orders . " When a person's income is guaranteed , Hayek points out , he can neither be allowed to stay on his job merely
text374877	1944-11-26_165542989_1_page0.txt	1944	Frederick Hayek , in his extraordinary book , " The Road to Serfdom , " has recently pointed out the conflict between a planned economy and a flexible economy . He says , " If the changes in the distribution of men between different employments , which are constantly necessary in any society , can no longer be brought about by pecuniary ' rewards ' and ' penalties , ' they must be brought about by direct orders . " When a person's income is guaranteed ,	Hayek	points out , he can neither be allowed to stay on his job merely because he likes it nor to choose what other work he would like to do . Sooner or later , the happy coalition between government planners and politically organized labor will die a bitter death at this crossroad . The hold of union leaders over their men is based on increased wages . In wartime the unions have had to exercise little compulsion over their members , and thus good will within the unions has remained at a high point . But the leaders know that
text382131	1944-01-02_165501158_1_page0.txt	1944		chamber of commerce	officials
text389443	1943-09-23_165439589_1_page0.txt	1943	The	National Association of Manufacturers	has
text392352	1943-04-01_165416805_1_page0.txt	1943	been called "	chamber of commerce	so -
text393346	1943-01-05_165411136_1_page0.txt	1943	Not many people remember the Temporary National Economic Committee—once commonly known as the TNEC . But the New Dealers who plan to make over the world remember it . In fact , they plan to use its findings when they start to operate on us . Fortunately the	National Association of Manufacturers	remembers it , too , and has just brought out a systematic criticism of the 43 monographs written for the TNEC .
