"Box","Folder","Contents"
"4","15","1933"
"4","16","box 4, folder 16"
"4","16","Barrere, W. E."
"4","16","1965"
"4","17","box 4, folder 17"
"4","17","Barrett, Edward F."
"4","17","1952"
"4","18","box 4, folder 18"
"4","18","Barrett, Edward W."
"4","18","1937-1961"
"4","19","box 4, folder 19"
"4","19","Barriger, John W."
"4","19","1963"
"4","20","box 4, folder 20"
"4","20","Barrows, Sarah T."
"4","20","1918"
"4","21","box 4, folder 21"
"4","21","Barton, Bruce"
"4","21","1936-1963"
"4","22","box 4, folder 22"
"4","22","Bartunek, Emil A."
"4","22","1933-1935"
"4","23","box 4, folder 23"
"4","23","Baruch, Bernard M."
"4","23","1932-1960"
"4","24","box 4, folder 24"
"4","24","Baruch, Herman B."
"4","24","1936"
"4","25","box 4, folder 25"
"4","25","Bashford, J. C."
"4","25","1939"
"4","26","box 4, folder 26"
"4","26","Bassett, James"
"4","26","1965"
"4","27","box 4, folder 27"
"4","27","Batchelor, Bronson"
"4","27","1943"
"4","28","box 4, folder 28"
"4","28","Bates, Frank G."
"4","28","1917-1924"
"4","29","box 4, folder 29"
"4","29","Bathke, David"
"4","29","1965"
"4","30","box 4, folder 30"
"4","30","Battle, George Gordon"
"4","30","1931"
"4","31","box 4, folder 31"
"4","31","Battle, Kemp D."
"4","31","1933"
"4","32","box 4, folder 32"
"4","32","Bauer, Charles C."
"4","32","1943"
"4","33","box 4, folder 33"
"4","33","Baumer, William H."
"4","33","1959-1960"
"4","34","box 4, folder 34"
"4","34","Baumes, Cales H."
"4","34","1930"
"4","35","box 4, folder 35"
"4","35","Baumgardner, Fred J."
"4","35","1963"
"4","36","box 4, folder 36"
"4","36","Baumhoff, George W."
"4","36","1932"
"4","37","box 4, folder 37"
"4","37","Baxter, Lewis L."
"4","37","1933"
"4","38","box 4, folder 38"
"4","38","Bazinet, John L."
"4","38","1942"
"4","39","box 4, folder 39"
"4","39","Beard, Charles A."
"4","39","1914-1945"
"4","40","box 4, folder 40"
"4","40","Beard, Charles E."
"4","40","1943-1964"
"4","41","box 4, folder 41"
"4","41","Beardsley, W. W."
"4","41","1931-1934"
"4","42","box 4, folder 42"
"4","42","Beaubaire, Stanley"
"4","42","1938"
"4","43","box 4, folder 43"
"4","43","Beaverbrook, Lord"
"4","43","1950"
"4","44","box 4, folder 44"
"4","44","Beazell, W. P."
"4","44","n.d."
"4","45","box 4, folder 45"
"4","45","Becker, Margaret F."
"4","45","1937"
"4","46","box 4, folder 46"
"4","46","Beecher, Daniel"
"4","46","1931"
"4","47","box 4, folder 47"
"4","47","Beer, Henry Ward"
"4","47","1932"
"4","48","box 4, folder 48"
"4","48","Beer, Thomas"
"4","48","1934"
"4","49","box 4, folder 49"
"4","49","Beetson, Fred"
"4","49","1938"
"4","50","box 4, folder 50"
"4","50","Behan, Joseph C."
"4","50","1941"
"4","51","box 4, folder 51"
"4","51","Behney, Mrs. Charles Clyde"
"4","51","1953"
"4","52","box 4, folder 52"
"4","52","Behrman, Marguerite B."
"4","52","1941"
"4","53","box 4, folder 53"
"4","53","Behrman, Z. N."
"4","53","1936"
"4","54","box 4, folder 54"
"4","54","Belding, Donald"
"4","54","1956-1957"
"4","55","box 4, folder 55"
"4","55","Bell, A. Daniel"
"4","55","1937"
"4","56","box 4, folder 56"
"4","56","Bell, Elliott V."
"4","56","1943"
"4","57","box 4, folder 57"
"4","57","Bell, Frank T."
"4","57","1934"
"4","58","box 4, folder 58"
"4","58","Bell, J. Heywood"
"4","58","1957"
"4","59","box 4, folder 59"
"4","59","Bell, Robert S."
"4","59","1960"
"4","60","box 4, folder 60"
"4","60","Bellamy, George A."
"4","60","1938"
"4","61","box 4, folder 61"
"4","61","Bellamy, Paul"
"4","61","1934-1954"
"4","62","box 4, folder 62"
"4","62","Belmont, Alan H."
"4","62","1963"
"4","63","box 4, folder 63"
"4","63","Bemis, William H."
"4","63","1950"
"4","64","box 4, folder 64"
"4","64","Bender, Arthur"
"4","64","1937"
"4","65","box 4, folder 65-66"
"4","65","Bender, George H."
"4","65","1921-1955"
"4","67","box 4, folder 67"
"4","67","Bender, R. J."
"4","67","1932"
"4","68","box 4, folder 68"
"4","68","Benedum, M. L."
"4","68","1932"
"4","69","box 4, folder 69"
"4","69","Benesch, Alfred A."
"4","69","n.d."
"4","70","box 4, folder 70"
"4","70","Bennett, E. L."
"4","70","1919"
"4","71","box 4, folder 71"
"4","71","Bennett, Emmett L."
"4","71","1965-1966"
"4","72","box 4, folder 72"
"4","72","Bennett, Wallace F."
"4","72","1950-1962"
"4","73","box 4, folder 73"
"4","73","Benson, Elmer A."
"4","73","1943"
"4","74","box 4, folder 74"
"4","74","Benson, Ezra Taft"
"4","74","1954-1965"
"4","75","box 4, folder 75"
"4","75","Benson, George C. S."
"4","75","1955-1963"
"4","76","box 4, folder 76"
"4","76","Bentley, Alvin M."
"4","76","1960"
"4","77","box 4, folder 77"
"4","77","Benton, E. J."
"4","77","1917"
"4","78","box 4, folder 78"
"4","78","Benton, W. B."
"4","78","1936"
"4","79","box 4, folder 79"
"4","79","Bentson, Kenneth G."
"4","79","1958-1963"
"4","80","box 4, folder 80"
"4","80","Benz, Walter G."
"4","80","1943"
"4","81","box 4, folder 81"
"4","81","Berea News"
"4","81","1933"
"5","1","box 5, folder 1"
"5","1","Berg, Mrs. Gerhard"
"5","1","1961"
"5","2","box 5, folder 2"
"5","2","Berge, Albert"
"5","2","1941"
"5","3","box 5, folder 3"
"5","3","Berger, John A."
"5","3","1941"
"5","4","box 5, folder 4"
"5","4","Berle, A. A."
"5","4","1932-1937"
"5","5","box 5, folder 5"
"5","5","Berlin, Richard"
"5","5","1938"
"5","6","box 5, folder 6"
"5","6","Bernard, Jessie"
"5","6","1954-1955"
"5","7","box 5, folder 7"
"5","7","Bernays, Edward L."
"5","7","1937-1965"
"5","8","box 5, folder 8"
"5","8","Bernstein, Pearl"
"5","8","1936"
"5","9","box 5, folder 9"
"5","9","Bernstein, S. L."
"5","9","1934"
"5","10","box 5, folder 10"
"5","10","Berry, George L."
"5","10","1936"
"5","11","box 5, folder 11"
"5","11","Berry, John"
"5","11","1936"
"5","12","box 5, folder 12"
"5","12","Berry, M. H."
"5","12","1937"
"5","13","box 5, folder 13"
"5","13","Berry, M. M."
"5","13","1926-1932"
"5","14","box 5, folder 14"
"5","14","Berry, M. W."
"5","14","1956"
"5","15","box 5, folder 15"
"5","15","Bertrana, Raymond"
"5","15","1938-1939"
"5","16","box 5, folder 16"
"5","16","Best, Richard A."
"5","16","1965"
"5","17","box 5, folder 17"
"5","17","Best, Robert D."
"5","17","1961"
"5","18","box 5, folder 18"
"5","18","Bettman, Alfred"
"5","18","1932-1933"
"5","19","box 5, folder 19"
"5","19","Betts, Joseph"
"5","19","1952"
"5","20","box 5, folder 20"
"5","20","Bevis, Howard L."
"5","20","1933"
"5","21","box 5, folder 21"
"5","21","Beyle, Herman C."
"5","21","1931-1934"
"5","22","box 5, folder 22"
"5","22","Biben, Joseph H."
"5","22","1938"
"5","23","box 5, folder 23"
"5","23","Biddle, D. M."
"5","23","1934"
"5","24","box 5, folder 24"
"5","24","Biddle, Francis"
"5","24","1942"
"5","25","box 5, folder 25"
"5","25","Biegal, Herman C."
"5","25","1932"
"5","26","box 5, folder 26"
"5","26","Bigbee, North"
"5","26","1937"
"5","27","box 5, folder 27"
"5","27","Bigelow, Eugene K."
"5","27","1934"
"5","28","box 5, folder 28"
"5","28","Biggers, John D."
"5","28","1936-1939"
"5","29","box 5, folder 29"
"5","29","Billi, Giovanni"
"5","29","1936"
"5","30","box 5, folder 30"
"5","30","Billikopf, Jacob"
"5","30","1931"
"5","31","box 5, folder 31"
"5","31","Bilter, Margery"
"5","31","1962"
"5","32","box 5, folder 32"
"5","32","Bingay, Malcolm W."
"5","32","1950"
"5","33","box 5, folder 33"
"5","33","Bingham, Robert W."
"5","33","1932"
"5","34","box 5, folder 34"
"5","34","Birch, S. M."
"5","34","1943"
"5","35","box 5, folder 35"
"5","35","Bird, Caroline"
"5","35","1966"
"5","36","box 5, folder 36"
"5","36","Bird, Elisha Brown"
"5","36","n.d."
"5","37","box 5, folder 37"
"5","37","Bisno, Julius"
"5","37","1937"
"5","38","box 5, folder 38"
"5","38","Bistor, J. E."
"5","38","1934"
"5","39","box 5, folder 39"
"5","39","Bittinger, Donald S."
"5","39","1963"
"5","40","box 5, folder 40"
"5","40","Bittum, Harriet"
"5","40","1921"
"5","41","box 5, folder 41"
"5","41","Black, Mrs. Arla Robin"
"5","41","1934"
"5","42","box 5, folder 42"
"5","42","Black, George"
"5","42","1933"
"5","43","box 5, folder 43"
"5","43","Black, Marvin M."
"5","43","1939"
"5","44","box 5, folder 44"
"5","44","Black, Mrs. Theda L."
"5","44","n.d."
"5","45","box 5, folder 45"
"5","45","Black, Shirley Temple"
"5","45","1960"
"5","46","box 5, folder 46"
"5","46","Black, William Harman"
"5","46","1931-1964"
"5","47","box 5, folder 47"
"5","47","Blackburn, Katherine C."
"5","47","1936"
"5","48","box 5, folder 48"
"5","48","Blackett, H. W."
"5","48","1941"
"5","49","box 5, folder 49"
"5","49","Blackman, Samuel G."
"5","49","1952"
"5","50","box 5, folder 50"
"5","50","Blakely, Paul L."
"5","50","1940"
"5","51","box 5, folder 51"
"5","51","Blaker, Mrs. Ernest"
"5","51","1933"
"5","52","box 5, folder 52"
"5","52","Blair, Henry T."
"5","52","1933"
"5","53","box 5, folder 53"
"5","53","Blair, Ida"
"5","53","1924"
"5","54","box 5, folder 54"
"5","54","Blake, Gibson"
"5","54","1930"
"5","55","box 5, folder 55"
"5","55","Blandy, I. C."
"5","55","1936"
"5","56","box 5, folder 56"
"5","56","Bliss, Ray C."
"5","56","1962-1966"
"5","57","box 5, folder 57"
"5","57","Bloch, Robert G."
"5","57","1939"
"5","58","box 5, folder 58"
"5","58","Block, Paul"
"5","58","1938"
"5","59","box 5, folder 59"
"5","59","Blodgett, John W."
"5","59","1942"
"5","60","box 5, folder 60"
"5","60","Bluestone, Mr. H. I."
"5","60","1933"
"5","61","box 5, folder 61"
"5","61","Blum, Herman"
"5","61","1951"
"5","62","box 5, folder 62"
"5","62","Blumenthal, Eugene"
"5","62","1943"
"5","63","box 5, folder 63"
"5","63","Blumenthal, Henry"
"5","63","1964"
"5","64","box 5, folder 64"
"5","64","Boasberg, Rickie"
"5","64","1933"
"5","65","box 5, folder 65"
"5","65","Boate, John W."
"5","65","1954"
"5","66","box 5, folder 66"
"5","66","Boas, Franz"
"5","66","1936"
"5","67","box 5, folder 67"
"5","67","Boddie, William W."
"5","67","1949"
"5","68","box 5, folder 68"
"5","68","Boddy, Manchester"
"5","68","1949"
"5","69","box 5, folder 69"
"5","69","Bodyfish, Morton"
"5","69","1936-1965"
"5","70","box 5, folder 70"
"5","70","Bodine, Stanley R."
"5","70","1939"
"5","71","box 5, folder 71"
"5","71","Boer, Benjamin C."
"5","71","1933"
"5","72","box 5, folder 72"
"5","72","Boettiger, John"
"5","72","1942"
"5","73","box 5, folder 73"
"5","73","Boettiger, Mrs. J. H."
"5","73","1964"
"5","74","box 5, folder 74"
"5","74","Bogert, Stanley"
"5","74","1921"
"5","75","box 5, folder 75"
"5","75","Bogue, Arthur Hoyt"
"5","75","1933"
"5","76","box 5, folder 76"
"5","76","Bohlmann, Elsie"
"5","76","1951"
"5","77","box 5, folder 77"
"5","77","Bohn, Frank"
"5","77","1933-1953"
"5","78","box 5, folder 78"
"5","78","Bohn, William E."
"5","78","1931-1960"
"5","79","box 5, folder 79"
"5","79","Bohner, Edward E."
"5","79","1921"
"5","80","box 5, folder 80"
"5","80","Boissard, George R."
"5","80","1943"
"5","81","box 5, folder 81"
"5","81","Bolin, William"
"5","81","1930"
"5","82","box 5, folder 82"
"5","82","Bolton, Oliver P."
"5","82","1964"
"5","83","box 5, folder 83"
"5","83","Bomer, Charles F."
"5","83","1934-1936"
"5","84","box 5, folder 84"
"5","84","Bonbright, James C."
"5","84","1930-1937"
"5","85","box 5, folder 85"
"5","85","Bond, Horace M."
"5","85","1955"
"5","86","box 5, folder 86"
"5","86","Bond, Merritt"
"5","86","1933"
"5","87","box 5, folder 87"
"5","87","Bonds, Dr. A. B., Jr."
"5","87","1957-1960"
"5","88","box 5, folder 88"
"5","88","Bonds, Mrs. A. B., Jr."
"5","88","1957"
"5","89","box 5, folder 89"
