"","date","entryDate","year1","Title","Abstract","StoreId","filename1","filename"
"13",1969-03-31,"Mar 31, 1969",1969,"The Voice of the Nation","The hoodlums, hippies and the cold-blooded academic revolutionists seem to have succeeded far beyond their lurid dreams. For they have not only disrupted our great system of higher education and frustrated our college and university administrators but have seeming-...",156134247,"156134247_1","156134247_1.pdf"
"14",1969-03-24,"Mar 24, 1969",1969,"Administration's Not Yet Up to Scratch, on Itch for Jobs","The late Homer Cummings, who was Franklin D. Roosevelt's first attorney general, was a wise and witty statesman.",156184671,"156184671_1","156184671_1.pdf"
"15",1969-03-10,"Mar 10, 1969",1969,"Electoral College Muddle","For something like 165 years members of Congress and others have been trying to find a better way to elect Presidents. Only once have these efforts succeeded in amending the Constitution--in 1804 when Amendment 12 was added.",156150365,"156150365_1","156150365_1.pdf"
"16",1969-02-11,"Feb 11, 1969",1969,"President Doesn't Rule","President Nixon's visit to the various federal departments and his little speeches to workers employed in the countless offices bordering on the endless corridors were something more than routine matters. As an old Washington hand, he realizes well that if he is to succeed...",156091677,"156091677_1","156091677_1.pdf"
"17",1969-02-03,"Feb 3, 1969",1969,"Youth: Presentable and...","While driving west last week I stopped for lunch in Alpine, West Texas. Opposite the restaurant is Sul Ross State College and in the dining room were several of the students. After the discomfort suffered while viewing the slovenly dress and haircuts of so many...",156155253,"156155253_1","156155253_1.pdf"
"18",1969-01-27,"Jan 27, 1969",1969,"Rich Public Servants","When Jesus said that it was """"easier for a camel to pass through the eye of a needle than for a rich man to enter into the Kingdom of Heaven,"""" it is recorded that his disciples """"wondered very much."""" And a good many people, including some U.S.",156068526,"156068526_1","156068526_1.pdf"
"19",1969-01-20,"Jan 20, 1969",1969,"How to Restructure the GOP","The meeting between Presidentelect Nixon and Republican National Committee Chairman Ray Bliss on Jan. 10 was far from a mere routine affair. For their amicable discussion of the role of the Republican organization should play during the coming years and the announce-...",156056638,"156056638_1","156056638_1.pdf"
"20",1969-01-06,"Jan 6, 1969",1969,"Taiwan's Model Land Reform","In April of this year the Republic of China will celebrate the 20th anniversary of the flight of its president, Chiang Kai-shek, with his army and other faithful followers from Mainland China to the province of Taiwan. But as a successor of President Sun Yat-sen, he also...",156084867,"156084867_1","156084867_1.pdf"
"21",1968-12-30,"Dec 30, 1968",1968,"Vietnam Land Reform Crucial","A major reason why the United States became involved in the war in Vietnam was the failure of the Diem government to meet its promise of land-holding reform. For as the fulfillment of that promise lagged, the National Liberation Front, or Viet Cong, undoubtedly...",156039199,"156039199_1","156039199_1.pdf"
"22",1968-12-23,"Dec 23, 1968",1968,"Federal Reorganizations Hardly Likely but Some Could Be Used!","It's doubtful whether any new Cabinet officer ever took over the department to which he was assigned without big and bright ideas about how it should be reorganized. And the 12 good men and true who were presented by President-elect Nixon will he no exceptions.",156166906,"156166906_1","156166906_1.pdf"
"23",1968-12-16,"Dec 16, 1968",1968,"GOP Pros Support Bliss","At the recent Republican Governors Conference in Palm Springs, Calif., a resolution was adopted commending the services of Ray Bliss as chairman of the Republican National Committee. That was a part of the reaction in the GOP to persistent rumors ever since the...",155990746,"155990746_1","155990746_1.pdf"
"24",1968-12-04,"Dec 4, 1968",1968,"Reform of the Property Tax Has Been Noticeably Unmentioned","The country has now emerged from a long presidential campaign in which at least two candidates, Richard Nixon and Hubert Humphrey, were aided by considerable collections of economists and speech and statement writers. Millions of words have been spoken or written...",156030856,"156030856_1","156030856_1.pdf"
"25",1968-12-02,"Dec 2, 1968",1968,"New Administration Faces Old Battle With Bureaucratic Breed","In 1953, shortly after the Eisenhower Administration took over, I called on Douglas McKay, the new Secretary of the Interior. I had called at his office more than once when he was governor of Oregon.",156100304,"156100304_1","156100304_1.pdf"
"26",1968-11-27,"Nov 27, 1968",1968,"The Indispensable Ray Bliss","At this writing President-elect Nixon has neither confirmed nor denied persistent rumors that he will seek to replace Ray Bliss as Republican national chairman. Such a change would be most unfortunate at a moment when a vigorous and united GOP is so essential to the...",156182297,"156182297_1","156182297_1.pdf"
"27",1968-11-25,"Nov 25, 1968",1968,"Fewer Presidential Advisers?","President-elect Nixon has intimated that be plans to reduce the size and influence of the President's inner staff of advisers. This, like so many New Year's resolutions, may not outlast the winter. But it shows that he understands what has become a serious disarrangement in...",156137392,"156137392_1","156137392_1.pdf"
"28",1968-11-20,"Nov 20, 1968",1968,"... of More 'Antis' Than 'Pros'","A favorite bit of Sen. Everett Dirksen's philosophy is that a political party doesn't win an election; the other one loses. This implies that people vote against and not for a candidate or party. Sometimes that has been true. More often it has not been true.",156135469,"156135469_1","156135469_1.pdf"
"29",1968-11-18,"Nov 18, 1968",1968,"Different Kind of President","No doubt in the histories to be written in the years ahead there will be innumerable interpretations of the character of Richard Nixon. In that respect he may share the fate of Woodrow Wilson--the jury in that case is still unable to reach a verdict.",156033283,"156033283_1","156033283_1.pdf"
"30",1968-11-11,"Nov 11, 1968",1968,"Nixon Has Re-established the Two-Party System in the U.S.","For the past three weeks I have been telling friends that if Hubert Humphrey was gaining, as seemed probable, it would be either Richard Nixon or chaos.",156149187,"156149187_1","156149187_1.pdf"
"31",1968-11-06,"Nov 6, 1968",1968,"Our Wayward Universities","  There have been many classical of the lost ideal of the university. It was the place, in a busy society pursuing multitudinous purposes, where a relatively small number of mature intellects might study, do research, think and draw to themselves young learners who might succeed their elder mentors or go out into the world with...",156069256,"156069256_1","156069256_1.pdf"
"32",1968-11-04,"Nov 4, 1968",1968,"Two-Party System's Future","  James Buckley, the Conservative Party's candidate for the Senate seat now held by Jacob Javits, is well qualified for the office which he seeks. But the real significance of his candidacy is far more important than winning or losing any office.",156128083,"156128083_1","156128083_1.pdf"
"33",1968-10-30,"Oct 30, 1968",1968,"A Few Good Words for Spiro T. Agnew","  Experience has taught me that the worst place to view the impact of a national campaign is from an office in New York or Washington. It is like attempting to enjoy the majesty and beauty of a mountain range from a cabin on the foggy bottom of a valley.",155977452,"155977452_1","155977452_1.pdf"
"34",1968-10-28,"Oct 28, 1968",1968,"The Long-Wallace Contrast","Occasionally in the mounting pile of newsprint about George Wallacc there is mention of similarity with Huey Long, long since sanctified in the byways and bayous of Louisiana. It is true that there are similarities. But the contrasts are much more important.",156069269,"156069269_1","156069269_1.pdf"
"35",1968-10-23,"Oct 23, 1968",1968,"The Travail of Modern Campaigning","In these final, frenzied days of our presidential campaign we are witnessing the heavy price our political system is paying for two mechanical marvels: the jet plane and television. These inventions, some claim, have enriched our civilization. But so far as they are used in choosing a...",156000410,"156000410_1","156000410_1.pdf"
"36",1968-10-21,"Oct 21, 1968",1968,"Aiding Poor Is Noble, but Does It Elect Presidents?","It is tragic irony that Lyndon Johnson's preoccupation with the needy and underprivileged should be the greatest mistake in the career of that superpolitician. History may give him high marks for his moral choices. But it has been his fate to preside over this country in a time...",156113480,"156113480_1","156113480_1.pdf"
"37",1968-10-16,"Oct 16, 1968",1968,"...to Hear the Grass Grow?","Politics will never lose its fascination so long as elections are unpredictable. Pollsters have been trying for years to destroy that fascination. But despite their efforts, humans remain inscrutable.",156070188,"156070188_1","156070188_1.pdf"
"38",1968-09-25,"Sep 25, 1968",1968,"The Sea Power Argument Is Strong Vietnam War Backing","Any educated naval officer can give you a better reason for American presence in Vietnam than we hase yet heard from President Johnson, Vice President Humphrey or any of the other candidates. For our real responsibility in this war centers upon what is known as sea...",155931641,"155931641_1","155931641_1.pdf"
"39",1968-09-18,"Sep 18, 1968",1968,"Is U.S. Ready to Lend an Ear to Nixon's 'Forgotten' People?","James Reston, serving as always as the cat's whiskers for New York Times' readers, comments about Richard Nixon's appeal in his acceptance speech to the """"forgotten"""" people. These are, as Nixon described them, those Americans who don't complain but whose industry...",156061830,"156061830_1","156061830_1.pdf"
"40",1968-09-04,"Sep 4, 1968",1968,"Humphrey May Win N.Y. Over GOP-Conservative Impasse","The New York Democratic Party's delegates in Chicago certainly vied with those from California, Wisconsin and Near Hampshire for the brass medal for clownishness. But due to an impasse between the Republican and Conservative parties in New York, a situation may...",156116870,"156116870_1","156116870_1.pdf"
"41",1968-08-21,"Aug 21, 1968",1968,"Agnew and the 'Flynn Rule'","No doubt Richard Nixon, in choosing Gov. Spiro Agnew as his companion on the Republican ticket, was following a rule laid down by the late Edward J. Flynn in 1944. Flynn, long master of the Bronx and in 1940 the Democratic national chairman, was Franklin Roosevelt's...",156043764,"156043764_1","156043764_1.pdf"
"42",1968-08-14,"Aug 14, 1968",1968,"Our Captive Presidents","In a scene in his play, """"Abraham Lincoln,"""" John Drinkwater shows the President resting after a day spent visiting the troops at the front. He is lounging in a chair with his feet in another chair. Over his long legs there is an Army blanket. His young secretary, John Hay, is...",156017299,"156017299_1","156017299_1.pdf"
"43",1968-08-12,"Aug 12, 1968",1968,"The Voice of the Nation","The presidential campaign this year will be distinguished by an extraordinary fact. For the major issue will be something about which neither the President nor the Congress can do much.",156042958,"156042958_1","156042958_1.pdf"
"44",1968-08-06,"Aug 6, 1968",1968,"Is the GOP a Minority Party?","In his campaign for the nomination, Gov. Nelson Rockefeller has constantly claimed that the GOP is a minority party. The figures used show that Republicans are only 27% of the electorate.",155954875,"155954875_1","155954875_1.pdf"
"45",1968-07-31,"Jul 31, 1968",1968,"Popular Election of Presidents? There Are Two Major Objections","A proposal has been advanced to exact a pledge from the two major parties to elect in the House the major presidential candidate who would be operative if either major candidate fails to have the electoral majority of 270 votes. Such a scheme could not in practice succeed, but,...",155949896,"155949896_1","155949896_1.pdf"
"46",1968-07-22,"Jul 22, 1968",1968,"Political Parties Play Vital Role in U.S. Government","There are many Americans who seem to be appalled at the prospect that the two major candidates for President, Richard Nixon and Hubert Humphrey, are loyal party men. And that they will be nominated by delegates who themselves are loyal party members.",155992380,"155992380_1","155992380_1.pdf"
"47",1968-06-19,"Jun 19, 1968",1968,"Must We Have Primaries to Prove Pollsters Wrong?","The tumult and the shouting in and about the presidential primaries are now still for another four years. Have they left us better able to choose a President in November, or later if neither major candidate gets a majority of electoral votes? Are we more enlightened about the issues...",155912803,"155912803_1","155912803_1.pdf"
"48",1968-06-12,"Jun 12, 1968",1968,"Coalitions and Communists","If Charles de Gaulle were not so busy dealing with anarchy at home, he might take a hand in our American political campaign. For he revealed in Canada last year that he has no hesitation about meddling in political affairs abroad.",155924641,"155924641_1","155924641_1.pdf"
"49",1968-06-05,"Jun 5, 1968",1968,"Goldwater's Libel Suit Could Improve Government","In summing up for the defense in Barry Goldwater's libel suit against the now defunct Fact magazine, its publisher and managing editor, the lawyer said that the plaintiff's motive was to help his campaign for senator in Arizona.",155934511,"155934511_1","155934511_1.pdf"
"50",1968-05-29,"May 29, 1968",1968,"And If the Democrats Deadlock?","The heated contest for the Democratic presidential nomination is providing such a volume of newspaper copy that one possible outcome seems to be given little or no attention. That is the quite possible deadlock which may happen when the Democrats meet in Chicago in...",155882831,"155882831_1","155882831_1.pdf"
"51",1968-05-22,"May 22, 1968",1968,"True Priorities for Water","""""Reappraisal"""" is a word which has gained great favor in current discourse. Presidential candidates have been reappraising their decisions whether to run ever since January. Congress and the President are reappraising their fiscal policies.",155926423,"155926423_1","155926423_1.pdf"
"52",1968-05-15,"May 15, 1968",1968,"The Constitution Revisited","The convulsions that are so shaking what we choose to call our American civilization have finally revealed the essential inconsistency in what only a decade or two ago was called """"liberalism."""" For the modern """"liberal,"""" unlike the liberal of a century ago, favors a greatly...",155919997,"155919997_1","155919997_1.pdf"
"53",1968-05-08,"May 8, 1968",1968,"This 'Participatory Democracy'","The humiliation of Columbia University by hoodlums--some of whom were students and some, like Stokely Carmichael and H. Rap Brown, lawless revolutionists--is a very good example of a concept called """"participatory democracy.",155924577,"155924577_1","155924577_1.pdf"
"54",1968-04-24,"Apr 24, 1968",1968,"Do the Presidential Primaries Really Have Any Importance?","After the bones of absent neighbors have been thoroughly stripped, the drying course of conversation can be augmented by the questions:",155909192,"155909192_1","155909192_1.pdf"
"55",1968-04-17,"Apr 17, 1968",1968,"Rights: Heat Without Light","It may be that the tragic end of Martin Luther King Jr. and the emotional convulsions that followed will bring about certain clarity to the movement for Negro rights. At least that must be the hope of those who kept calm during the hurricane.",155905619,"155905619_1","155905619_1.pdf"
"56",1968-04-03,"Apr 3, 1968",1968,"The Durable Dean Rusk Has Finally Come Into His Own","In the first year of the Kennedy Administration I wrote a piece saying that Dean Rusk had little option but to resign as secretary of state. We writing people do that sort of thing. It makes us sound brave and informed in the ways of government.",155860680,"155860680_1","155860680_1.pdf"
"57",1968-03-27,"Mar 27, 1968",1968,"Illusion of GOP Disunity","Nelson Rockefeller's press conference on March 21 may, as time rolls on, be appraised not only as his finest hour but as a moment of awakening among all thoughtful Republicans. It should in retrospect rise above all the cynicism of pundits and politicians, although as...",2727244486,"2727244486_1","2727244486_1.pdf"
"58",1968-03-20,"Mar 20, 1968",1968,"Bobby's White House Bid Is the Stuff of Medieval Legend","Before I wrote this present piece, I had written another after I had studied and reflected a bit upon the New Hampshire returns. It dealt with the speculation about the import of those returns upon Robert Kennedy's character, methods and ambitions. But I hesitated about...",2727259792,"2727259792_1","2727259792_1.pdf"
"59",1968-03-13,"Mar 13, 1968",1968,"Report on Civil Disorders Spurs Wallace's Growth","William S. White is correct when he says that the most obvious beneficiary of the report of the President's Commission on Civil Disorders will be George Wallace. For every riot between now and the election will provoke a reaction among the whole population, from...",155900004,"155900004_1","155900004_1.pdf"
"60",1968-03-06,"Mar 6, 1968",1968,"How Democracy 'Democs'","Whatever one may think of the qualifications of George Romney or of his presentation of the issues, he was the representative of a sizable minority faction of the Republican Party known by such names as the Eastern Establishment or the moderate or liberal wing.",156004391,"156004391_1","156004391_1.pdf"
"61",1968-02-26,"Feb 26, 1968",1968,"McCarthy vis-a-vis La Follette","As Eugene McCarthy carries his message through the state of Wisconsin, many an old-timer up there will draw comparisons--and contrasts--with the elder Robert M. La Follette, who also defied the leaders in his party during most of his lifetime.",155824553,"155824553_1","155824553_1.pdf"
"62",1968-02-12,"Feb 12, 1968",1968,"'Peace' Negotiations---the Communist Way of Strife","Most Americans, except the few who have been directly involved, fail to realize how Communists turn any form of negotiation to their advantage. Friedrich Nietzsche, the German philosopher, said something to the effect that a good war justifies any cause.",155830627,"155830627_1","155830627_1.pdf"
"63",1968-02-05,"Feb 5, 1968",1968,"Danger in Social Services","The inspiration which led to our adoption of a system of old-age pensions in the mid-1930s came from Lloyd George's national insurance legislation 15 years before. In 1919 the famous Welsh chancellor of the exchequer proposed a """"war budget"""" against poverty, saying that poverty...",155831703,"155831703_1","155831703_1.pdf"
"64",1968-01-31,"Jan 31, 1968",1968,"Frankfurter and Flattery","If Felix Frankfurter had respected the independence of the Supreme Court as much as he said he did, he would not have written most of the letters and telegrams now published with commentary by Max Freedman in """"Roosevelt &amp; Frankfurter: Their Correspondence, 1928-1945"""" (Little,...",155747146,"155747146_1","155747146_1.pdf"
"65",1968-01-29,"Jan 29, 1968",1968,"Rising Crime Is an Immediate Problem and Needs Answer Now","In the time you spend reading this newspaper--unless it is the Sunday edition and with due adjustments for the time of day in which you perform that civic duty--four or five automobiles are stolen in New York City. If you use the crime statistics in your own city, you can...",155839958,"155839958_1","155839958_1.pdf"
"66",1968-01-22,"Jan 22, 1968",1968,"The Frosty Fruit of Thrift","If Henry Mencken were alive, he might find rich material for another chapter of his sardonic comments on democracy in New Hampshire's quadrennial tragicomic presidential primary. But I, lacking Mencken's genius, must content myself with a recital of the facts.",155817695,"155817695_1","155817695_1.pdf"
"67",1968-01-17,"Jan 17, 1968",1968,"Much Can Be Said Against Restrictions on Travel","I learn from people in the immense travel industry that the first reaction to the President's unhappy New Year's message to the people was a flurry of reservations for travel abroad. They say that the same reaction greeted the President's plea to restrict foreign travel two years...",155771466,"155771466_1","155771466_1.pdf"
"68",1968-01-14,"Jan 14, 1968",1968,"Decline of the U.S. Senate","A useful exercise in adult education is to review, after 10 or more years, what we were taught in college. Too often we find that what we heard or read then has been disproved by what has happened since.",155829652,"155829652_1","155829652_1.pdf"
"69",1968-01-07,"Jan 7, 1968",1968,"Church's Answer to Communism","Those pessimists who doubt the growth of tolerance in the United States might well consider the years 1928 and 1967. Thirty-nine years ago there were, no doubt, many thousands who believed the rumor that if the Democrat Alfred E. Smith were elected President, the Pope or his...",155799887,"155799887_1","155799887_1.pdf"
"70",1968-01-01,"Jan 1, 1968",1968,"Health Institutes Demonstrate How Riches Can Produce Waste","In domestic affairs President Johnson acts on the principle--if it be called a principle--that any ill in our society can be cured by throwing a lot of money at it. If its existence is widely known, doing a lot about it is therefore productive of popularity and votes.",155810797,"155810797_1","155810797_1.pdf"
"71",1967-12-27,"Dec 27, 1967",1967,"Waste in Health Services","Whoever does something that he says is to relieve people of the pain and suffering the flesh is heir to clothes himself in shining armor. This not only assures his popularity but portrays his critics as mean and miserly.",155785937,"155785937_1","155785937_1.pdf"
"72",1967-12-24,"Dec 24, 1967",1967,"Erosion of Fabric of Order","While so much of the Western world pauses to observe the commemoration of the birth of Jesus Christ, a bit of reflection might be given to the relationship between the individual and the state in which he lives.",155929622,"155929622_1","155929622_1.pdf"
"73",1967-12-17,"Dec 17, 1967",1967,"The Grim Threat of Lawlessness","It is a chilling reminder of the state of our allegedly free society when a President of the United States is compelled to visit a great American city under a heavy veil of secrecy. But that is what I witnessed on Dec. 7 from my office window, which overlooks St.",155762181,"155762181_1","155762181_1.pdf"
"74",1967-12-13,"Dec 13, 1967",1967,"Is the U.S. Pricing Social Security Out of Business?","President Johnson and his boy, Gardner Ackley, don't like the rise in steel prices. Neither do the companies, the steelworkers and that perennial victim of inflation, the American consumer.",155793118,"155793118_1","155793118_1.pdf"
"75",1967-12-10,"Dec 10, 1967",1967,"Private Pension Plans in Peril","  Amendments to the Social Security system are coming out of a House-Senate conference committee, will be passed by both houses and will be signed by the President. Under the law the benefits now paid to 20-odd million people will rise sharply and progressively over a...",155908255,"155908255_1","155908255_1.pdf"
"76",1967-12-07,"Dec 7, 1967",1967,"Bob Kennedy's 'Hypocrisy'","  Robert F. Kennedy has now enlarged the area of his conflict with the President by raising a serious moral issue. He has also convicted himself of hypocrisy by saying in the same interview--and, by broad inference, in his book--that his disagreement with Mr.",155804811,"155804811_1","155804811_1.pdf"
"77",1967-12-03,"Dec 3, 1967",1967,"Unhorse Sen. Lausche?--A Young Buckeye Will Try","  Despite the strength of the Republican Party in Ohio and its dominance there since Richard Nixon carried it in 1960, there has always been a scarcity of Republicans who have dared to challenge the remarkable Frank J. Lausche. For in an official career of 35 years...",155717703,"155717703_1","155717703_1.pdf"
"78",1967-11-19,"Nov 19, 1967",1967,"Why the Presidential Ambition?","Ike Hoover served as usher in the White House for many years. Early in F. D. R.'s Administration--probably in 1933 1934--in a reminiscent mood, he told me of the impressions he had formed of the Presidents he had seen come and go. He said that he had never seen a...",155729303,"155729303_1","155729303_1.pdf"
"79",1967-11-12,"Nov 12, 1967",1967,"Tax Loopholes Are Facing Trouble","There is considerable uneasiness in the business community and elsewhere about the news that the Treasury Department is working on plans to close some of the loopholes in tax laws and in its administration. No Specific information has been given out, but it is widely believed...",155780520,"155780520_1","155780520_1.pdf"
"80",1967-11-05,"Nov 5, 1967",1967,"A Convalescence in Anger","Doctors and nurses, as well as relatives and friends, have often noted that a patient's unhappiness and complaints increase rapidly after illness has turned toward recovery.",155909823,"155909823_1","155909823_1.pdf"
"81",1967-10-29,"Oct 29, 1967",1967,"Nixon's View About Vietnam","If the Republican Party selects Richard M. Nixon to oppose President Johnson in 1968, it will have in its representative a real master of Asiatic affairs. His knowledge of that vast area from the Aleutians to Australia has accumulated over no less than 13 years.",155846145,"155846145_1","155846145_1.pdf"
"82",1967-10-22,"Oct 22, 1967",1967,"They're Legislating Inflation...!","Perhaps the name and jurisdiction of the House committee had something in do with the monstrous hybrid it created, for the Committee on Post Office and Civil Service used to be the Committee on Post Office and Post Roads. And so now, instead of looking after the postal service...",155865411,"155865411_1","155865411_1.pdf"
"83",1967-10-15,"Oct 15, 1967",1967,"Wrongness of Public Strikes","If the strike of New York City's teachers had been no more than a short disruption of a big school system, it would not be worth retrospective comment.",155785444,"155785444_1","155785444_1.pdf"
"84",1967-10-08,"Oct 8, 1967",1967,"Presidential Prestidigitation","We need not wait until Lyndon Johnson slips into the shadow of history to begin an appraisal of his special political genius. (In foreign policy, he must be judged by events to come. That is not our concern here.) Like most intelligent politicians, his private estimate of the...",155741787,"155741787_1","155741787_1.pdf"
"85",1967-10-01,"Oct 1, 1967",1967,"Today, the Resplendent Debtor","In the decade before World War I there was a group of historians who interpreted American political life as a perennial struggle between debtors and creditors. That issue was predominant in the decisive campaigns of 1800, 1828 and 1896. In the first two, frontier farmers,...",155858910,"155858910_1","155858910_1.pdf"
"86",1967-09-25,"Sep 25, 1967",1967,"1968 Presidential Race Will Be Totally Unlike '64","Every presidential campaign differs from all that preceded it. And 1968 will be radically unlike 1964.",155790539,"155790539_1","155790539_1.pdf"
"87",1967-09-17,"Sep 17, 1967",1967,"The Circularity of Revolutions","This writer is neither a Chinahand nor a more-than-casual Chinawatcher. What I know of the convulsions of Chairman Mao Tsetung's empire is from sources generally available. And since Britain's ox is now being gored, the best accounts are in the London press.",155817408,"155817408_1","155817408_1.pdf"
"88",1967-09-11,"Sep 11, 1967",1967,"Inflation Sprints Across Canada Spurred by Lag in Productivity","It has not required a visit to Expo 67 to convince me that Canada is in the grip of an inflation which is even more serious than we are experiencing in the United States. Rather than venturing to endure the congestion in Montreal, I spent my vacation in the eastern provinces of...",155820592,"155820592_1","155820592_1.pdf"
"89",1967-08-13,"Aug 13, 1967",1967,"Battleship Reactivation Order Caps Years of Naval Prodding","After months and years of pleading by high-ranking Navy officers, Defense Secretary Robert S. McNamara has finally ordered the great battleship New Jersey recommissioned for action off Vietnam. No one seems to know the reason for the deplorable delay.",155744587,"155744587_1","155744587_1.pdf"
"90",1967-08-06,"Aug 6, 1967",1967,"Tax Practices Subsidize Slums","I have waited to comment on the Negro riots--especially in Newark--until the first tidal wave of published comment has spent itself. For every sort of reformer has contributed suggestions, of infinite variety, and much of what has been said is unsupported by any intimate...",155858174,"155858174_1","155858174_1.pdf"
"91",1967-07-30,"Jul 30, 1967",1967,"Nineveh and Tyre Are Being Joined by the British Empire","The plan to sell London Bridge is a sad reminder of the sunset that is darkening the British Empire. For that famous structure in the 136 years since it was built has seen, on the one hand, the majestic flow of world-wide commerce and, on the other, the labors of those statesmen...",155702658,"155702658_1","155702658_1.pdf"
"92",1967-07-16,"Jul 16, 1967",1967,"Soviet Ships; Vietnam Supplies","While Americans may well rejoice that the Soviet Union's performance in the Middle East has so far met with embarrassing frustration, they should temper their elation by considering the Russian role in Vietnam. For without the massive and continuing Soviet aid to our...",155713084,"155713084_1","155713084_1.pdf"
"93",1967-07-09,"Jul 9, 1967",1967,"Should the GOP Draft Reagan?","The eager young men and women in the Young Republicans convention in Omaha as well as so many stalwart conservatives over the nation who are calling for the nomination of Gov. Reagan next year should give themselves the benefit of some quiet reflection.",155780427,"155780427_1","155780427_1.pdf"
"94",1967-07-02,"Jul 2, 1967",1967,"Self-Defeating 'Freedom' Hunt","In 1945 when New York's Mayor Fiorello La Guardia was nearing the end of his third and final term of office, he conceived the idea that he wanted to be a professor of municipal government at Columbia University.",155776477,"155776477_1","155776477_1.pdf"
"95",1967-06-25,"Jun 25, 1967",1967,"TV Subsidy: Potential Mischief","Senate Bill 1160, entitled The Public Broadcasting Act of 1967, has passed the Senate and is now before the House. This bill, if enacted, would thrust the heavy foot of the federal government, which means always a political government, ever farther into the door of public edu-...",155750685,"155750685_1","155750685_1.pdf"
"96",1967-06-18,"Jun 18, 1967",1967,"U.S. Can Learn 3 Lessons From Strife in Middle East","Now that the guns are still in the Middle East and the long business of boundaries and rights is under negotiation, Americans might well ponder some of the realities we have witnessed before and during this brief conflict.",155811291,"155811291_1","155811291_1.pdf"
"97",1967-06-11,"Jun 11, 1967",1967,"Growth of Soviet Naval Power Is a New Problem","The May Day parade of Soviet weapons did not permit a display of naval strength. But Moscow seized the moment when all eyes were centered upon the crisis in the Middle East to stage a parade of warships through the Bosporus and the Dardanelles.",155740481,"155740481_1","155740481_1.pdf"
"98",1967-06-04,"Jun 4, 1967",1967,"'Candidate-Watching' the GOP","A vigorous old man addressing a group in his own age bracket recently assured his listeners that, while they were too old for girl watching, there still remained bird watching which they could enjoy without leaving their back yards.",155684335,"155684335_1","155684335_1.pdf"
