year,date,title,abstract,filename
1964,1964-07-13,A PARTY REVOLUTION: FORCE AND OPTIMISM,"Los Angeles—Eastern and Northeastern politicians and erstwhile leaders, as well as those who interpret them for us, fail to realize that in attacking Goldwater they are tilting at a symbol rather than a reality. The reality is a protest, deep and wide and powerful, among Republicans, homeless Democrats, and the politically unattached against past Republican Party control and also the sort of government we have had during the last 25 years.",batch2_66_page0.txt
1964,1964-07-27,WHAT IT MEANS: LONG BEGINNING,"San Francisco—Observers from overseas, as they have witnessed our noisy and seemingly disorderly national conventions, have wondered why, with this method of selecting candidates for the Presidency, we have had, with the exception of Britain, the most stable government on earth.",batch2_64_page0.txt
1964,1964-08-03,PARTY CONTROL: INFLUENCE IN CONGRESS,"In the political comment before, during, and after the San Francisco convention the expression ""party control"" was frequently used. But what does party control mean? Is there such a thing? If so, what does it mean in the Republican Party now, after Goldwater's clear margin of victory in winning the nomination?",batch2_63_page0.txt
1964,1964-08-10,THIS IS OUR BUSINESS: THE 'LION'S PAW',"While both Presidential candidates may labor to prevent pre-Civil War issues from playing a part in this campaign, there is nothing they can do about the ignition of a still more remote concern—the spirit of 1776.",batch2_62.txt
1964,1964-08-17,`NOT BY BREAD ALONE': `THE COMPLETE LIFE',"Two short sentences in Senator Goldwater's acceptance address in San Francisco which mentioned ""extremism"" and ""moderation"" seem to have diverted most comment from the essential theme of the speech.",batch2_61_page0.txt
1964,1964-08-24,GOLDWATER'S STAFF-1: A PERSONAL ORGANIZATION,Many factors play a part in winning or losing an election. Some of these are unexpected events which cannot be anticipated or planned. But the major element in political success is organization.,batch2_60_page0.txt
1964,1964-08-31,GOLDWATER'S STAFF-II: THE SPECIALISTS,"I noted in last week's article that candidate Goldwater's working staff is divided into two distinct groups. One of these I have called the ""political"" group, which before the convention was concerned with maintaining state-by-state contacts and gathering pledged delegates and which from now on is concerned with gathering votes.",batch2_59_page0.txt
1964,1964-09-21,INCOME WITH FREEDOM: ROOSEVELT'S PLAN,"In this campaign, as in the Republican fight for the nomination, Barry Goldwater will be assailed as an enemy of the social-security system. An appraisal of the facts will show that Lyndon Johnson is the one who presents a real threat to a system which is the keystone of the material lives of millions of Americans.",batch2_56_page0.txt
1964,1964-10-12,WHO'S REALLY FOR LBJ?: NO POINTING WITH PRIDE,"Last week I found it necessary to part with a bad tooth. After the Novocain had been administered, there was that dread pause while the stuff was performing its merciful mission of insensibility and before the short pull (euphemistically called the ""evulsion""). In that waiting moment the dentist asked: ""You don't think Goldwater can win, do you?""",batch2_53_page0.txt
1964,1964-10-19,THE ISSUE OF MORALITY: 'MORAL ARISTOCRACY',"At this stage of the campaign, when the critics of Senator Goldwater have long passed the limits of reason, it seems that anything the Republican candidates say is twisted to an argument that they should not only be defeated but crushed. If Goldwater says that black is black and white is white, they cry out that he has not considered gray.",batch2_52_page0.txt
1964,1964-10-26,NIXON'S ROLE IN 1964: RECORD OF LOYALTY,"If the acclaim now given by conservative people to Richard Nixon for his campaign over the nation in support of the Goldwater-Miller ticket had been accorded him by those same people in 1960, he would now be running for re-election as President, and John F. Kennedy and Lyndon B. Johnson would be senators from their respective states.",batch2_51_page0.txt
1964,1964-11-16,INDISPENSABLE DISSENT: NO ERA OF HARMONY,"The egghead word for it has been ""consensus."" Before the San Francisco convention it was used to urge Republicans to take the middle way and present a candidate whose views were relatively indistinguishable from the presently established regime in Washington.",batch2_48_page0.txt
1964,1964-11-30,A PARTY'S NINE LIVES: NEED FOR SPECIFICS,"Among all the published comments about the GOP's future, those of Richard Nixon make the most sense. Moreover, he has richly earned the right to be heard. No one except the candidates labored so hard in this campaign—200 speeches in 36 states.",batch2_46_page0.txt
1965,1965-01-18,"COOL OFF, REPUBLICANS!: OUTCRIES OF FRUSTRATION","What Republicans generally, and especially those who are members of the National Committee, should seek in the next few months is a moderation of the hysteria which followed the great November defeat. This is not to be attained by merely putting Dean Burch on the bloody sacrificial altar.",batch2_39_page0.txt
