x1,index,title,abstract,store_id,article_type,authors,copyright,document_type,entry_date,issn,issue,language,language_of_summary,pages,place_of_publication,pubdate,pubtitle,year,volume,document_url,document_features,start_page,find_a_copy,database,date_new,index_new,old_path,file_exists,new_filename,new_path,success
15,batch3_15.pdf,Image and Inheritance: EASY TO UNDERSTAND,"THIS may be a good moment to reflect upon the remarkable achievement of a young man with a single purpose who rose so fast and so soon to the prize of prizes, a Presidential nomination. The only candidacy which has ever offered a comparison with that of John Fitzgerald Kennedy was that which Marcus A. Hanna promoted for his beloved friend William McKinley over a period of eight years.",1879122760,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Aug 1, 1960",0028-9604,5,English,English,84,New York,"Aug 1, 1960",Newsweek,1960,56,https://www.proquest.com/magazines/image-inheritance/docview/1879122760/se-2?accountid=14696,Photographs,84,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=56&amp;issue=5&amp;title=Newsweek&amp;spage=84&amp;date=1960-08-01&amp;atitle=Image+and+Inheritance&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1960-08-01,batch3_15_page0.txt,./perspective_extracted/batch3_15_page0.txt,FALSE,1960-08-01batch3_15_page0.txt.txt,./perspective_renamed/1960-08-01batch3_15_page0.txt.txt,FALSE
38,batch3_38.pdf,World Peace by Law: CONNALLY RESERVATION,"As AN ideal, ""world peace through law"" has moved enlightened minds over many centuries. There were many prophets even before Dante wrote his De Monarchia in the fourteenth century. Three hundred years later, Hugo Grotius became the founder of modern international law.",1883545803,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Feb 22, 1960",0028-9604,8,English,English,108,New York,"Feb 22, 1960",Newsweek,1960,55,https://www.proquest.com/magazines/world-peace-law/docview/1883545803/se-2?accountid=14696,Photographs,108,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=55&amp;issue=8&amp;title=Newsweek&amp;spage=108&amp;date=1960-02-22&amp;atitle=World+Peace+by+Law&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1960-02-22,batch3_38_page0.txt,./perspective_extracted/batch3_38_page0.txt,FALSE,1960-02-22batch3_38_page0.txt.txt,./perspective_renamed/1960-02-22batch3_38_page0.txt.txt,FALSE
44,batch3_44.pdf,The Vice Presidency: THESE ARE EXPENDABLE,RICHARD NIXON has created a significant constitutional institution out of the shell of a meaningless sinecure. Therein lies a wonderful chance for both parties to show that they are not wedded to ossified traditions about the Vice Presidency. One such tradition is that the nominee should be a bait for votes.,1843931961,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jan 11, 1960",0028-9604,2,English,English,94,New York,"Jan 11, 1960",Newsweek,1960,55,https://www.proquest.com/magazines/vice-presidency/docview/1843931961/se-2?accountid=14696,Photographs,94,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=55&amp;issue=2&amp;title=Newsweek&amp;spage=94&amp;date=1960-01-11&amp;atitle=The+Vice+Presidency&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1960-01-11,batch3_44_page0.txt,./perspective_extracted/batch3_44_page0.txt,FALSE,1960-01-11batch3_44_page0.txt.txt,./perspective_renamed/1960-01-11batch3_44_page0.txt.txt,FALSE
50,batch3_50.pdf,Dilemma of the Left: AN ILL-ASSORTED LOT,"Now, seven weeks after witnessing the rout of the Labor Party in Britain and after visiting three other countries in Europe, it is time to appraise the political revolution which seems to be quietly moving over our Western allies. It is the ascendency of experience over experimentation, the realization of the possible over prophecy, things over ideology, and fact over fancy.",1882557566,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 30, 1959",0028-9604,22,English,English,112,New York,"Nov 30, 1959",Newsweek,1959,54,https://www.proquest.com/magazines/dilemma-left/docview/1882557566/se-2?accountid=14696,Photographs,112,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=54&amp;issue=22&amp;title=Newsweek&amp;spage=112&amp;date=1959-11-30&amp;atitle=Dilemma+of+the+Left&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1959-11-30,batch3_50_page0.txt,./perspective_extracted/batch3_50_page0.txt,FALSE,1959-11-30batch3_50_page0.txt.txt,./perspective_renamed/1959-11-30batch3_50_page0.txt.txt,FALSE
33,batch4_33.pdf,Curran et al. vs. U.S.A.: FAST SHIPS,"THE four-day boycott of ships registered under the laws of several small nations, mentioned in this space last week, has come and gone. It was initiated for publicity purposes by the International Transport Workers' Federation, housed in a small office in London. A dud abroad, it got its most lusty support from Joseph Curran's National Maritime Union and Paul Hall's Seafarers.",1894148224,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Dec 29, 1958",0028-9604,26,English,English,68,New York,"Dec 29, 1958",Newsweek,1958,52,https://www.proquest.com/magazines/curran-et-al-vs-u-s/docview/1894148224/se-2?accountid=14696,Photographs,68,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=52&amp;issue=26&amp;title=Newsweek&amp;spage=68&amp;date=1958-12-29&amp;atitle=Curran+et+al.+vs.+U.S.A.&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1958-12-29,batch4_33_page0.txt,./perspective_extracted/batch4_33_page0.txt,FALSE,1958-12-29batch4_33_page0.txt.txt,./perspective_renamed/1958-12-29batch4_33_page0.txt.txt,FALSE
38,batch4_38.pdf,Politicians Run a War: VACUUMS FOR STALIN,"GEN. Albert C. Wedemeyer's book, ""Wedemeyer Reports"" (NEWSWEEK, Nov. 17), is destined to fan hot flames of controversy. For he steps on many toes—big toes, too. Through the incisive skill of a man who knew, as few others, the art and science of warfare, Wedemeyer portrays the frailties and strength of those politicians whose word was final in the war in Europe between 1942 and 1945.",1843952091,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 24, 1958",0028-9604,21,English,English,120,New York,"Nov 24, 1958",Newsweek,1958,52,https://www.proquest.com/magazines/politicians-run-war/docview/1843952091/se-2?accountid=14696,Photographs,120,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=52&amp;issue=21&amp;title=Newsweek&amp;spage=120&amp;date=1958-11-24&amp;atitle=Politicians+Run+a+War&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1958-11-24,batch4_38_page0.txt,./perspective_extracted/batch4_38_page0.txt,FALSE,1958-11-24batch4_38_page0.txt.txt,./perspective_renamed/1958-11-24batch4_38_page0.txt.txt,FALSE
45,batch4_45.pdf,Status of Our Teachers: SALARIES ARE GOOD,"To ANTICIPATE letters about my living in an ivory tower, I shall qualify as a witness. Beginning in a one-room, eight-grade district school, I was over a considerable period engaged in grade, high-school, college, and university instruction. I know from experience the trials, troubles, and triumphs of the trade.",1894143089,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 6, 1958",0028-9604,14,English,English,96,New York,"Oct 6, 1958",Newsweek,1958,52,https://www.proquest.com/magazines/status-our-teachers/docview/1894143089/se-2?accountid=14696,Photographs,96,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=52&amp;issue=14&amp;title=Newsweek&amp;spage=96&amp;date=1958-10-06&amp;atitle=Status+of+Our+Teachers&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1958-10-06,batch4_45_page0.txt,./perspective_extracted/batch4_45_page0.txt,FALSE,1958-10-06batch4_45_page0.txt.txt,./perspective_renamed/1958-10-06batch4_45_page0.txt.txt,FALSE
48,na,Behind the Subsidies: ROLE OF CONSUMERS,"MONTPELIER, VT.—One of the richest rewards of a summer up here in the heart of the Green Mountains is contact with people in public as well as in private life who can take a cool, semidetached look at the affairs of the nation. Montpelier, one of the smaller state capitals, is rich in tradition but cosmopolitan in outlook.",2442862650,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Sep 15, 1958",0028-9604,11,English,English,112,New York,"Sep 15, 1958",Newsweek,1958,52,https://www.proquest.com/magazines/behind-subsidies/docview/2442862650/se-2?accountid=14696,Photographs,112,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=52&amp;issue=11&amp;title=Newsweek&amp;spage=112&amp;date=1958-09-15&amp;atitle=Behind+the+Subsidies&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1958-09-15,na,./perspective_extracted/na,FALSE,1958-09-15na.txt,./perspective_renamed/1958-09-15na.txt,FALSE
3,batch5_3.pdf,Smith of Virginia: STATESMAN'S RECORD,"IF THIS observer were to name the Most Valuable Member in this and several preceding Congresses, he would be hard put to choose between two gentlemen from Virginia, the indispensable Byrd and the man affectionately known as ""Judge"" Smith. Howard Worth Smith resigned a judgeship to run for Congress 28 years ago and has served continuously since.",1832544785,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Aug 25, 1958",0028-9604,8,English,English,80,New York,"Aug 25, 1958",Newsweek,1958,52,https://www.proquest.com/magazines/smith-virginia/docview/1832544785/se-2?accountid=14696,Photographs,80,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=52&amp;issue=8&amp;title=Newsweek&amp;spage=80&amp;date=1958-08-25&amp;atitle=Smith+of+Virginia&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1958-08-25,batch5_3_page0.txt,./perspective_extracted/batch5_3_page0.txt,FALSE,1958-08-25batch5_3_page0.txt.txt,./perspective_renamed/1958-08-25batch5_3_page0.txt.txt,FALSE
36,batch5_36.pdf,Tyranny of a Majority: QUILL'S GREAT POWER,"""TYRANNY consists in the wanton or inequitable use of strength by the stronger, in the use of it to do things which one equal would not attempt against another. A majority is tyrannical when it decides without hearing the minority, when it suppresses fair and temperate criticism of its own acts, when it insists upon restraining men in matters not required by the common interest, when it forces men to contribute money to objects which they disapprove and which the common interest does not demand ... tyranny lies in the wantonness of the act, a wantonness springing from the insolence which sense of overwhelming power breeds ...",1879110080,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jan 6, 1958",0028-9604,1,English,English,72,New York,"Jan 6, 1958",Newsweek,1958,51,https://www.proquest.com/magazines/tyranny-majority/docview/1879110080/se-2?accountid=14696,Photographs,72,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=51&amp;issue=1&amp;title=Newsweek&amp;spage=72&amp;date=1958-01-06&amp;atitle=Tyranny+of+a+Majority&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1958-01-06,batch5_36_page0.txt,./perspective_extracted/batch5_36_page0.txt,FALSE,1958-01-06batch5_36_page0.txt.txt,./perspective_renamed/1958-01-06batch5_36_page0.txt.txt,FALSE
47,na,The Score on Economy: REPUBLICAN DEFENSE,"AS COOL autumn days soothe the city of Washington, members of Congress who struggled through the heat of the summer are not there to enjoy the change. They are at home facing another sort of heat, explaining their records on the issues which concern their constituents.",2442865033,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 21, 1957",0028-9604,17,English,English,120,New York,"Oct 21, 1957",Newsweek,1957,50,https://www.proquest.com/magazines/score-on-economy/docview/2442865033/se-2?accountid=14696,Photographs,120,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=50&amp;issue=17&amp;title=Newsweek&amp;spage=120&amp;date=1957-10-21&amp;atitle=The+Score+on+Economy&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1957-10-21,na,./perspective_extracted/na,FALSE,1957-10-21na.txt,./perspective_renamed/1957-10-21na.txt,FALSE
17,batch6_17.pdf,Above the Law: DEAN POUND,"THERE was a medieval maxim: ""Tell me the man and I will tell you the right."" This meant that there was no equal justice for all, but that an individual's liability for his actions was to be determined by the class to which he belonged. The king, of course, was accountable to no law and to no authority.",1850818911,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"May 27, 1957",0028-9604,21,English,English,124,New York,"May 27, 1957",Newsweek,1957,49,https://www.proquest.com/magazines/above-law/docview/1850818911/se-2?accountid=14696,Photographs,124,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=49&amp;issue=21&amp;title=Newsweek&amp;spage=124&amp;date=1957-05-27&amp;atitle=Above+the+Law&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1957-05-27,batch6_17_page0.txt,./perspective_extracted/batch6_17_page0.txt,FALSE,1957-05-27batch6_17_page0.txt.txt,./perspective_renamed/1957-05-27batch6_17_page0.txt.txt,FALSE
66,batch6_66.pdf,Senator O'Mahopoly: INTERLOCKING,"IN A recent speech Sen. Joseph C. O'Mahoney, perennial scourge of big business and exponent of Federal incorporation, made a surprising confession. His testimony to the efficiency of the villain in his tale, General Motors, was, he said, expressed in his personal ownership of a Cadillac.",1895338861,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jun 11, 1956",0028-9604,24,English,English,124,New York,"Jun 11, 1956",Newsweek,1956,47,https://www.proquest.com/magazines/senator-omahopoly/docview/1895338861/se-2?accountid=14696,Photographs,124,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=47&amp;issue=24&amp;title=Newsweek&amp;spage=124&amp;date=1956-06-11&amp;atitle=Senator+O%27Mahopoly&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1956-06-11,batch6_66_page0.txt,./perspective_extracted/batch6_66_page0.txt,FALSE,1956-06-11batch6_66_page0.txt.txt,./perspective_renamed/1956-06-11batch6_66_page0.txt.txt,FALSE
83,batch6_83.pdf,A Tale of Three Secretaries,"SEN. KERR SCOTT, chairman of a Senate-House subcommittee, has been conducting an investigation of certain affairs in the Department of the Interior with all of that ruthless energy once attributed to Senator McCarthy.",1894166255,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Feb 13, 1956",0028-9604,7,English,English,108,New York,"Feb 13, 1956",Newsweek,1956,47,https://www.proquest.com/magazines/tale-three-secretaries/docview/1894166255/se-2?accountid=14696,Photographs,108,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=47&amp;issue=7&amp;title=Newsweek&amp;spage=108&amp;date=1956-02-13&amp;atitle=A+Tale+of+Three+Secretaries&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1956-02-13,batch6_83_page0.txt,./perspective_extracted/batch6_83_page0.txt,FALSE,1956-02-13batch6_83_page0.txt.txt,./perspective_renamed/1956-02-13batch6_83_page0.txt.txt,FALSE
95,batch6_95.pdf,Inside Stuff,"THESE days, because a Presidential election is ahead, I find in traveling hither and yon that people are bored by my musty accumulation of the lore of the past and are eagerly asking who is going to run and how and where. What, in short, is the inside dope?",1879116614,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 14, 1955",0028-9604,20,English,English,124,New York,"Nov 14, 1955",Newsweek,1955,46,https://www.proquest.com/magazines/inside-stuff/docview/1879116614/se-2?accountid=14696,Photographs,124,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=46&amp;issue=20&amp;title=Newsweek&amp;spage=124&amp;date=1955-11-14&amp;atitle=Inside+Stuff&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1955-11-14,batch6_95_page0.txt,./perspective_extracted/batch6_95_page0.txt,FALSE,1955-11-14batch6_95_page0.txt.txt,./perspective_renamed/1955-11-14batch6_95_page0.txt.txt,FALSE
