1956-07-25_166961624_1_page0.txt,LABOR,Contains 5 mentions of labor unions and collective bargaining references.
1956-07-30_166962149_1_page0.txt,other,No categories met the 3-mention threshold.
1956-06-12_166965487_1_page0.txt,other,No categories met the 3-mention threshold.
1956-08-14_166967202_1_page0.txt,other,No categories met the 3-mention threshold.
1956-05-23_166967752_1_page0.txt,other,No categories met the 3-mention threshold.
1956-07-20_166968775_1_page0.txt,other,No categories met the 3-mention threshold.
1956-05-18_166972318_1_page0.txt,other,No categories met the 3-mention threshold.
new_filename,category,explanation
1956-08-17_166972775_1_page0.txt,other,No categories met the 3-mention threshold.
1956-06-07_166972889_1_page0.txt,other,No categories met the 3-mention threshold.
1956-07-05_166973311_1_page0.txt,other,No categories met the 3-mention threshold.
1956-07-03_166977307_1_page0.txt,LABOR,Contains 3 mentions of union and 3 of AFL-CIO and political arms of labor.
1956-08-07_166977911_1_page0.txt,other,No categories met the 3-mention threshold.
1956-11-10_166980142_1_page0.txt,LABOR,Contains 3 mentions of labor organizations and political arms of labor.
1956-06-13_166981229_1_page0.txt,other,No categories met the 3-mention threshold.
1956-12-27_166981449_1_page0.txt,other,No categories met the 3-mention threshold.
1956-09-29_166981483_1_page0.txt,LABOR,Contains 4 mentions of the CIO union and its efforts.
1956-10-12_166981548_1_page0.txt,other,No categories met the 3-mention threshold.
new_filename,category,explanation
1956-07-17_166984053_1_page0.txt,other,No categories met the 3-mention threshold.
1956-07-02_166987194_1_page0.txt,LABOR,Contains 3 mentions of labor organizations and collective bargaining.
1956-08-11_166987545_1_page0.txt,other,No categories met the 3-mention threshold.
1956-09-04_166989848_1_page0.txt,other,No categories met the 3-mention threshold.
1956-12-14_166991089_1_page0.txt,other,No categories met the 3-mention threshold.
1956-08-31_166992300_1_page0.txt,other,No categories met the 3-mention threshold.
1956-08-28_166992768_1_page0.txt,other,No categories met the 3-mention threshold.
1956-09-05_166996171_1_page0.txt,LABOR,Contains 4 mentions of the AFL-CIO union and political arms of labor.
1956-09-24_166996599_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-06_166998763_1_page0.txt,other,No categories met the 3-mention threshold.
new_filename,category,explanation
1956-08-09_167000759_1_page0.txt,other,No categories met the 3-mention threshold.
1956-09-26_167002293_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-02_167003681_1_page0.txt,other,No categories met the 3-mention threshold.
1956-12-07_167005914_1_page0.txt,LABOR,Contains 3 mentions of union and 3 of labor organization.
1956-11-09_167008316_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-31_167008470_1_page0.txt,LABOR,Contains 4 mentions of labor unions and Taft-Hartley/Corrupt Practices.
1956-09-18_167011196_1_page0.txt,other,No categories met the 3-mention threshold.
1956-12-26_167013872_1_page0.txt,other,No categories met the 3-mention threshold.
1956-09-15_167014181_1_page0.txt,LABOR,Contains 3 mentions of the political arms of labor unions.
1956-10-04_167015295_1_page0.txt,LABOR,Contains 3 mentions of union or political arms of labor.
new_filename,category,explanation
1956-08-09_167000759_1_page0.txt,other,No categories met the 3-mention threshold.
1956-09-26_167002293_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-02_167003681_1_page0.txt,other,No categories met the 3-mention threshold.
1956-12-07_167005914_1_page0.txt,LABOR,Contains 4 mentions of labor organization/union and 3 of Taft-Hartley.
1956-11-09_167008316_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-31_167008470_1_page0.txt,LABOR,Contains 4 mentions of labor unions and Taft-Hartley/Corrupt Practices.
1956-09-18_167011196_1_page0.txt,other,No categories met the 3-mention threshold.
1956-12-26_167013872_1_page0.txt,other,No categories met the 3-mention threshold.
1956-09-15_167014181_1_page0.txt,LABOR,Contains 3 mentions of political arms of labor unions.
1956-10-04_167015295_1_page0.txt,LABOR,Contains 3 mentions of union/labor political arms.
1956-10-27_167015426_1_page0.txt,other,No categories met the 3-mention threshold.
1956-11-29_167015571_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-08_167016859_1_page0.txt,other,No categories met the 3-mention threshold.
1956-09-07_167016888_1_page0.txt,other,No categories met the 3-mention threshold.
1956-09-21_167021069_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-23_167022818_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-09_167023665_1_page0.txt,other,No categories met the 3-mention threshold.
1956-08-22_167024006_1_page0.txt,other,No categories met the 3-mention threshold.
1956-11-23_167025776_1_page0.txt,other,No categories met the 3-mention threshold.
1956-08-21_167026995_1_page0.txt,LABOR,Contains 3 mentions of labor organizations and collective bargaining.
new_filename,category,explanation
1956-10-16_167027617_1_page0.txt,other,No categories met the 3-mention threshold.
1956-08-20_167030467_1_page0.txt,other,No categories met the 3-mention threshold.
1956-09-11_167036433_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-20_167038525_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-18_167040314_1_page0.txt,other,No categories met the 3-mention threshold.
1956-12-20_167045451_1_page0.txt,other,No categories met the 3-mention threshold.
1956-10-13_167046648_1_page0.txt,other,No categories met the 3-mention threshold.
1956-11-30_167046802_1_page0.txt,other,No categories met the 3-mention threshold.
1956-12-18_167049731_1_page0.txt,LABOR,Contains 3 references to the AFL-CIO union/Review.
1956-11-13_167052081_1_page0.txt,other,No categories met the 3-mention threshold.
new_filename,category,explanation
1956-11-27_167054824_1_page0.txt,other,No categories met the 3-mention threshold.
1956-11-02_167062796_1_page0.txt,other,No categories met the 3-mention threshold.
1956-11-22_167062881_1_page0.txt,LABOR,Contains 4 mentions of the CIO/UAW union and political contributions.
1956-11-06_167070736_1_page0.txt,other,No categories met the 3-mention threshold.
1956-11-20_167074206_1_page0.txt,LABOR,Contains 3 mentions of political labor and the COPE union committee.
1956-11-17_167080687_1_page0.txt,other,No categories met the 3-mention threshold.
1956-12-22_167097904_1_page0.txt,other,No categories met the 3-mention threshold.
1956-12-12_167107864_1_page0.txt,other,No categories met the 3-mention threshold.
