x1,index,title,abstract,store_id,article_type,authors,copyright,document_type,entry_date,issn,issue,language,language_of_summary,pages,place_of_publication,pubdate,pubtitle,year,volume,document_url,document_features,start_page,find_a_copy,database,date,filename,filepath
11,batch1_11.pdf,"TITAN UNBOUND, I: THE STRATEGY OF SEAPOWER","The traditional concept of Russia, which still lingers in the minds of American statesmen, is a great intercontinental land mass with a population of multiracial strains, sinister and inscrutable, ever crowding upon its neighbors, but locked in by its lack of warm-water exits to the world outside.",1850824226,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jul 24, 1967",0028-9604,4,English,English,80,New York,"Jul 24, 1967",Newsweek,1967,70,https://www.proquest.com/magazines/titan-unbound-i/docview/1850824226/se-2?accountid=14696,Photographs,80,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=70&amp;issue=4&amp;title=Newsweek&amp;spage=80&amp;date=1967-07-24&amp;atitle=TITAN+UNBOUND%2C+I&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-07-24,NA,NA
12,batch1_12.pdf,ASS IN LION'S SKIN: WHAT THE KREMLIN MISSED,"The masters in the Kremlin may or may not be familiar with that handbook for dictators, ""The Prince,"" by Niccolò Machiavelli. But their statecraft fits the pattern of that timeless book. Stalin, especially, may have known it since he was probably the best-read of the lot.",1866756949,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jun 26, 1967",0028-9604,26,English,English,80,New York,"Jun 26, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/ass-lions-skin/docview/1866756949/se-2?accountid=14696,Photographs,80,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=26&amp;title=Newsweek&amp;spage=80&amp;date=1967-06-26&amp;atitle=ASS+IN+LION%27S+SKIN&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-06-26,NA,NA
13,batch1_13.pdf,"THE U.S., U.N. AND U.K.: SHADOWY AUTHORITY","Now that a real threat to peace has erupted in the Middle East, Americans might well review their commitments in quieter but potentially dangerous involvements elsewhere. We have 60 commitments which involve our military assistance outside this continent. Most of them are in areas more than 3,000 miles from our shores and concern roughly one-third of the world's population.",1866749403,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jun 12, 1967",0028-9604,24,English,English,104,New York,"Jun 12, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/u-s-n-k/docview/1866749403/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=24&amp;title=Newsweek&amp;spage=104&amp;date=1967-06-12&amp;atitle=THE+U.S.%2C+U.N.+AND+U.K.&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-06-12,NA,NA
14,batch1_14.pdf,THE BATTLESHIP RETURNS: VULNERABLE COASTLINE,"It has taken an intolerably long time to bring more of our great naval potential into the war in Vietnam. Chairman Richard B. Russell of the Senate Armed Services Committee has been urging the reactivation of one or more of our four powerful battleships, which since the Korean War have been resting in Navy yards.",1866710231,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"May 29, 1967",0028-9604,22,English,English,104,New York,"May 29, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/battleship-returns/docview/1866710231/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=22&amp;title=Newsweek&amp;spage=104&amp;date=1967-05-29&amp;atitle=THE+BATTLESHIP+RETURNS&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-05-29,NA,NA
15,batch1_15.pdf,"A NEW ELECTRIC AGE: LOWER COSTS, LOWER RATES",In February the Johnson Administration through Secretary Stewart Udall announced the abandonment of the controversial plan to build two new hydroelectric dams on the Colorado River in Arizona. These were largely intended to generate power sufficient to pump Colorado River water over the mountain hump to the Phoenix-Tucson region.,2442858697,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"May 15, 1967",0028-9604,20,English,English,108,New York,"May 15, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/new-electric-age/docview/2442858697/se-2?accountid=14696,Photographs,108,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=20&amp;title=Newsweek&amp;spage=108&amp;date=1967-05-15&amp;atitle=A+NEW+ELECTRIC+AGE&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-05-15,NA,NA
16,batch1_16.pdf,MR. O'BRIEN'S LEVIATHAN: BUREAUCRACY'S PRISONER,"The time has come when political management of a great public service is not only bad business but bad politics. It is significant that this has been recognized by the capable and experienced political manager Lawrence O'Brien himself. And his proposal to create a nonpolitical, businesslike corporation to take over his job as Postmaster General was made with that realistic fact in mind.",1866764260,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"May 1, 1967",0028-9604,18,English,English,96,New York,"May 1, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/mr-obriens-leviathan/docview/1866764260/se-2?accountid=14696,Photographs,96,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=18&amp;title=Newsweek&amp;spage=96&amp;date=1967-05-01&amp;atitle=MR.+O%27BRIEN%27S+LEVIATHAN&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-05-01,NA,NA
17,batch1_17.pdf,CAMPAIGN AGONIES: THE PACE THAT KILLS,"The public may enjoy the big show of a Presidential campaign. But among those who participate, there is more agony than ecstasy. It may not seem ""constructive"" to dwell upon this, since I have no remedy. It may, however, serve a purpose to suggest that unless there are changes, the quality of future Presidents will drastically decline.",1866769384,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Apr 17, 1967",0028-9604,16,English,English,120,New York,"Apr 17, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/campaign-agonies/docview/1866769384/se-2?accountid=14696,Photographs,120,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=16&amp;title=Newsweek&amp;spage=120&amp;date=1967-04-17&amp;atitle=CAMPAIGN+AGONIES&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-04-17,NA,NA
18,batch1_18.pdf,THE WALLACE THREAT: PLENTY OF MONEY,I have not believed that it makes much sense to speculate about who will be the candidate of a party out of power two years or even one year before the convention makes its choice. What I learned earlier this month during a visit to the states bordering on the Gulf of Mexico has confirmed that opinion.,2442859036,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Apr 3, 1967",0028-9604,14,English,English,100,New York,"Apr 3, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/wallace-threat/docview/2442859036/se-2?accountid=14696,Photographs,100,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=14&amp;title=Newsweek&amp;spage=100&amp;date=1967-04-03&amp;atitle=THE+WALLACE+THREAT&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-04-03,NA,NA
19,batch1_19.pdf,'FREE' FOR WHOM?: REAGAN'S PROPOSAL,"Los Angeles—The controversy about higher education in California is not likely to be resolved for many months. For it concerns not only the relationship of the colleges and universities to the state government, but taxation, administrative methods, educational priorities and, what is most important, the responsibility and maturity of students.",1879131876,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Mar 20, 1967",0028-9604,12,English,English,112,New York,"Mar 20, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/free-whom/docview/1879131876/se-2?accountid=14696,Photographs,112,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=12&amp;title=Newsweek&amp;spage=112&amp;date=1967-03-20&amp;atitle=%27FREE%27+FOR+WHOM%3F&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-03-20,NA,NA
20,batch1_20.pdf,CREATIVE FEDERALISM: MORE PARTNERSHIP,"The expression ""creative federalism,"" which has gained currency in Congress, in state capitals and in the press, serves several purposes. It serves as an impressive screen to cover the retreat of those who, since the Presidency of the first Roosevelt, have urged the projection of Federal authority into areas traditionally reserved to the state and local governments.",1850823267,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Mar 6, 1967",0028-9604,10,English,English,100,New York,"Mar 6, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/creative-federalism/docview/1850823267/se-2?accountid=14696,Photographs,100,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=10&amp;title=Newsweek&amp;spage=100&amp;date=1967-03-06&amp;atitle=CREATIVE+FEDERALISM&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-03-06,NA,NA
21,batch1_21.pdf,"WILSON, BULLITT, FREUD: AN OLD GRUDGE","At least three long and perceptive reviews have fairly well disposed of the book ""Thomas Woodrow Wilson"" by Sigmund Freud and William C. Bullitt. Two of these were written by students of Freudianism and one by a fine historian, Barbara Tuchman. Their conclusions are that it is bad history, bad biography, bad psychoanalysis and even bad Freud.",1850824636,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Feb 20, 1967",0028-9604,8,English,English,104,New York,"Feb 20, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/wilson-bullitt-freud/docview/1850824636/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=8&amp;title=Newsweek&amp;spage=104&amp;date=1967-02-20&amp;atitle=WILSON%2C+BULLITT%2C+FREUD&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-02-20,NA,NA
22,batch1_22.pdf,UNFAIR TAX RATES: SPURIOUS NOTIONS,"On the same day and in the same mail I received two items that provoked a bit of reflection about income taxes at all levels of government. One was a reminder of the ghastly humor in Mayor John V. Lindsay's christening of New York as a ""fun city."" It was a directive to file a city incometax return.",1882532629,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Feb 6, 1967",0028-9604,6,English,English,108,New York,"Feb 6, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/unfair-tax-rates/docview/1882532629/se-2?accountid=14696,Photographs,108,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=6&amp;title=Newsweek&amp;spage=108&amp;date=1967-02-06&amp;atitle=UNFAIR+TAX+RATES&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-02-06,NA,NA
23,batch1_23.pdf,IT WAS NO MONOLITH: DISSIMILAR ELEMENTS,"A great deal of unhappiness is pouring out of the typewriters of commentators about the sad state of the image of LBJ. If everything we read is true, something is happening in real life that Oscar Wilde imagined in ""The Picture of Dorian Gray."" The infection seems to have reached the world of art, because the President says that the official portrait by Peter Hurd is ""the ugliest thing I ever saw.""",1883521881,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jan 23, 1967",0028-9604,4,English,English,104,New York,"Jan 23, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/was-no-monolith/docview/1883521881/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=4&amp;title=Newsweek&amp;spage=104&amp;date=1967-01-23&amp;atitle=IT+WAS+NO+MONOLITH&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-01-23,NA,NA
24,batch1_24.pdf,COORDINATING THE GOP: ANNUAL PARTY CONFERENCES,"In March 1966 Melvin R. Laird, a very constructive Republican leader in the House, proposed that a national party conference be assembled in the autumn of 1967 to draw up a party platform for the campaign of 1968. This idea was born of the general belief that the framing and adoption of a party platform at the time of the quadrennial party convention, however hallowed by custom, make little practical sense.",1895337462,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jan 9, 1967",0028-9604,2,English,English,72,New York,"Jan 9, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/coordinating-gop/docview/1895337462/se-2?accountid=14696,Photographs,72,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=2&amp;title=Newsweek&amp;spage=72&amp;date=1967-01-09&amp;atitle=COORDINATING+THE+GOP&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-01-09,NA,NA
25,batch1_25.pdf,TAXATION AS DISCIPLINE: THE INEXORABLE MASTER,It may seem deplorable for a writer who has been gratified by the Republican renaissance in 1966 to poke at one of the GOP's most promising issues with the blue pencil of principle. That issue is the sharing of Federal personal-income-tax revenue with the states and local communities without restrictions as to the use of said windfall.,1894149712,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jan 2, 1967",0028-9604,1,English,English,68,New York,"Jan 2, 1967",Newsweek,1967,69,https://www.proquest.com/magazines/taxation-as-discipline/docview/1894149712/se-2?accountid=14696,Photographs,68,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=69&amp;issue=1&amp;title=Newsweek&amp;spage=68&amp;date=1967-01-02&amp;atitle=TAXATION+AS+DISCIPLINE&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1967-01-02,NA,NA
26,batch1_26.pdf,GOVERNORS TO THE FRONT: MORE FAVORITE SONS,"Whenever a state capital happens to have a governor who is talked of as a Presidential candidate, its normal humdrum routine explodes into bustle and excitement. Business at the hotel picks up because there comes a stream of out-of-state and foreign reporters on assignment (a) to write about THE MAN who may, etc., and (b) to lurk at the fringes of his press conferences to get some expressions from him that might make a story about his plans.",1866769303,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Dec 26, 1966",0028-9604,26,English,English,76,New York,"Dec 26, 1966",Newsweek,1966,68,https://www.proquest.com/magazines/governors-front/docview/1866769303/se-2?accountid=14696,Photographs,76,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=68&amp;issue=26&amp;title=Newsweek&amp;spage=76&amp;date=1966-12-26&amp;atitle=GOVERNORS+TO+THE+FRONT&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1966-12-26,NA,NA
27,batch1_27.pdf,POLITICAL UNIONS' WOES: OLD APPEALS FAIL,"It was the late Robert Humphreys in 1948 who first analyzed the part played by the politically oriented labor unions in the Republican defeat of that year. He was the NATIONAL AFFAIRS editor of NEWSWEEK. He pointed out that while Dewey had a respectable electoral vote of 189, more than any losing candidate had received for 32 years (and more than any losing candidate was to receive until 1960), the defeat of House Republicans was catastrophic.",1883517435,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Dec 19, 1966",0028-9604,25,English,English,120,New York,"Dec 19, 1966",Newsweek,1966,68,https://www.proquest.com/magazines/political-unions-woes/docview/1883517435/se-2?accountid=14696,Photographs,120,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=68&amp;issue=25&amp;title=Newsweek&amp;spage=120&amp;date=1966-12-19&amp;atitle=POLITICAL+UNIONS%27+WOES&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1966-12-19,NA,NA
28,batch1_28.pdf,STATE SELF-SUPPORT: FACTS AND PROJECTIONS,The 25 present and prospective Republican governors who will meet on Dec. 9-10 in Colorado Springs might well agree upon two propositions: it is too early to bicker and divide about who will be the GOP Presidential candidate in 1968. But it is not too early to plan how the candidate can be elected.,1866763707,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Dec 12, 1966",0028-9604,24,English,English,116,New York,"Dec 12, 1966",Newsweek,1966,68,https://www.proquest.com/magazines/state-self-support/docview/1866763707/se-2?accountid=14696,Photographs,116,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=68&amp;issue=24&amp;title=Newsweek&amp;spage=116&amp;date=1966-12-12&amp;atitle=STATE+SELF-SUPPORT&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1966-12-12,NA,NA
