"","date_new","year.x","notable_writing","economy","fiscal_conservatism","privatization_of_government_functions","statism","business","civil_rights","communism","crime_criminal_justice","democracy","domestic_policy_misc","foreign_policy","government_efficiency","journalism_media","labor","religion","supreme_court","taxes","vietnam","political_analysis","conservative_politics","conservative_criticism","dem_criticism","democratic_party_politics","eisenhower","fdr_analysis_even_handed","goldwater","gop_party_politics","johnson","john_f_kennedy","nixon","criticism_of_moley","new_deal_critique","fdr_explicit_support","fdr_criticism","criticism_of_fdr_aides","ad_with_moley","yellow","document","x1","index","title","abstract","store_id","article_type","authors","copyright","document_type","entry_date","issn","issue","language","language_of_summary","pages","place_of_publication","pubdate","pubtitle","year.y","volume","document_url","document_features","start_page","find_a_copy","database"
"11",1965-07-05,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"1965_7_5_1645698 (N=1)",15,"batch2_15.pdf","LBJ, JFK & ROUTE 66: ON A BRIGHT CLOUD","CLAREMONT, CALIF—In the course of an automobile trip from New York which ended here, I noted a headline in an Oklahoma City newspaper: JOHNSONS JUST LIKE US— PLAGUED BY GRASS TROUBLE. It seems that fungus is growing in the White House lawn.","1883525367","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Jul 5, 1965","0028-9604","1","English","English","88","New York","Jul 5, 1965","Newsweek",1965,"66","https://www.proquest.com/magazines/lbj-jfk-route-66/docview/1883525367/se-2?accountid=14696","Photographs","88","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=66&amp;issue=1&amp;title=Newsweek&amp;spage=88&amp;date=1965-07-05&amp;atitle=LBJ%2C+JFK+%26+ROUTE+66&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"12",1965-08-02,1965,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1965_8_2_1645699 (N=1)",11,"batch2_11.pdf","EXPORTING COMMUNISM: RUSSIAN RACISM","According to a calculation published recently in The Times of London, the Communist countries' export of foreign aid in 1964 amounted to only 8 per cent of the expenditures for that purpose by the Western capitalist nations. The Times account says that since 1954 the average annual Communist aid offered to Asia has been, in dollar value, $311 million; to the Middle East, $192 million; to Africa, $131 million; to Latin America (excepting Cuba), $29 million.","1850828651","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Aug 2, 1965","0028-9604","5","English","English","72","New York","Aug 2, 1965","Newsweek",1965,"66","https://www.proquest.com/magazines/exporting-communism/docview/1850828651/se-2?accountid=14696","Photographs","72","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=66&amp;issue=5&amp;title=Newsweek&amp;spage=72&amp;date=1965-08-02&amp;atitle=EXPORTING+COMMUNISM&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"13",1965-09-27,1965,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1965_9_27_1645700 (N=1)",3,"batch2_3.pdf","PROFITS FROM SUBSIDIES: BILLION-DOLLAR POOL","When the recipients of government handouts get rich enough to start a lending bank it is time to revise not only policies but the meaning of words. Yet an amazing proposal for such a bank has been made by the National Rural Electric Cooperative Association on the advice of a venerable Wall Street investment firm, Kuhn, Loeb and Co.","1850804887","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Sep 27, 1965","0028-9604","13","English","English","112","New York","Sep 27, 1965","Newsweek",1965,"66","https://www.proquest.com/magazines/profits-subsidies/docview/1850804887/se-2?accountid=14696","Photographs","112","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=66&amp;issue=13&amp;title=Newsweek&amp;spage=112&amp;date=1965-09-27&amp;atitle=PROFITS+FROM+SUBSIDIES&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"14",1965-10-25,1965,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1965_10_25_1645701 (N=1)",NA,"na","INEFFICIENT COLLEGES: WASTE OF TALENT","Higher education is not overlooked in the Johnson-sponsored aid-toeducation legislation, but its benefits will fall far short unless the colleges and universities do a great deal to provide more education at less cost per student.","2442863978","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Oct 25, 1965","0028-9604","17","English","English","124","New York","Oct 25, 1965","Newsweek",1965,"66","https://www.proquest.com/magazines/inefficient-colleges/docview/2442863978/se-2?accountid=14696","Photographs","124","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=66&amp;issue=17&amp;title=Newsweek&amp;spage=124&amp;date=1965-10-25&amp;atitle=INEFFICIENT+COLLEGES&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"15",1965-12-27,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1965_Dec_27_1645703 (N=1)",73,"batch1_73.pdf","FREEDOM OF THE SEAS: PACIFIC BLOCKADE","The title of this piece is one of those nice expressions which idealistic Americans, notably Woodrow Wilson in World War I, used to refute the claims of those who were interfering with what we called our rights. But for generations, especially since the Battle of Trafalgar, such freedom existed because Britain dominated the sea lanes of the world, keeping them free to commerce in peace but restricting them in war.","1866769784","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Dec 27, 1965","0028-9604","26","English","English","74","New York","Dec 27, 1965","Newsweek",1965,"66","https://www.proquest.com/magazines/freedom-seas/docview/1866769784/se-2?accountid=14696","Photographs","74","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=66&amp;issue=26&amp;title=Newsweek&amp;spage=74&amp;date=1965-12-27&amp;atitle=FREEDOM+OF+THE+SEAS&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"16",1965-11-01,1965,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1965_Nov_1_1645702 (N=1)",77,"batch1_77.pdf","THE MORRISSEY CASE: SORENSEN'S OPINION","The quality of law can rise no higher than the conscience and competence of the lawmakers. But in the application and interpretation of law the judges on our courts are the individual's assurance of justice. For the judges must protect good men against bad laws and impose good laws upon bad men.","1883525756","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Nov 1, 1965","0028-9604","18","English","English","100","New York","Nov 1, 1965","Newsweek",1965,"66","https://www.proquest.com/magazines/morrissey-case/docview/1883525756/se-2?accountid=14696","Photographs","100","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=66&amp;issue=18&amp;title=Newsweek&amp;spage=100&amp;date=1965-11-01&amp;atitle=THE+MORRISSEY+CASE&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"17",1966-01-24,1966,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1966_1_24_1645704 (N=1)",69,"batch1_69.pdf","AUTOMOTIVE SAFETY-1: INEXORABLE INCREASE","While I have never known of any lives that have been saved by statistics, I offer a few figures as an introduction to a serial consideration of automotive safety. These will serve for the record and to remind my readers that safety on the roads, streets and highways is more important than any other national problem that the President will discuss this month except the war in Asia.","1894144251","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Jan 24, 1966","0028-9604","4","English","English","92","New York","Jan 24, 1966","Newsweek",1966,"67","https://www.proquest.com/magazines/automotive-safety-1/docview/1894144251/se-2?accountid=14696","Photographs","92","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=67&amp;issue=4&amp;title=Newsweek&amp;spage=92&amp;date=1966-01-24&amp;atitle=AUTOMOTIVE+SAFETY-1&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"18",1966-02-28,1966,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1966_2_28_1645705 (N=1)",65,"batch1_65.pdf","GUNS AND BUTTER PLUS: THE DICKEY-LINCOLN SCHEME","Inflation is no longer a threat. It is a fact. The most practical way to lessen its impact is to cut Federal spending. But our President says we must have guns and butter too.","2442856681","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Feb 28, 1966","0028-9604","9","English","English","96","New York","Feb 28, 1966","Newsweek",1966,"67","https://www.proquest.com/magazines/guns-butter-plus/docview/2442856681/se-2?accountid=14696","Photographs","96","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=67&amp;issue=9&amp;title=Newsweek&amp;spage=96&amp;date=1966-02-28&amp;atitle=GUNS+AND+BUTTER+PLUS&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"19",1966-03-21,1966,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1966_3_21_1645706 (N=1)",62,"batch1_62.pdf","LBJ AND AUTO SAFETY: FEDERAL INTERVENTION","It is significant that President Johnson, in proposing to Congress the adoption of his ""Traffic Safety Act of 1966,"" does not agree with Sen. Robert F. Kennedy's caustic arraignment of the automobile industry. Nor does he go as far as Senator Ribicoff in charging that the industry has been dragging its feet in building into its cars more provisions for the safety of the occupants.","1895335245","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Mar 21, 1966","0028-9604","12","English","English","112","New York","Mar 21, 1966","Newsweek",1966,"67","https://www.proquest.com/magazines/lbj-auto-safety/docview/1895335245/se-2?accountid=14696","Photographs","112","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=67&amp;issue=12&amp;title=Newsweek&amp;spage=112&amp;date=1966-03-21&amp;atitle=LBJ+AND+AUTO+SAFETY&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"20",1966-10-31,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1966_10_31_1645712 (N=1)",34,"batch1_34.pdf","ROCKEFELLER: NEW YORK HAS GROWN UP","Recently a dear old conservative friend seemed amazed when I told him that I had decided to support Governor Rockefeller for reelection. This, he said, was apostasy in a friend of Gold water and Nixon. I replied that he is applying in a very effective way a foremost principle of conservatism.","1866768826","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Oct 31, 1966","0028-9604","18","English","English","120","New York","Oct 31, 1966","Newsweek",1966,"68","https://www.proquest.com/magazines/rockefeller/docview/1866768826/se-2?accountid=14696","Photographs","120","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=68&amp;issue=18&amp;title=Newsweek&amp;spage=120&amp;date=1966-10-31&amp;atitle=ROCKEFELLER&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"21",1942-01-19,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1942-01-19_19_3 (N=1)",88,"batch8_88.pdf","A Declaration of Intention","Looking back over the week or so since the President's budget message, the most astonishing and portentous thing about the budget is not its great size but the fantastic reactions of most of those who have written about it. A budget of over $50,000,000,000 should not have taken the expert commentators by surprise. A little reckoning any time since our war came upon us or even since the probability of war moved into our horizon would have suggested its broad outlines.","1797092237","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Jan 19, 1942","0028-9604","3","English","English","64","New York","Jan 19, 1942","Newsweek",1942,"19","https://www.proquest.com/magazines/declaration-intention/docview/1797092237/se-2?accountid=14696",NA,"64","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=19&amp;issue=3&amp;title=Newsweek&amp;spage=64&amp;date=1942-01-19&amp;atitle=A+Declaration+of+Intention&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"22",1942-01-19,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1942-01-19_19_3 (N=1)",89,"batch8_89.pdf","War of Words","The presentation of a play that tells of Woodrow Wilson's effort to create a new world out of a world victory recalls the essential strategy that won the other war. Plainly, it was not an all-out military victory that brought the Armistice. It was a victory over the minds and morale of the German people. This much has been revealed by innumerable pieces of evidence that have since come out of Germany, notably that contributed by the redoubtable Ludendorff himself.","1797086794","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Jan 19, 1942","0028-9604","3","English","English","64","New York","Jan 19, 1942","Newsweek",1942,"19","https://www.proquest.com/magazines/war-words/docview/1797086794/se-2?accountid=14696",NA,"64","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=19&amp;issue=3&amp;title=Newsweek&amp;spage=64&amp;date=1942-01-19&amp;atitle=War+of+Words&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
"23",1942-02-02,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1942-02-02_19_5 (N=1)",87,"batch8_87.pdf","The Beam in the Eye of Congress","The Vinson report is not, as some people are claiming, a peculiarly horrible example of Congressional reporting. The case is much worse: it's a pretty typical one. This issue of NEWSWEEK offers evidence of what is wrong with its facts and inferences (see page 44).","1894121990","Magazines","Moley, Raymond","© IBT Media, Inc","Article","Feb 2, 1942","0028-9604","5","English","English","64","New York","Feb 2, 1942","Newsweek",1942,"19","https://www.proquest.com/magazines/beam-eye-congress/docview/1894121990/se-2?accountid=14696",NA,"64","https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=19&amp;issue=5&amp;title=Newsweek&amp;spage=64&amp;date=1942-02-02&amp;atitle=The+Beam+in+the+Eye+of+Congress&amp;au=Moley%2C+Raymond&amp;id=doi:","The Newsweek Archive"
