Title,Subtitle,Author,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,DocumentUrl,DOI
The Voice of the Nation,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/31/1969,31-Mar-69,C9,,c9,4583035,,,ENG,https://www.proquest.com/docview/156134247?accountid=14696&bdid=91914&_bd=p8DX3K4Xzp647IvcTkbDnpjJN60%3D,
The Frosty Fruit of Thrift,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/22/1968,22-Jan-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155817695?accountid=14696&bdid=91914&_bd=Mutj9Axi2DWKxqdNOkASrOq0W38%3D,
Frankfurter and Flattery,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/31/1968,31-Jan-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155747146?accountid=14696&bdid=91914&_bd=LY1WTjY1HqYG1Cun6ggO%2BaQvOEM%3D,
Taiwan's Model Land Reform,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/6/1969,6-Jan-69,C9,,c9,4583035,,,ENG,https://www.proquest.com/docview/156084867?accountid=14696&bdid=91914&_bd=jRvW5lMJCmdo9KiXdGgQwTznBL4%3D,
Bob Kennedy's 'Hypocrisy',,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/7/1967,7-Dec-67,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/155804811?accountid=14696&bdid=91914&_bd=pvmKfWJQJM2yqzI%2BpsZ9fe42O5U%3D,
The Indispensable Ray Bliss,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/27/1968,27-Nov-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/156182297?accountid=14696&bdid=91914&_bd=pIle0p3R2Tofwdv1gDUZ3ZGw3ds%3D,
Erosion of Fabric of Order,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/24/1967,24-Dec-67,F7,,f7,4583035,,,ENG,https://www.proquest.com/docview/155929622?accountid=14696&bdid=91914&_bd=rFbF7KAAaaSODS%2BmTwppV2MRKXI%3D,
Federal Reorganizations Hardly Likely but Some Could Be Used!,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/23/1968,23-Dec-68,A7,,a7,4583035,,,ENG,https://www.proquest.com/docview/156166906?accountid=14696&bdid=91914&_bd=oCymh73PI2peHRyUrTJUgaZs1F8%3D,
Too Much Conservation?,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/22/1969,22-Apr-69,C9,,c9,4583035,,,ENG,https://www.proquest.com/docview/156166901?accountid=14696&bdid=91914&_bd=TPe2zbDMsCFml2QmHtJ3S4CBV%2FU%3D,
Waste in Health Services,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/27/1967,27-Dec-67,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155785937?accountid=14696&bdid=91914&_bd=Bb7DZ92W1ID0ts2IwyaACd%2BhFWE%3D,
Arctic Sea Route,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/16/1969,16-Jun-69,A9,,a9,4583035,,,ENG,https://www.proquest.com/docview/156237138?accountid=14696&bdid=91914&_bd=%2BPPtahMyzQjNbb%2BGO7HpVvfuHaI%3D,
The Constitution Revisited,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/15/1968,15-May-68,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/155919997?accountid=14696&bdid=91914&_bd=ACb1qfwwxknQ4yr5s63atZ52S2E%3D,
Nixon Has Re-established the Two-Party System in the U.S.,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/11/1968,11-Nov-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/156149187?accountid=14696&bdid=91914&_bd=xJ0n3V%2FmCltclmAEqgbumBclp50%3D,
...to Hear the Grass Grow?,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/16/1968,16-Oct-68,D7,,d7,4583035,,,ENG,https://www.proquest.com/docview/156070188?accountid=14696&bdid=91914&_bd=KYR8kDwRZGhMitGozQTxVaFo3B0%3D,
... of More 'Antis' Than 'Pros',,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/20/1968,20-Nov-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/156135469?accountid=14696&bdid=91914&_bd=i31ZmUO11oM6wUd6nF0n2qL1Umc%3D,
Tax Loopholes Are Facing Trouble,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/12/1967,12-Nov-67,F7,,f7,4583035,,,ENG,https://www.proquest.com/docview/155780520?accountid=14696&bdid=91914&_bd=hglMo%2FjjwxTyLYv%2BeOfhfv0QnCQ%3D,
A Convalescence in Anger,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/5/1967,5-Nov-67,L7,,l7,4583035,,,ENG,https://www.proquest.com/docview/155909823?accountid=14696&bdid=91914&_bd=G0hdtsdzNZLYAUXjnslO0G4kDPg%3D,
The Voice of the Nation,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/31/1969,31-Mar-69,E7,,e7,4583035,,,ENG,https://www.proquest.com/docview/156120937?accountid=14696&bdid=91914&_bd=XeM%2BV6PK1fpbJVSo8YLE%2F4ccRVE%3D,
Church's Answer to Communism,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/7/1968,7-Jan-68,L7,,l7,4583035,,,ENG,https://www.proquest.com/docview/155799887?accountid=14696&bdid=91914&_bd=PuWnt6UUVQn7VbxGZ6fs%2B4jvh5Q%3D,
Reform of the Property Tax Has Been Noticeably Unmentioned,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/4/1968,4-Dec-68,D7,,d7,4583035,,,ENG,https://www.proquest.com/docview/156030856?accountid=14696&bdid=91914&_bd=PfenbYrgZXUsB%2FQQY0FaccOtfOk%3D,
Real Enemies of Black Studies Are Its Backers,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/28/1969,28-Apr-69,C11,,c11,4583035,,,ENG,https://www.proquest.com/docview/156181414?accountid=14696&bdid=91914&_bd=6X6x1Klb2fX8rZoZDWfsvtU6SkU%3D,
Persian Gulf Pressure-Point,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/23/1969,23-Jun-69,A11,,a11,4583035,,,ENG,https://www.proquest.com/docview/156237787?accountid=14696&bdid=91914&_bd=GLGekxGTqxUaEnOpv1ZYAAWl3Uo%3D,
Different Kind of President,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/18/1968,18-Nov-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/156033283?accountid=14696&bdid=91914&_bd=nEKJQxjZDPHDMFcqj6ysiWmK%2FW0%3D,
Growth of Soviet Naval Power Is a New Problem,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/11/1967,11-Jun-67,E7,,e7,4583035,,,ENG,https://www.proquest.com/docview/155740481?accountid=14696&bdid=91914&_bd=rfMd0ipm71OvupqchHhMxrvgEeg%3D,
'Candidate-Watching' the GOP,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/4/1967,4-Jun-67,K7,,k7,4583035,,,ENG,https://www.proquest.com/docview/155684335?accountid=14696&bdid=91914&_bd=Y9FAJ%2Fg5t8yWxv%2B%2FA8pFzg%2Ba2MM%3D,
The Durable Dean Rusk Has Finally Come Into His Own,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/3/1968,3-Apr-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155860680?accountid=14696&bdid=91914&_bd=Acj68Jd7PNhgNO88AsfAxs5Zlfg%3D,
TV Subsidy: Potential Mischief,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/25/1967,25-Jun-67,I7,,i7,4583035,,,ENG,https://www.proquest.com/docview/155750685?accountid=14696&bdid=91914&_bd=SqrwE6hKtaaZzGjqgARSPuWmTmo%3D,
Illusion of GOP Disunity,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/27/1968,27-Mar-68,b5,,,4583035,,,ENG,https://www.proquest.com/docview/2727244486?accountid=14696&bdid=91914&_bd=f3lVPEt8IHR5a6KciOb6RLyCelM%3D,
Agnew and the 'Flynn Rule',,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,8/21/1968,21-Aug-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/156043764?accountid=14696&bdid=91914&_bd=7u3DDaCZlCu%2FYhEBh439%2ByaMat8%3D,
Rights: Heat Without Light,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/17/1968,17-Apr-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155905619?accountid=14696&bdid=91914&_bd=rC0tzE2a%2BeuDBx7nY6a6DDjGEEw%3D,
Health Institutes Demonstrate How Riches Can Produce Waste,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/1/1968,1-Jan-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155810797?accountid=14696&bdid=91914&_bd=UKYFJQoRAkz%2BOpCyhoAxnKRJNzQ%3D,
True Priorities for Water,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/22/1968,22-May-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155926423?accountid=14696&bdid=91914&_bd=9S%2Fa2izJVQJn4IIww0LC%2FUpA92w%3D,
Coalitions and Communists,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/12/1968,12-Jun-68,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/155924641?accountid=14696&bdid=91914&_bd=LBZPY5JZcJyF6yjyGQHucCaR8nk%3D,
The Voice of the Nation,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,8/12/1968,12-Aug-68,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/156042958?accountid=14696&bdid=91914&_bd=ZTsgHk2zVegrV41ZO9UQF6Fek9o%3D,
Rich Public Servants,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/27/1969,27-Jan-69,B9,,b9,4583035,,,ENG,https://www.proquest.com/docview/156068526?accountid=14696&bdid=91914&_bd=fJxKMrogVtQMab7rQJkXzR2cswE%3D,
"U.S. Finance: The Bigger the Surplus, the Bigger the Debt",,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/12/1969,12-May-69,A11,,a11,4583035,,,ENG,https://www.proquest.com/docview/156220294?accountid=14696&bdid=91914&_bd=3vijwoG9Xajdp7bNRTHFpLpQDJA%3D,
Fewer Presidential Advisers?,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/25/1968,25-Nov-68,A7,,a7,4583035,,,ENG,https://www.proquest.com/docview/156137392?accountid=14696&bdid=91914&_bd=JvoAlfJ51%2FDTHl8T2%2BX3uZYFnhk%3D,
College Students Have a Valid Complaint on Teaching Setup,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/26/1969,26-May-69,B9,,b9,4583035,,,ENG,https://www.proquest.com/docview/156189397?accountid=14696&bdid=91914&_bd=KqBecRWaseQ1azGBuLTB7G58g9A%3D,
Alarming Soviet Sea Power,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/1/1969,1-Jul-69,B9,,b9,4583035,,,ENG,https://www.proquest.com/docview/156234050?accountid=14696&bdid=91914&_bd=YNAVVGdGXwcsGf%2FOkc%2FkpmAOCL8%3D,
1968 Presidential Race Will Be Totally Unlike '64,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,9/25/1967,25-Sep-67,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155790539?accountid=14696&bdid=91914&_bd=yaZ3ke6AWcDwY9fzTf1CgbKeuPY%3D,
The Grim Threat of Lawlessness,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/17/1967,17-Dec-67,L7,,l7,4583035,,,ENG,https://www.proquest.com/docview/155762181?accountid=14696&bdid=91914&_bd=wJ8fCG9lpFLvqGguFCkWRZBvFEw%3D,
A Few Good Words for Spiro T. Agnew,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/30/1968,30-Oct-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/155977452?accountid=14696&bdid=91914&_bd=rJHCNCRE63%2BNLxxv1pQqOWJe55Q%3D,
Nixon's View About Vietnam,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/29/1967,29-Oct-67,K7,,k7,4583035,,,ENG,https://www.proquest.com/docview/155846145?accountid=14696&bdid=91914&_bd=%2FcKt5dqXkb7sBLVdpm7%2FMCJ6ilA%3D,
The Long-Wallace Contrast,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/28/1968,28-Oct-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/156069269?accountid=14696&bdid=91914&_bd=%2BE1vAEbOX0kkSor3myR6t2EkM5Q%3D,
Popular Election of Presidents? There Are Two Major Objections,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/31/1968,31-Jul-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155949896?accountid=14696&bdid=91914&_bd=GcsPiNA2ZbkA4OH3nfh5h9bt1fc%3D,
Is the U.S. Pricing Social Security Out of Business?,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/13/1967,13-Dec-67,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/155793118?accountid=14696&bdid=91914&_bd=a3W2NcAd6kBITNs5BSX2zowIuDI%3D,
Must We Have Primaries to Prove Pollsters Wrong?,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/19/1968,19-Jun-68,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/155912803?accountid=14696&bdid=91914&_bd=Pq9xM%2FQV%2BkchzRXa1jMk9JEl2cM%3D,
Unhorse Sen. Lausche?--A Young Buckeye Will Try,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/3/1967,3-Dec-67,L7,,l7,4583035,,,ENG,https://www.proquest.com/docview/155717703?accountid=14696&bdid=91914&_bd=CNpJPqvAw%2FWEpSwYPeFJYTSCo4s%3D,
"Administration's Not Yet Up to Scratch, on Itch for Jobs",,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/24/1969,24-Mar-69,C9,,c9,4583035,,,ENG,https://www.proquest.com/docview/156184671?accountid=14696&bdid=91914&_bd=RTDn0ht%2B26KzJ%2F7Xrv%2FzkeaXwGk%3D,
Decline of the U.S. Senate,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/14/1968,14-Jan-68,K7,,k7,4583035,,,ENG,https://www.proquest.com/docview/155829652?accountid=14696&bdid=91914&_bd=23aBSe1hM1c8W8mPWqNMWMoOrMc%3D,
Much Can Be Said Against Restrictions on Travel,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/17/1968,17-Jan-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155771466?accountid=14696&bdid=91914&_bd=uuy1zqSaJsf3SfGTX6wA5Ay2cnM%3D,
Electoral College Muddle,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/10/1969,10-Mar-69,C11,,c11,4583035,,,ENG,https://www.proquest.com/docview/156150365?accountid=14696&bdid=91914&_bd=bJ2pDpp9flUDQUhRS%2FgNV7AwbCg%3D,
Self-Defeating 'Freedom' Hunt,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/2/1967,2-Jul-67,I7,,i7,4583035,,,ENG,https://www.proquest.com/docview/155776477?accountid=14696&bdid=91914&_bd=V32yRUEOgB9k3qrDrwPQ5f8reD4%3D,
Failure of the Faculties,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/19/1969,19-May-69,A9,,a9,4583035,,,ENG,https://www.proquest.com/docview/156108829?accountid=14696&bdid=91914&_bd=6eeAo0lJPturI0KNdBKZm%2F8QfBo%3D,
The Circularity of Revolutions,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,9/17/1967,17-Sep-67,F7,,f7,4583035,,,ENG,https://www.proquest.com/docview/155817408?accountid=14696&bdid=91914&_bd=rjDXhKIb5gb8KXuU2doyHlLonbo%3D,
Costly Federal Landholding,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/7/1969,7-Jul-69,A9,,a9,4583035,,,ENG,https://www.proquest.com/docview/156172292?accountid=14696&bdid=91914&_bd=Z0xCLQq5%2ByDud0Anj9iw1z8iFzI%3D,
Bobby's White House Bid Is the Stuff of Medieval Legend,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/20/1968,20-Mar-68,b5,,,4583035,,,ENG,https://www.proquest.com/docview/2727259792?accountid=14696&bdid=91914&_bd=kAYOc8EcRjgN4leyYCjtSNPkb88%3D,
New Administration Faces Old Battle With Bureaucratic Breed,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/2/1968,2-Dec-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/156100304?accountid=14696&bdid=91914&_bd=i%2F5VCMzr2Y2wCxLtFYWgewbL3Hg%3D,
Youth: Presentable and...,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/3/1969,3-Feb-69,C11,,c11,4583035,,,ENG,https://www.proquest.com/docview/156155253?accountid=14696&bdid=91914&_bd=gmebK5TsPE2GM4%2F8h4Q3BnD54lM%3D,
"Today, the Resplendent Debtor",,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/1/1967,1-Oct-67,L7,,l7,4583035,,,ENG,https://www.proquest.com/docview/155858910?accountid=14696&bdid=91914&_bd=YIPg3WlcwQPMdpqdE8gsSPt6uAI%3D,
Is U.S. Ready to Lend an Ear to Nixon's 'Forgotten' People?,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,9/18/1968,18-Sep-68,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/156061830?accountid=14696&bdid=91914&_bd=ozrbOIdKyUniP2IFCaJonFFvtUA%3D,
Battleship Reactivation Order Caps Years of Naval Prodding,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,8/13/1967,13-Aug-67,K7,,k7,4583035,,,ENG,https://www.proquest.com/docview/155744587?accountid=14696&bdid=91914&_bd=iJeDWpFD3xdRHRqzl74T4o3ERJs%3D,
The Travail of Modern Campaigning,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/23/1968,23-Oct-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/156000410?accountid=14696&bdid=91914&_bd=xhVOJ%2FxEpeocQQyggMwJJsLe6w0%3D,
Danger in Social Services,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/5/1968,5-Feb-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155831703?accountid=14696&bdid=91914&_bd=79d9YVXONACvRJwKAodHkoFgE1M%3D,
Presidential Prestidigitation,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/8/1967,8-Oct-67,M7,,m7,4583035,,,ENG,https://www.proquest.com/docview/155741787?accountid=14696&bdid=91914&_bd=QaOR9WzxKC27kPmaZ8znlVJC7sk%3D,
"Aiding Poor Is Noble, but Does It Elect Presidents?",,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/21/1968,21-Oct-68,B7,,b7,4583035,,,ENG,https://www.proquest.com/docview/156113480?accountid=14696&bdid=91914&_bd=d%2BO5FtfK9IWYNr1WlDbv4hrozN4%3D,
Private Pension Plans in Peril,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/10/1967,10-Dec-67,F7,,f7,4583035,,,ENG,https://www.proquest.com/docview/155908255?accountid=14696&bdid=91914&_bd=M73aFRc7VfYtzsBnFSeSg88dcKM%3D,
Is the GOP a Minority Party?,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,8/6/1968,6-Aug-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155954875?accountid=14696&bdid=91914&_bd=UAfbKNcvIsyl%2FS75eyyUvLESoM4%3D,
Nineveh and Tyre Are Being Joined by the British Empire,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/30/1967,30-Jul-67,F7,,f7,4583035,,,ENG,https://www.proquest.com/docview/155702658?accountid=14696&bdid=91914&_bd=I5YAp50RvYwqCfODyhYDJsr%2FqbY%3D,
This 'Participatory Democracy',,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/8/1968,8-May-68,D5,,d5,4583035,,,ENG,https://www.proquest.com/docview/155924577?accountid=14696&bdid=91914&_bd=%2FuzxSYe1Cb0%2FDpiJcEaskaGIdAc%3D,
U.S. Can Learn 3 Lessons From Strife in Middle East,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/18/1967,18-Jun-67,K7,,k7,4583035,,,ENG,https://www.proquest.com/docview/155811291?accountid=14696&bdid=91914&_bd=0VGgtW%2FLDaPju%2FRuVkUOgiEqCws%3D,
Wrongness of Public Strikes,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/15/1967,15-Oct-67,L7,,l7,4583035,,,ENG,https://www.proquest.com/docview/155785444?accountid=14696&bdid=91914&_bd=ijsVNMo27gl6T5NBgab5dqsnX%2FU%3D,
Do the Presidential Primaries Really Have Any Importance?,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/24/1968,24-Apr-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155909192?accountid=14696&bdid=91914&_bd=8%2Bp%2FFGKw5aG%2Fo5tumR6eO1zUMS8%3D,
Humphrey May Win N.Y. Over GOP-Conservative Impasse,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,9/4/1968,4-Sep-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/156116870?accountid=14696&bdid=91914&_bd=w2XpU1YEHAcVAC6N36i3sHmzKCU%3D,
'Peace' Negotiations---the Communist Way of Strife,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/12/1968,12-Feb-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155830627?accountid=14696&bdid=91914&_bd=MQwe6olfkrM4lbmrH%2FZUxAehwgM%3D,
Soviet Ships; Vietnam Supplies,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/16/1967,16-Jul-67,K7,,k7,4583035,,,ENG,https://www.proquest.com/docview/155713084?accountid=14696&bdid=91914&_bd=GQW2RFjIP26LQEfoD2iQlnxmiMM%3D,
How Democracy 'Democs',,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/6/1968,6-Mar-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/156004391?accountid=14696&bdid=91914&_bd=ZdcRd0vKR2PFsFokr01PE8R6bLM%3D,
Goldwater's Libel Suit Could Improve Government,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/5/1968,5-Jun-68,A5,,a5,4583035,,,ENG,https://www.proquest.com/docview/155934511?accountid=14696&bdid=91914&_bd=3kuxqfqtdXnqbidXrpQLDsLRPbg%3D,
The Sea Power Argument Is Strong Vietnam War Backing,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,9/25/1968,25-Sep-68,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/155931641?accountid=14696&bdid=91914&_bd=ryQUJ4cTMMFJdi5sbnLi1sTSiQY%3D,
