"","code","segment","coverage","date_bak","date","year"
"372","Domestic Policy Misc","THE President's July call for readiness and sacrifice in meeting the Soviet threat seems to have little application to Interior Secretary Udall's attitudes toward two of our most vital industries. The one is the plan to create a government monopoly in the production and distribution of electric power. The other is an almost unbelievable indifference toward the Soviet Union's tremendous drive to subvert large areas of the world by dumping a large part of its rapidly growing oil production.",11.32,"1961-08-21batch2_216_page0.txt",1961-08-21,1961
"373","Foreign Policy / War","This oil offensive is one of the most dramatic weapons forged by the Soviet in the cold war. The Kremlin has been stepping up its production of oil by drilling to greater depths in the rich Baku region and by bringing into production a recently opened oil field in the Volga-Baku region.",6.59,"1961-08-21batch2_216_page0.txt",1961-08-21,1961
"374","Political analysis\John F Kennedy","Kennedy",0.16,"1961-07-03batch2_223_page0.txt",1961-07-03,1961
"375","Economy\Statism","The RFC was told to get the money for its vast lending operations by drawing it directly, and without Congressional appropriations, from the
Treasury. This money was to come from the sale of government bonds. It simply meant adding the amount
to the national debt and thus providing for fiat or inflationary money for the use of the bond-buying public.",8.27,"1961-07-03batch2_223_page0.txt",1961-07-03,1961
"376","Foreign Policy / War","The men selected by the President
to interpret foreign policy are the
heirs of a principle established and
maintained by illustrious American
statesmen. The Monroe Doctrine is
an ""entailed"" inheritance. It cannot
be sold for the promise of good will
nor given away, nor dissipated by re-
interpretation. Those who speak for
the nation now are not creators, they
are trustees.",9.09,"1961-06-26batch2_224_page0.txt",1961-06-26,1961
"377","Civil Rights","This word has been used in the Ne-
gro press to express its unhappiness
with legislation which, the editors say,
gives the appearance without the sub-
stance of rights and privileges.",4.37,"1961-05-08batch2_231_page0.txt",1961-05-08,1961
"378","Political analysis\John F Kennedy","Kennedy",0.17,"1961-05-08batch2_231_page0.txt",1961-05-08,1961
"379","Education","SCHOOL",0.14,"1961-05-08batch2_231_page0.txt",1961-05-08,1961
"380","Economy","N THE campaign of 1960 the rate of national growth as measured by a statistic called the gross national product was an issue.",2.85,"1961-04-03batch2_236_page0.txt",1961-04-03,1961
"381","Political analysis\Nixon","Nixon",0.12,"1961-03-13batch2_239_page0.txt",1961-03-13,1961
"382","Political analysis\Conservative Politics","The center of a truly active and
articulate youth movement in the
field of politics is among the current
college population. And there, rather
than among the aged, lies a great
reservoir of conservative thinking.",5,"1961-03-13batch2_239_page0.txt",1961-03-13,1961
"383","Political analysis\Goldwater","It flares into enthusiasm when-
ever Senator Goldwater speaks to
college audiences.",1.96,"1961-03-13batch2_239_page0.txt",1961-03-13,1961
"384","Political analysis\Promote GOP unity and cause","Conservative clubs are proliferating
on campuses. In a recently published
""Directory of College Conservative
Clubs,"" published by Young Ameri-
cans for Freedom, clubs are listed in
97 institutions in 25 states. Many of
these have their campus publications.
They are insisting that they be heard.
They are on the march.",7.49,"1961-03-13batch2_239_page0.txt",1961-03-13,1961
"385","Education","But the minute and over-all control would be through administration. No doubt the Federal administration of aid would be through the U.S. Office of Education. That office already exercises a large measure of indirect control, but its close relationship to the National Education Association gives assurance that its policies would be closely identified with those of that pressure group.",8.95,"1961-02-20batch2_242_page0.txt",1961-02-20,1961
"386","Lobbying-Pressure Groups","pressure group",0.32,"1961-02-20batch2_242_page0.txt",1961-02-20,1961
"387","Lobbying-Pressure Groups","pressure group",0.32,"1961-02-20batch2_242_page0.txt",1961-02-20,1961
"388","Lobbying-Pressure Groups","Thus, the relationship between the Federal educational bureaucracy and the NEA and other professional groups has been very close. Under general Federal public-school aid, there will be immeasurably more identity of purpose.",5.15,"1961-02-20batch2_242_page0.txt",1961-02-20,1961
"389","Notable Datelines","LOS ANGELES",0.26,"1961-01-23batch2_246_page0.txt",1961-01-23,1961
"390","Economy\Business","President-elect Kennedy’s Administration toward free enterprise. All wonder about the pattern of action.",2.45,"1961-01-23batch2_246_page0.txt",1961-01-23,1961
"391","Political analysis\John F Kennedy","President-elect Kennedy’s Administration toward free enterprise. All wonder about the pattern of action.",2.45,"1961-01-23batch2_246_page0.txt",1961-01-23,1961
"392","Education","school",0.14,"1961-01-23batch2_246_page0.txt",1961-01-23,1961
"393","Economy\Statism","With the growth in power and number of such commissions, there were serious warnings. Some called this “administrative despotism.” Such agencies were nominally independent, but the power of the President was extensive. Collectively, their power is greater than that of the heads of the great departments, and their freedom from court review is considerable",8.4,"1961-01-23batch2_246_page0.txt",1961-01-23,1961
"394","Economy\Business","Congress in 1961 may well note once more that reorganization is in the air. And business should prepare for more paper work, more trips to the seat of power in Washington, and less freedom.",4.46,"1961-01-23batch2_246_page0.txt",1961-01-23,1961
"395","Political analysis\Dem criticism","Congress in 1961 may well note once more that reorganization is in the air. And business should prepare for more paper work, more trips to the seat of power in Washington, and less freedom.",4.46,"1961-01-23batch2_246_page0.txt",1961-01-23,1961
"396","Political analysis","IN POLITICS—especially in politics—history and experience are the venerated teachers of teachers. So before peering into the 1960s I shall revisit the beginnings of the past five decades.",4.43,"1959-12-14batch3_48_page0.txt",1959-12-14,1959
"397","Notable writing","The party system is now in decline. Perhaps a new pattern of modified, competitive capitalism will be embraced by both parties. Shorn of the outworn shibboleths of the 1930s and 1940s, both parties can operate to provide effective options for choice by the electorate.

We shall be swept by neither despair nor revolutionary change. Optimism is still an American habit.",8.74,"1959-12-14batch3_48_page0.txt",1959-12-14,1959
"398","Political analysis","The party system is now in decline. Perhaps a new pattern of modified, competitive capitalism will be embraced by both parties. Shorn of the outworn shibboleths of the 1930s and 1940s, both parties can operate to provide effective options for choice by the electorate.

We shall be swept by neither despair nor revolutionary change. Optimism is still an American habit.",8.74,"1959-12-14batch3_48_page0.txt",1959-12-14,1959
"399","Notable Datelines","LONDON—",0.16,"1959-10-26batch3_55_page0.txt",1959-10-26,1959
"400","Foreign Policy / War\Great Britian coverage","The monumental sweep of the Conservatives in the British general election offers many forceful lessons for American political parties, for our politically active labor unions, and for Americans generally.",4.78,"1959-10-26batch3_55_page0.txt",1959-10-26,1959
"401","Political analysis\Dem criticism","The liberal wing of the Democratic Party should note the great similarity between its arguments and the now discredited appeals of the British socialists. Both promise greater spending for social services, housing, and educational novelties. Both would find new taxes from the rich and from business. Both offer the Keynesian theory of multiplying production by government spending.",8.94,"1959-10-26batch3_55_page0.txt",1959-10-26,1959
"402","Labor","The political labor unions in America and the British socialists alike encourage a class division—the rich and big business against the poor. This class appeal utterly failed in this election. The great and growing middle group, who are a majority in both countries, want no class struggle. Both British and American workers are coming to scorn the idea that they are a class apart.",8.94,"1959-10-26batch3_55_page0.txt",1959-10-26,1959
"403","Communism","IT MUST not be forgotten that Khrushchev rose to power as a sort of agricultural genius",2.02,"1959-09-28batch3_58_page0.txt",1959-09-28,1959
"404","Foreign Policy / War","IT MUST not be forgotten that Khrushchev rose to power as a sort of agricultural genius",2.02,"1959-09-28batch3_58_page0.txt",1959-09-28,1959
"405","Notable Datelines","MONTPELIER, VT.",0.34,"1959-08-31batch3_62_page0.txt",1959-08-31,1959
"406","Domestic Policy Misc","A few observations
emerge concerning a current trend in
politics and education. I feel no pessi-
mism about the fiber of our people.
But our ""leaders"" are cause for alarm.",3.87,"1959-08-31batch3_62_page0.txt",1959-08-31,1959
"407","Education","school",0.14,"1959-08-31batch3_62_page0.txt",1959-08-31,1959
"408","Domestic Policy Misc","The Humphrey-Price bill, which
failed to pass over the President's
veto, would have taken the Rural
Electrification Administration away
from the watchful eye of a fine public
servant, Secretary Benson. The Wash-
ington lobby for rural electrification,
many members of Congress, and zeal-
ots for a government power monopoly
want to push ""rural"" electrification be-
yond the remote farmers, who are
now supplied, to the suburbs and the
cities.",9.93,"1959-07-06batch4_5_page0.txt",1959-07-06,1959
"409","Political analysis","It would have the Federal gov-
ernment build a big Potomac River
project on the TVA model. It would
provide boating, swimming, picnick-
ing for bureaucrats and employees of
pressure groups, as well as Federal
hydroelectric for the capital commu-
nity. This Potomac paradise would be
a monument to that deathless fourth
branch, the pressure group.",7.77,"1959-07-06batch4_5_page0.txt",1959-07-06,1959
"410","Lobbying-Pressure Groups","pressure group",0.31,"1959-07-06batch4_5_page0.txt",1959-07-06,1959
"411","Lobbying-Pressure Groups","pressure group",0.31,"1959-07-06batch4_5_page0.txt",1959-07-06,1959
"412","Economy\fiscal conservatism","The charts present the factual (I
might add “fatal”) picture of “the ef-
fect of present agricultural price-
support policies on the Federal
budget, the status of the Federal gov-
ernment’s investment in price-support
inventories and loans, and the histor-
ical trend in production, consumption,
and carry-over of wheat, feed grains,
and cotton, which represent the major
part of the agricultural surpluses ac-
quired under present price-support
legislation.",10.35,"1959-06-29batch4_6_page0.txt",1959-06-29,1959
"413","Domestic Policy Misc","The charts present the factual (I
might add “fatal”) picture of “the ef-
fect of present agricultural price-
support policies on the Federal
budget, the status of the Federal gov-
ernment’s investment in price-support
inventories and loans, and the histor-
ical trend in production, consumption,
and carry-over of wheat, feed grains,
and cotton, which represent the major
part of the agricultural surpluses ac-
quired under present price-support
legislation.",10.35,"1959-06-29batch4_6_page0.txt",1959-06-29,1959
"414","Notable writing","A good example of the game
in which he is the victim is the House-
enacted bill taxing life-insurance com-
panies, which is before the Senate.
For a number of years, Congress has
taxed the ""net income"" of life-
insurance companies which is received
from their investments. The term ""net
income"" has meant the portion of the
investment income not required for
reserves to meet long-term obligations
and claims under outstanding policies.",10.02,"1959-05-04batch4_15_page0.txt",1959-05-04,1959
"415","Economy\fiscal conservatism","A good example of the game
in which he is the victim is the House-
enacted bill taxing life-insurance com-
panies, which is before the Senate.
For a number of years, Congress has
taxed the ""net income"" of life-
insurance companies which is received
from their investments. The term ""net
income"" has meant the portion of the
investment income not required for
reserves to meet long-term obligations
and claims under outstanding policies.",10.02,"1959-05-04batch4_15_page0.txt",1959-05-04,1959
"416","Notable Datelines","TOKYO",0.12,"1959-04-20batch4_17_page0.txt",1959-04-20,1959
"417","Communism","—The most frequent question
I have encountered in nearly
three weeks in Japan is whether the
United States is contemplating the
recognition of Red China",3.54,"1959-04-20batch4_17_page0.txt",1959-04-20,1959
"418","Foreign Policy / War","—The most frequent question
I have encountered in nearly
three weeks in Japan is whether the
United States is contemplating the
recognition of Red China",3.54,"1959-04-20batch4_17_page0.txt",1959-04-20,1959
"419","Notable Datelines","BILOXl, MISS.",0.29,"1959-03-02batch4_24_page0.txt",1959-03-02,1959
"420","Notable writing","Here in Biloxi every prospect pleasantly induces calm and orderly reflection upon what I have heard and read about the integration controversy during this trip through the South. Such conclusions as I may offer are based upon situations in Virginia and Alabama where legal issues have been tightly drawn and patterns of counteraction have been devised by opponents of integration. Conclusions drawn now must be tentative, for we are witnessing only the early skirmishes of a long and widespread conflict.",11.15,"1959-03-02batch4_24_page0.txt",1959-03-02,1959
"421","Education","The growth of private schools will certainly be accelerated. The concept of the free public school as the cradle of democracy will suffer some shocks. These private schools will not necessarily be supported by taxpayers' money. They may be private in the complete sense of the word. But all over the nation in the past twenty years the relative attendance in private schools has abruptly risen. Between 1940 and 1956 nonpublic schools grew four times faster than public schools. Twenty-nine per cent of the additional children who sought admittance to the schools between those years went to nonpublic schools.

One of the major reasons for this shift was popular dissatisfaction with the kind of education that the public schools were offering. The South now has another reason, which will greatly accentuate this trend.

Front Royal, Warren County, Va., after a court order requiring the opening of its high school on an integrated basis, established a foundation which is supporting private classes. The plan is solidly backed by the community. Its adaptation to other situations as a workable solution, however, cannot be predicted this early.

**BETTER PUBLIC SCHOOLS**",25.96,"1959-03-02batch4_24_page0.txt",1959-03-02,1959
"422","Notable writing","Perhaps, as Hodding Carter concludes his account of the Reconstruction in his notable book ""The Angry Scar,"" the North remembers too little of that moral and political abomination, and the South remembers too much. But the scar still harbors an infection for which the North should recognize its own responsibility.",6.97,"1959-03-02batch4_24_page0.txt",1959-03-02,1959
"423","Civil Rights","Perhaps, as Hodding Carter concludes his account of the Reconstruction in his notable book ""The Angry Scar,"" the North remembers too little of that moral and political abomination, and the South remembers too much. But the scar still harbors an infection for which the North should recognize its own responsibility.",6.97,"1959-03-02batch4_24_page0.txt",1959-03-02,1959
"424","Journalism-Media","Vincent Astor lived his childhood
and youth apart from the generality
of most of us, in a world insulated-
of private tutors, of travel, of contact
with notable people here and abroad.",4.26,"1959-02-23batch4_25_page0.txt",1959-02-23,1959
"425","Political analysis\Conservative Politics","THE homely metaphor of the three-legged stool will serve to describe what the Republican Party needs to stabilize itself.",2.77,"1959-01-26batch4_29_page0.txt",1959-01-26,1959
"426","Political analysis\Promote GOP unity and cause","It is true that the party needs a fighting faith, sharply distinguished from that of the so-called liberals, and attractive candidates. But the party needs basic organization, too, and since that is the longer job, it should be first on the agenda as the National Committee meets in Des Moines in late January.",7.09,"1959-01-26batch4_29_page0.txt",1959-01-26,1959
"427","Education","school",0.14,"1959-01-26batch4_29_page0.txt",1959-01-26,1959
"428","Political analysis\Eisenhower","IF ANY man ever earned a twilight
of unworried years, it is Dwight
D. Eisenhower. He has spent himself
lavishly for us in war and peace. As
medical authority now tells us, he carried
on at the peril of his life after
1955. Once more, a grim warning
knocks at his door",6.25,"1957-12-09batch5_40_page0.txt",1957-12-09,1957
"429","Political analysis\Nixon","The Vice President now, as
then, is constrained by sensibilities of
honor, propriety, and prudence from
speaking his mind concerning what
course should be taken.",3.77,"1957-12-09batch5_40_page0.txt",1957-12-09,1957
"430","Political analysis\Eisenhower","Common sense must reject the
claim that a disabled President can
make the decisions while a congeries
of committees work out the onerous
preliminaries",3.51,"1957-12-09batch5_40_page0.txt",1957-12-09,1957
"431","Notable writing","These facts, together with the
President's past recognition of such a
possible emergency, call for one of
two, and only two, courses. One is
resignation and the other is the assumption
by the Vice President of all, not part,
of what the Constitution designates as
""the powers and duties"" of the Presidency.

The happiest solution would be for
the President himself to make that
decision at once. In the present absence
of legal provision for such
transfer of authority, the President's
decision would not be questioned.",12.15,"1957-12-09batch5_40_page0.txt",1957-12-09,1957
"432","Political analysis\Conservative criticism","THE elections last week should be a
bitterly painful reminder to the
Administration of its past political mis-
takes and miscalculations and the ne-
cessity of some agonizing reappraisal
of its strategy. Otherwise, 1958 will
be a disaster of great magnitude.",5.93,"1957-11-18batch5_43_page0.txt",1957-11-18,1957
"433","Political analysis\Conservative criticism","One thing is certain. The wounds
from which this Republican Adminis-
tration is suffering are self-inflicted.",2.5,"1957-11-18batch5_43_page0.txt",1957-11-18,1957
"434","Political analysis\Conservative criticism","Then the Administration repudiated
its earlier conservatism and set out to
rival the New and Fair Deals in turn-
ing to more and more costly and more
centralized government, ignoring as it
did so not only its earlier promises but
the considered recommendations of
the aforementioned commissions.",6.78,"1957-11-18batch5_43_page0.txt",1957-11-18,1957
"435","Political analysis\Eisenhower","Then the Administration repudiated
its earlier conservatism and set out to
rival the New and Fair Deals in turn-
ing to more and more costly and more
centralized government, ignoring as it
did so not only its earlier promises but
the considered recommendations of
the aforementioned commissions.",6.78,"1957-11-18batch5_43_page0.txt",1957-11-18,1957
"436","Civil Rights","segregation",0.25,"1957-11-18batch5_43_page0.txt",1957-11-18,1957
"437","Notable Datelines","LOS ANGELES",0.26,"1957-09-16batch6_5_page0.txt",1957-09-16,1957
"438","Political analysis","More perceptive Californians are deeply concerned with what they believe to be the most important lesson to be learned from the recent Senatorial election in Wisconsin.",3.92,"1957-09-16batch6_5_page0.txt",1957-09-16,1957
"439","Political analysis\Nixon","Nixon",0.12,"1957-09-16batch6_5_page0.txt",1957-09-16,1957
"440","Labor","In 1954 the CIO selected the Republican congressman in the Twelfth District (Fresno) for extermination, and succeeded. In 1956, the AFL-CIO’s COPE (Committee on Political Education) moved into the Eleventh District and by a thoroughly professional job supplanted another Republican with a political newcomer.",7.18,"1957-09-16batch6_5_page0.txt",1957-09-16,1957
"441","Political analysis\Conservative Politics","This invites a closer look at the trend. It shows that in the past four biennial elections hitherto solid Republican counties have become marginal, and marginal Republican counties have become marginal Democratic, and marginal Democratic counties have become solidly Democratic.",6.48,"1957-09-16batch6_5_page0.txt",1957-09-16,1957
"442","Communism","THE Chief Justice uses the expression ""the vice of vagueness"" in condemning a Congressional investigation in the Watkins case",2.92,"1957-07-08batch6_11_page0.txt",1957-07-08,1957
"443","Civil Rights","segregation",0.26,"1957-07-08batch6_11_page0.txt",1957-07-08,1957
"444","Economy\fiscal conservatism","The great trouble with people who call themselves ""forward-looking"" is that they don't look forward. The President has occasionally teed off at people who oppose his budget estimates by saying that they want to go back to President Harrison's time or to 1860 or some other period of superstition, savagery, and ignorance. But it is these opponents of his reckless plans for spending and his feckless arguments therefor who are really looking forward. The seed we sow now in extravagance will fall upon the President's grandchildren, perhaps even upon his son. For when we germinate a new government department, agency, or activity we create something with the spark of immortality and the vitality of incredible proliferation.",16.8,"1957-06-03batch6_16_page0.txt",1957-06-03,1957
"445","Economy\fiscal conservatism","The rush into print by leaders of
both parties in Congress with
assurances of relief to the suffering tax-
payer is belated but welcome. Quite
properly, these promises are made
with the qualification that drastic
budget cuts should precede tax cuts.",5.84,"1957-05-06batch6_20_page0.txt",1957-05-06,1957
"446","Notable Datelines","COLUMBIA, S. C.—",0.38,"1957-04-29batch6_21_page0.txt",1957-04-29,1957
"447","Economy\fiscal conservatism","Federal aid to education is certainly
not coming from the states alleged to
be ""needy.""",2.07,"1957-04-29batch6_21_page0.txt",1957-04-29,1957
"448","Education","Federal aid to education is certainly
not coming from the states alleged to
be ""needy.""",2.07,"1957-04-29batch6_21_page0.txt",1957-04-29,1957
"449","Economy\Privatization of government functions","But modern liberals have not learned this plain fact. They propose now that the brightest prospect for a new industry—the various developments of atomic energy for civilian purposes—shall be a government monopoly of a size and consequence that defy imagination. Such a belief in government omnipotence is always supported by the deprecation and denial of the value of private enterprise.",8.73,"1957-03-18batch6_27_page0.txt",1957-03-18,1957
"450","Economy\Privatization of government functions","This proposal for a government superstructure runs directly counter to the present provision in the law, that the Atomic Energy Commission should seek ""to strengthen free competition in private enterprise.""",4.64,"1957-03-18batch6_27_page0.txt",1957-03-18,1957
"451","Education","J. ROBERT OPPENHEIMER has received the honor of an invitation by Harvard University to deliver the William James lectures in 1957.",3.05,"1957-02-25batch6_30_page0.txt",1957-02-25,1957
"452","Domestic Policy Misc","Oppenheimer as a citizen displayed egregiously fatal judgment in the selection of the causes he supported and the propagandists with whom he advised and associated.",3.84,"1957-02-25batch6_30_page0.txt",1957-02-25,1957
"453","Economy\fiscal conservatism","This reminded me of the feeling taxpayers must have about politicians who promise less spending and tax reductions and then, after election, dash all hopes. Perhaps we might all adjust ourselves better if we knew the worst and stopped looking.",5.73,"1957-01-28batch6_34_page0.txt",1957-01-28,1957
"454","Domestic Policy Misc","Rural Electrification Administration that it",1.04,"1957-01-28batch6_34_page0.txt",1957-01-28,1957
"455","Economy\Privatization of government functions","Item. The Gore bill would appropriate $400 million to build Federal nuclear-fueled power plants. Private companies are building such plants in considerable numbers and sizes.",4.1,"1957-01-28batch6_34_page0.txt",1957-01-28,1957
"456","Political analysis\Democratic Party politics","IF THE talk of ""moderation"" in and
around the recent Democratic ju-
bilee in Chicago had not been reek-
ing with hypocrisy, there would have
been a search for a real moderate.",4.12,"1955-12-05batch6_92_page0.txt",1955-12-05,1955
"457","Civil Rights","Despite the ballyhoo for Federal
aid that will surround the forth-
coming White House Conference on
Education, two serious obstacles stand
in its way. The first is the fear in the
South that Federal money would be
used to enforce desegregation.",5.78,"1955-11-28batch6_93_page0.txt",1955-11-28,1955
"458","Education","Despite the ballyhoo for Federal
aid that will surround the forth-
coming White House Conference on
Education, two serious obstacles stand
in its way. The first is the fear in the
South that Federal money would be
used to enforce desegregation. The
other is the rational and factual argu-
ment against resorting to Federal
aid to meet the needs of our schools.",8.53,"1955-11-28batch6_93_page0.txt",1955-11-28,1955
"459","Political analysis\Conservative Politics","That rational and factual
argument against any Federal
plan has never been
stated better than in a
booklet just published by
the American Enterprise
Association in Washington,
D.C.",4.26,"1955-11-28batch6_93_page0.txt",1955-11-28,1955
"460","Notable writing","What about salaries? Between
1939 and 1953 the pay of educators
rose 47 per cent. This was higher than
the rise of managers, proprietors, pro-
fessional and technical workers. It
was lower than skilled and unskilled
industrial workers.",5.57,"1955-11-28batch6_93_page0.txt",1955-11-28,1955
"461","Economy\fiscal conservatism","What is needed is a nonpolitical,
independent, and scientific determi-
nation of needs and resources and the
application of money accurately de-
signed to meet only genuine necessi-
ties. This sort of aid is a job for private
philanthropy, not the government.",6.14,"1955-11-28batch6_93_page0.txt",1955-11-28,1955
"462","Economy\Business","Uncle Sam vs. Small Business—I",0.71,"1955-10-10batch6_100_page0.txt",1955-10-10,1955
"463","Economy\Privatization of government functions","The issue concerns the
power of the executive department
to rid itself of a large number of business
activities, mainly in the Defense
Department, despite a requirement of
Congress that its appropriation committees
retain a veto on all such administrative
actions.",6.21,"1955-10-10batch6_100_page0.txt",1955-10-10,1955
"464","Economy\Privatization of government functions","For several years there have been
bitter complaints by small businesses
that the Federal government in countless
instances had set up competitive, subsidized
business operations.",4.19,"1955-10-10batch6_100_page0.txt",1955-10-10,1955
"465","Political analysis\Nixon","Nixon",0.11,"1955-09-19batch6_103_page0.txt",1955-09-19,1955
"466","Notable Datelines","SANTA BARBARA—",0.32,"1955-09-19batch6_103_page0.txt",1955-09-19,1955
"467","Labor","Gov. Goodwin Knight, who was
hailed two years ago by conservative
Republicans as a welcome relief from
the liberal Earl Warren, has given
those people a shock by his almost
abject attentions to the leaders of organized
labor. Warren himself never
went so far. Why Knight has taken
this course is a mystery, because
these same labor leaders will go all
out next year to defeat the candidates
of Knight’s party. For some reason
Knight is highly critical of Nixon.",10.51,"1955-09-19batch6_103_page0.txt",1955-09-19,1955
"468","Political analysis\Promote GOP unity and cause","SINCE Nixon and Knowland are both
rising men, are energetic and ambitious,
and come from the rival
northern and southern parts of the
state, rumor has revealed in tales of
friction and jealousy between them.
I have found nowhere any evidence
that this rumor is true. Their relations
in their home state are unreservedly
friendly and cooperative.",7.87,"1955-09-19batch6_103_page0.txt",1955-09-19,1955
"469","Notable Datelines","CALGARY, ALBERTA",0.4,"1955-08-08batch6_109_page0.txt",1955-08-08,1955
"470","Foreign Policy / War","The dominant
political parties in the adjoining
provinces of Alberta and Saskatche-
wan were both born in the agonies of
an agricultural depression. They are
class parties. Both have been in power
a long time—the Cooperative Com-
monwealth Federation in Saskatche-
wan since 1944, Social Credit in
Alberta since 1935. I",8.05,"1955-08-08batch6_109_page0.txt",1955-08-08,1955
"471","Political analysis\Herbert Hoover","takes to make a great American. It
would fit the mood of such a moment
of reflection to contemplate, as a vivid
example, Herbert Hoover as he com-
pletes his latest public service.",4.3,"1955-07-18batch6_112_page0.txt",1955-07-18,1955
"472","Notable writing","ONLY a man with character chiseled
out of granite and blessed with
an extraordinary physical equipment
could survive such a service. Altogether, Herbert Hoover has created a
reputation and has established a record that will become a great American
story long after the storms of controversy that have swept across his career have lost meaning and content.",8.48,"1955-07-18batch6_112_page0.txt",1955-07-18,1955
"473","Foreign Policy / War\Great Britian coverage","MANY Americans in discussing the
present state of British politics
argue that, because there is such
agreement on specific policies be-
tween Labor and the Conservatives,
there is really little to choose be-
tween them. Some add to this com-
ment the view that the Conservatives
have stolen socialist ideas and can
claim only that they will carry them
out with more efficiency.",8.72,"1955-06-13batch6_117_page0.txt",1955-06-13,1955
"474","Domestic Policy Misc","The Tampa Gateway",0.4,"1955-04-11batch6_124_page0.txt",1955-04-11,1955
"475","Notable Datelines","TAMPA, FLA.",0.26,"1955-04-11batch6_124_page0.txt",1955-04-11,1955
"476","Political analysis\Conservative Politics","POLITICAL note cannot be inappropriate here. The area around
Tampa has developed that rare institution in the South—a two-party system. Last year it elected a Republican
to Congress. The political climate has
always been conservative, and it is
growing more so. It is proving in actuality what President Eisenhower
means by dynamic conservatism. For
while it chases no rainbows, it is building with amazing certitude and speed.",10.05,"1955-04-11batch6_124_page0.txt",1955-04-11,1955
"477","Labor","IN THE long fight over a guaranteed
annual wage, the preliminaries of
which are already under way, tons of
economic data will be fired by both
sides. But the wisest people with
whom I have talked in Detroit believe
that the key to the outcome will be
the objectives, ideals, and calculations
that lie hidden in the mind of Walter
Reuther.",8.17,"1955-03-28batch6_126_page0.txt",1955-03-28,1955
"478","Political analysis","complaint made by some Democrats
that Vice President Nixon was too
rough in his campaign speeches last
fall. Baer says of this complaint:
""They have developed that odd
character-a crying winner.""",4.65,"1955-02-21batch6_131_page0.txt",1955-02-21,1955
"479","Political analysis\Nixon","Nixon",0.12,"1955-02-21batch6_131_page0.txt",1955-02-21,1955
"480","New Deal critique\FDR_criticism","I learned a lot about poli-
tics from the late President
Roosevelt and the hard-
bitten politicians who were
members of his unbeatable
team. I learned that in poli-
tics attack and more attack is not
only the way to win elections, but
it is the best way to get out the
vote and to convince the voters that
there is really something to vote for or
against. I also learned that accom-
plished politicians, if possible, soften
the blows of the other fellows by
complaining about the unfairness of
their attacks.",12.12,"1955-02-21batch6_131_page0.txt",1955-02-21,1955
"481","Political analysis\Goldwater","Goldwater",0.21,"1955-02-21batch6_131_page0.txt",1955-02-21,1955
"482","Economy\fiscal conservatism","But while the President needs backbone to achieve economy, Congress needs the means necessary to control its appropriations. Such means, it was once thought, would be available to both the President and Congress through the Budget and Accounting Act of 1921.",6.08,"1955-01-03batch6_138_page0.txt",1955-01-03,1955
"483","Communism","I cannot agree with those who
say that they approve of Senator
McCarthy's objectives but strongly
disapprove of his methods. In the
light of what we know of
the Communist rings that
wormed their way into our
government and the negli-
gence of those who refused
so long to root them out, it
has required not only seri-
ous objectives but strong-
handed methods to attack
them. An innocent person
may have been injured oc-
casionally, but I do not
know of any blasted lives that have
resulted",11.56,"1953-12-07batch6_192_page0.txt",1953-12-07,1953
"484","Communism","To elevate McCarthyism to a na-
tional and international issue is to
drive to McCarthy's support and de-
fense many people who regard him
as a useful worker in a limited field
but not as a towering national figure.
This enlargement of the issue impairs
the usefulness of the work that
McCarthy set out to do by essentially
changing the character of the man
himself. I want him to root out the
traitors in the foreign service, in
defense plants, and in the armed serv-
ices. His scope of interests is too nar-
row and his mind too circumscribed
for the tasks of high statesmanship.
But his enemies may make him think
he is the savior of the nation.",15.27,"1953-12-07batch6_192_page0.txt",1953-12-07,1953
"485","Political analysis\Conservative Politics","N ANY consideration of the nomina-
tion of Earl Warren for Chief
Justice of the United States, many
facets appear which deserve com-
ment far more lengthy than this space
permits. The selection was more ob-
viously political than any other in our
history. It was a heavy price to pay for
peace in California.",7.16,"1953-10-12batch6_200_page0.txt",1953-10-12,1953
"486","Economy","But there is a school of mod-
ern economists, well repre-
sented in the Harvard
Graduate School of Busi-
ness Administration, who
are undermining this last
remaining tenet of more
primitive times. These econ-
omists hold that the exact
opposite is true.

Prof. Sumner H. Slichter,
who has his moments of
empyrean flight, puts forth
the New Thought this way: ""High
taxes on profits may even be stimu-
lating rather than discouraging [to
business]",10.35,"1953-09-28batch6_202_page0.txt",1953-09-28,1953
"487","Economy\Statism","PROGRESSIVE taxation, notably in
taxes on business, is designed to
put the heaviest penalty on that last
extra effort that marks the difference
between mediocrity and excellence.
Surely, that is not the way to promote
national progress and high endeavor.
Government was not designed to de-
termine what makes men work.",7.4,"1953-09-28batch6_202_page0.txt",1953-09-28,1953
"488","Notable Datelines","SANTA BARBARA, CALIF.",0.51,"1953-08-24batch6_207_page0.txt",1953-08-24,1953
"489","Democracy","The advent of this revolution in
constitutional custom has not escaped
the attention of “liberal” commenta-
tors and leftist politicians. They are
making a great fuss about the need
for a “strong” Executive.",5,"1953-08-24batch6_207_page0.txt",1953-08-24,1953
"490","Political analysis","The advent of this revolution in
constitutional custom has not escaped
the attention of “liberal” commenta-
tors and leftist politicians. They are
making a great fuss about the need
for a “strong” Executive.",5,"1953-08-24batch6_207_page0.txt",1953-08-24,1953
"491","Notable Datelines","BAY CITY, MICH.",0.36,"1953-07-13batch6_213_page0.txt",1953-07-13,1953
