,Year,column2,date,page,month,day,month_num,date2,real_page,index,bad_scan,list,URL
16,1953,"Unfair and Vicious, But",,NA,NA,NA,NA,NA,NA,16,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
17,1953,‘Vested in a Congress’1, Je 29,%,Je,29,NA,NA,NA,17,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
18,1953,"""Vested in a Congress’—I1", J1 6,84,J,1,NA,NA,85,18,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n85/mode/2up
19,1953,Propaganda vs Education, J1 13,92,J,1,NA,NA,93,19,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n93/mode/2up
20,1953,Rediscovering Congress, Ag 24,80,Ag,24,8,8/24/53,81,20,x,sim_newsweek-us_1953-08-24_42_8,https://archive.org/details/sim_newsweek-us_1953-08-24_42_8/page/n81/mode/2up
21,1953,High Taxes and Hard Work, S 28,108,S,28,9,9/28/53,109,21,,sim_newsweek-us_1953-09-28_42_13,https://archive.org/details/sim_newsweek-us_1953-09-28_42_13/page/n109/mode/2up
22,1953,New York Elects a Mayor, 0 5,92,NA,0,NA,NA,93,22,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n93/mode/2up
23,1953,Not Location but Direction, 0 12,108,NA,0,NA,NA,109,23,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n109/mode/2up
24,1953,Behind Holland vs Missouri, 0 19,124,NA,0,NA,NA,125,24,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n125/mode/2up
25,1953,Revol t on the Farms, 0 26,124,NA,0,NA,NA,125,25,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n125/mode/2up
26,1953,The Incredible Dr, White,NA,White,NA,NA,NA,NA,26,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
27,1953,“Excessive Abuse’, N 30,112,N,30,11,11/30/53,113,27,,sim_newsweek-us_1953-11-30_42_22,https://archive.org/details/sim_newsweek-us_1953-11-30_42_22/page/n113/mode/2up
28,1953,Building Up McCarthy, D7,104,D,7,12,12/7/53,105,28,,sim_newsweek-us_1953-12-07_42_23,https://archive.org/details/sim_newsweek-us_1953-12-07_42_23/page/n105/mode/2up
29,1953,"Good—by, Mr", Ruark,NA,Ruark,NA,NA,NA,NA,29,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
30,1955,A Comptroller Without Control, Ja 3,64,Ja,3,1,1/3/55,65,30,,sim_newsweek-us_1955-01-03_45_1,https://archive.org/details/sim_newsweek-us_1955-01-03_45_1/page/n65/mode/2up
31,1955,Plain Talk in Politics, F 21,104,F,21,2,2/21/55,105,31,,sim_newsweek-us_1955-02-21_45_8,https://archive.org/details/sim_newsweek-us_1955-02-21_45_8/page/n105/mode/2up
32,1955,F,D,NA,D,NA,12,NA,NA,32,,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
33,1955,UN and the U,S,NA,S,NA,9,NA,NA,33,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
34,1955,What Does Reuther Want, Mr 28,100,Mr,28,3,3/28/55,101,34,,sim_newsweek-us_1955-03-28_45_13,https://archive.org/details/sim_newsweek-us_1955-03-28_45_13/page/n101/mode/2up
35,1955,The Tampa Gateway, Ap 11,120,Ap,11,4,4/11/55,121,35,x,sim_newsweek-us_1955-04-11_45_15,https://archive.org/details/sim_newsweek-us_1955-04-11_45_15/page/n121/mode/2up
36,1955,A Hope and a Prayer, Je 6,34,Je,6,NA,NA,35,36,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n35/mode/2up
37,1955,The Distance and the Direction, Je 13,112,Je,13,NA,NA,113,37,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n113/mode/2up
38,1955,Federal School Aid, Je 20,100,Je,20,NA,NA,101,38,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n101/mode/2up
39,1955,"Speed, the Killer", Je 27,%,Je,27,NA,NA,NA,39,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
40,1955,Highway death article impact; Irs, J] 18,2,J,18,NA,NA,3,40,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n3/mode/2up
41,1955,Hard Cash Repayment, J] 4,80,J,4,NA,NA,81,41,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n81/mode/2up
42,1955,Bethl ehem-Youngstown Merger, J] 11,84,J,11,NA,NA,85,42,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n85/mode/2up
43,1955,"""See Thou Character’", JI] 18,88,JI,18,NA,NA,89,43,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n89/mode/2up
44,1955,Politics in Canada, J] 25,88,J,25,NA,NA,89,44,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n89/mode/2up
45,1955,Socialism Smothered in Oil-1, Ag 8,80;,Ag,8,8,8/8/55,NA,45,x,sim_newsweek-us_1955-08-08_46_6,https://archive.org/details/sim_newsweek-us_1955-08-08_46_6/page/nNA/mode/2up
46,1955,"Knowland, Nixon, and Knight", S 19,128;,S,19,9,9/19/55,NA,46,x,sim_newsweek-us_1955-09-19_46_12,https://archive.org/details/sim_newsweek-us_1955-09-19_46_12/page/nNA/mode/2up
47,1955,Why and How We Educate, 0 3,92; Irs,NA,0,NA,NA,NA,47,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
48,1955,0 31: 8,NA,NA,NA,NA,NA,NA,NA,48,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
49,1955,Uncle Sam vs Small Business—1, 0 10,124;,NA,0,NA,NA,NA,49,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
50,1955,The CIO vs the State of Ohio, 0 31,96,NA,0,NA,NA,97,50,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n97/mode/2up
51,1955,,The Ford Foundation,NA,The,NA,NA,NA,NA,51,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
52,1955,The Needs of Our Schools, N 28,124,N,28,11,11/28/55,125,52,,sim_newsweek-us_1955-11-28_46_22,https://archive.org/details/sim_newsweek-us_1955-11-28_46_22/page/n125/mode/2up
53,1955,How About a Real Moderate, D 5,104,D,5,12,12/5/55,105,53,,sim_newsweek-us_1955-12-05_46_23,https://archive.org/details/sim_newsweek-us_1955-12-05_46_23/page/n105/mode/2up
54,1957,Where Money Isn't Tight, Ja 28,100,Ja,28,1,1/28/57,101,54,,sim_newsweek-us_1957-01-28_49_4,https://archive.org/details/sim_newsweek-us_1957-01-28_49_4/page/n101/mode/2up
55,1957,Oppenheimer at Harvard, F 25,124,F,25,2,2/25/57,125,55,x,sim_newsweek-us_1957-02-25_49_8,https://archive.org/details/sim_newsweek-us_1957-02-25_49_8/page/n125/mode/2up
56,1957,Mear,ingless Report,NA,ingless,NA,NA,NA,NA,56,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
57,1957,The Birth of an Industry, Mr 18,128,Mr,18,3,3/18/57,129,57,,sim_newsweek-us_1957-03-18_49_11,https://archive.org/details/sim_newsweek-us_1957-03-18_49_11/page/n129/mode/2up
58,1957,Not a Needy State, Ap 29,116,Ap,29,4,4/29/57,117,58,x,sim_newsweek-us_1957-04-29_49_17,https://archive.org/details/sim_newsweek-us_1957-04-29_49_17/page/n117/mode/2up
59,1957,Common Sense and Taxes, My 6,120,My,6,5,5/6/57,121,59,,sim_newsweek-us_1957-05-06_49_18,https://archive.org/details/sim_newsweek-us_1957-05-06_49_18/page/n121/mode/2up
60,1957,Keys to Make-Believe, Je 3,108,Je,3,NA,NA,109,60,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n109/mode/2up
61,1957,Here Who Comes, Je 10,120,Je,10,NA,NA,121,61,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n121/mode/2up
62,1957,Files on Parade, Je 17,124,Je,17,NA,NA,125,62,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n125/mode/2up
63,1957,Robbing Peter tp Pay,,NA,NA,NA,NA,NA,NA,63,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
64,1957,Visits S,C,NA,C,NA,NA,NA,NA,64,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
65,1957,Under God and Law, J1 1,80,J,1,NA,NA,81,65,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n81/mode/2up
66,1957,"""The Vice of Vagueness’", J] 8,92,J,8,NA,NA,93,66,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n93/mode/2up
67,1957,Beyond the Fifth, J1 15,108,J,1,NA,NA,109,67,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n109/mode/2up
68,1957,Fish and Politics, J] 22,92,J,22,NA,NA,93,68,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n93/mode/2up
69,1957,Northwest Power Needs, J1 29,92,J,1,NA,NA,93,69,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n93/mode/2up
70,1957,Making Lawmakers, S 16,128,S,16,9,9/16/57,129,70,,sim_newsweek-us_1957-09-16_50_12,https://archive.org/details/sim_newsweek-us_1957-09-16_50_12/page/n129/mode/2up
71,1957,The Leader Above All,,NA,NA,NA,NA,NA,NA,71,,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
72,1957,The Score on Economy, O 21,120,O,21,10,10/21/57,121,72,,sim_newsweek-us_1957-10-21_50_17,https://archive.org/details/sim_newsweek-us_1957-10-21_50_17/page/n121/mode/2up
73,1957,Harvest of Folly, N 18,140,N,18,11,11/18/57,141,73,,sim_newsweek-us_1957-11-18_50_21,https://archive.org/details/sim_newsweek-us_1957-11-18_50_21/page/n141/mode/2up
74,1957,No Time for Committees, D 9,108,D,9,12,12/9/57,109,74,,sim_newsweek-us_1957-12-09_50_24,https://archive.org/details/sim_newsweek-us_1957-12-09_50_24/page/n109/mode/2up
75,1959,A Stool Needs Three Legs, Ja 26,108,Ja,26,1,1/26/59,109,75,,sim_newsweek-us_1959-01-26_53_4,https://archive.org/details/sim_newsweek-us_1959-01-26_53_4/page/n109/mode/2up
76,1959,The Measure of a Man, F 23,108,F,23,2,2/23/59,109,76,,sim_newsweek-us_1959-02-23_53_8,https://archive.org/details/sim_newsweek-us_1959-02-23_53_8/page/n109/mode/2up
77,1959,The Integration Complex, Mr 2,88,Mr,2,3,3/2/59,89,77,x,sim_newsweek-us_1959-03-02_53_9,https://archive.org/details/sim_newsweek-us_1959-03-02_53_9/page/n89/mode/2up
78,1959,Most Dangerous Rumor, Ap 20,120,Ap,20,4,4/20/59,121,78,,sim_newsweek-us_1959-04-20_53_16,https://archive.org/details/sim_newsweek-us_1959-04-20_53_16/page/n121/mode/2up
79,1959,Soaking the Saver, My 4,108,My,4,5,5/4/59,109,79,x,sim_newsweek-us_1959-05-04_53_18,https://archive.org/details/sim_newsweek-us_1959-05-04_53_18/page/n109/mode/2up
80,1959,Japan's Party, Politics,NA,Politics,NA,NA,NA,NA,80,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
81,1959,The Great Delusion, Je 1,100,Je,1,NA,NA,101,81,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n101/mode/2up
82,1959,LookingToward1960,Je15,112,Je,15,NA,NA,113,82,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n113/mode/2up
83,1959,Defiance to Omnipotence, Je 22,96,Je,22,NA,NA,97,83,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n97/mode/2up
84,1959,Money Against Nature, Je 29,100,Je,29,NA,NA,101,84,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n101/mode/2up
85,1959,Cites books on leadership, Ag 31,88,Ag,31,8,8/31/59,89,85,x,sim_newsweek-us_1959-08-31_54_9,https://archive.org/details/sim_newsweek-us_1959-08-31_54_9/page/n89/mode/2up
86,1959,Sowing the Windfallis, Jl 6,88,Jl,6,7,7/6/59,89,86,,sim_newsweek-us_1959-07-06_54_1,https://archive.org/details/sim_newsweek-us_1959-07-06_54_1/page/n89/mode/2up
87,1959,The Feedback Obsession, Ag 31,88,Ag,31,8,8/31/59,89,87,,sim_newsweek-us_1959-08-31_54_9,https://archive.org/details/sim_newsweek-us_1959-08-31_54_9/page/n89/mode/2up
88,1959,"Mr K, Farm Expert", S 28,124,S,28,9,9/28/59,125,88,,sim_newsweek-us_1959-09-28_54_13,https://archive.org/details/sim_newsweek-us_1959-09-28_54_13/page/n125/mode/2up
89,1959,Dilemma of the Left, N 30,112,N,30,11,11/30/59,113,89,,sim_newsweek-us_1959-11-30_54_22,https://archive.org/details/sim_newsweek-us_1959-11-30_54_22/page/n113/mode/2up
90,1959,Retrospect and Prospect, D 14,124,D,14,12,12/14/59,125,90,,sim_newsweek-us_1959-12-14_54_24,https://archive.org/details/sim_newsweek-us_1959-12-14_54_24/page/n125/mode/2up
91,1953,New Federal Power Policy, J1 20,104,J,1,NA,NA,105,91,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n105/mode/2up
92,1953,Hell's Canyon Issues, J1 27,80,J,1,NA,NA,81,92,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/n81/mode/2up
93,1955,Rept from England part 2, My 30,34,My,30,5,5/30/55,35,93,,sim_newsweek-us_1955-05-30_45_22,https://archive.org/details/sim_newsweek-us_1955-05-30_45_22/page/n35/mode/2up
94,1957,"Announcement of upcoming Byrd articles, Ag 5: 100",NA,NA,NA,NA,NA,NA,NA,94,x,sim_newsweek-us_1953_41_index,https://archive.org/details/sim_newsweek-us_1953_41_index/page/nNA/mode/2up
95,1959,Lessons for Americans, O 26,132,O,26,10,10/26/59,133,95,,sim_newsweek-us_1959-10-26_54_17,https://archive.org/details/sim_newsweek-us_1959-10-26_54_17/page/n133/mode/2up
