"","Year","column2","date","page","month","day","month_num","date2","real_page"
"49",1953,"How to Hide a Handout"," My 25","108","My","25","05",1953-05-25,109
"50",1953,"1t Came to Dinner"," Je 1","92","Je","1",NA,NA,93
"51",1953,"Revolt in Los Angeles"," Je 8","108","Je","8",NA,NA,109
"52",1953,"Resp] endent Redundancy"," Je 15","108","Je","15",NA,NA,109
"53",1953,"Unfair and Vicious, But","",NA,NA,NA,NA,NA,NA
"54",1953,"‘Vested in a Congress’1"," Je 29","%","Je","29",NA,NA,NA
"55",1953,"""Vested in a Congress’—I1"," J1 6","84","J","1",NA,NA,85
"56",1953,"Propaganda vs Education"," J1 13","92","J","1",NA,NA,93
"57",1953,"Three Wars"," Ag 3","80","Ag","3","08",1953-08-03,81
"58",1953,"The Senator Misconstrues"," Ag 10","88","Ag","10","08",1953-08-10,89
"59",1953,"The Taft Tradition"," Ag 17","96","Ag","17","08",1953-08-17,97
"60",1953,"Rediscovering Congress"," Ag 24","80","Ag","24","08",1953-08-24,81
"61",1953,"Durkin’'s Conflict of Interests"," Ag 31","88","Ag","31","08",1953-08-31,89
"62",1953,"A Road Away from Socialisn"," S 7","92","S","7","09",1953-09-07,93
"63",1953,"Golden State Politics"," S 14","116","S","14","09",1953-09-14,117
"64",1953,"High Taxes and Hard Work"," S 28","108","S","28","09",1953-09-28,109
"65",1953,"New York Elects a Mayor"," 0 5","92",NA,"0",NA,NA,93
"66",1953,"Not Location but Direction"," 0 12","108",NA,"0",NA,NA,109
"67",1953,"Behind Holland vs Missouri"," 0 19","124",NA,"0",NA,NA,125
"68",1953,"Revol t on the Farms"," 0 26","124",NA,"0",NA,NA,125
"69",1953,"Eight Economists on Unions"," N 2","96","N","2","11",1953-11-02,97
"70",1953,"A Show With Two Plots"," N 9","104","N","9","11",1953-11-09,105
"71",1953,"No Skirmish"," N 16","112","N","16","11",1953-11-16,113
"72",1953,"The Incredible Dr"," White",NA,"White",NA,NA,NA,NA
"73",1953,"“Excessive Abuse’"," N 30","112","N","30","11",1953-11-30,113
"74",1953,"Building Up McCarthy"," D7","104","D","7","12",1953-12-07,105
"75",1953,"Good—by, Mr"," Ruark",NA,"Ruark",NA,NA,NA,NA
"76",1953,"Rebel From Wisconsin"," D 21","96","D","21","12",1953-12-21,97
"77",1953,"The Indestructible Burke"," D 28","72","D","28","12",1953-12-28,73
"78",1955,"In England"," My 16","120; on party machines","My","16","05",1955-05-16,NA
"79",1955,"A Comptroller Without Control"," Ja 3","64","Ja","3","01",1955-01-03,65
"80",1955,"The Pattern of the GOP"," Ja 10","80","Ja","10","01",1955-01-10,81
"81",1955,"The Senate Spectrum; chart"," Ja 17","92","Ja","17","01",1955-01-17,93
"82",1955,"Is This Food Necessary"," Ja 24","104;","Ja","24","01",1955-01-24,NA
"83",1955,"Every Prospect Pleases"," F 7","80","F","7","02",1955-02-07,81
"84",1955,"What Price Reclamation"," F 14","92","F","14","02",1955-02-14,93
"85",1955,"Plain Talk in Politics"," F 21","104","F","21","02",1955-02-21,105
"86",1955,"Schools for War Babies"," F 28","96","F","28","02",1955-02-28,97
"87",1955,"F","D",NA,"D",NA,"12",NA,NA
"88",1955,"UN and the U","S",NA,"S",NA,"09",NA,NA
"89",1955,"The Clay Highway Plan"," Mr 21","112","Mr","21","03",1955-03-21,113
"90",1955,"What Does Reuther Want"," Mr 28","100","Mr","28","03",1955-03-28,101
"91",1955,"To Form a More Perfect Union"," Ap 4","100","Ap","4","04",1955-04-04,101
"92",1955,"The Tampa Gateway"," Ap 11","120","Ap","11","04",1955-04-11,121
"93",1955,"Atom Energy and Electric Power"," Ap 18","108","Ap","18","04",1955-04-18,109
"94",1955,"""Ramshackle Paradise",""" Ap 25","120","Ap","25","04",1955-04-25,121
"95",1955,"Pattern for Corporative State"," My 2","9","My","2","05",1955-05-02,10
"96",1955,"Pork, Unlimited"," My 9","108","My","9","05",1955-05-09,109
"97",1955,"The British Election"," My 16","120","My","16","05",1955-05-16,121
"98",1955,"A Hope and a Prayer"," Je 6","34","Je","6",NA,NA,35
"99",1955,"The Distance and the Direction"," Je 13","112","Je","13",NA,NA,113
"100",1955,"Federal School Aid"," Je 20","100","Je","20",NA,NA,101
"101",1955,"Speed, the Killer"," Je 27","%","Je","27",NA,NA,NA
"102",1955,"Highway death article impact; Irs"," J] 18","2","J","18",NA,NA,3
"103",1955,"Hard Cash Repayment"," J] 4","80","J","4",NA,NA,81
"104",1955,"Bethl ehem-Youngstown Merger"," J] 11","84","J","11",NA,NA,85
"105",1955,"""See Thou Character’"," JI] 18","88","JI","18",NA,NA,89
"106",1955,"Politics in Canada"," J] 25","88","J","25",NA,NA,89
"107",1955,"Canada's Major Parties"," Ag 1","80","Ag","1","08",1955-08-01,81
"108",1955,"Socialism Smothered in Oil-1"," Ag 8","80;","Ag","8","08",1955-08-08,NA
"109",1955,"i}"," Ag 15","92","Ag","15","08",1955-08-15,93
"110",1955,"Upper Colorado Defeat"," Ag 22","96","Ag","22","08",1955-08-22,97
"111",1955,"Hell's Canyon and 1956"," Ag 29","80","Ag","29","08",1955-08-29,81
"112",1955,"Partnership in Conservation"," S 5","72","S","5","09",1955-09-05,73
"113",1955,"Republican Regeneration"," S 12","120","S","12","09",1955-09-12,121
"114",1955,"Knowland, Nixon, and Knight"," S 19","128;","S","19","09",1955-09-19,NA
"115",1955,"Along the Highways"," S 26","124","S","26","09",1955-09-26,125
"116",1955,"Why and How We Educate"," 0 3","92; Irs",NA,"0",NA,NA,NA
"117",1955,"0 31: 8",NA,NA,NA,NA,NA,NA,NA
"118",1955,"Uncle Sam vs Small Business—1"," 0 10","124;",NA,"0",NA,NA,NA
"119",1955,"The CIO vs the State of Ohio"," 0 31","96",NA,"0",NA,NA,97
"120",1955,"The C10's Stake in Ohio"," N 7","124","N","7","11",1955-11-07,125
"121",1955,"Inside Stuff"," N 14","124","N","14","11",1955-11-14,125
"122",1955,"","The Ford Foundation",NA,"The",NA,NA,NA,NA
"123",1955,"The Needs of Our Schools"," N 28","124","N","28","11",1955-11-28,125
"124",1955,"How About a Real Moderate"," D 5","104","D","5","12",1955-12-05,105
"125",1955,"Indestructible Bureaucracy"," D 12","128","D","12","12",1955-12-12,129
"126",1955,"Bureaucracy's Nine Lives"," D 19","100","D","19","12",1955-12-19,101
"127",1955,"Conservatism ts Also Change"," D 26","72","D","26","12",1955-12-26,73
"128",1957,"The Code and the Church"," Ja 7","72","Ja","7","01",1957-01-07,73
"129",1957,"""New"" Republicanism"," Ja 14","92","Ja","14","01",1957-01-14,93
"130",1957,"Toward a Better Plan"," Ja 21","108","Ja","21","01",1957-01-21,109
"131",1957,"Where Money Isn't Tight"," Ja 28","100","Ja","28","01",1957-01-28,101
"132",1957,"Speak Softly, But-"," F 4","96","F","4","02",1957-02-04,97
"133",1957,"Ecopolitics"," F 11","108","F","11","02",1957-02-11,109
"134",1957,"King of Oberlin"," F 18","116","F","18","02",1957-02-18,117
"135",1957,"Oppenheimer at Harvard"," F 25","124","F","25","02",1957-02-25,125
"136",1957,"‘Documenting’ a Smear"," Mr 4","108","Mr","4","03",1957-03-04,109
"137",1957,"Mear","ingless Report",NA,"ingless",NA,NA,NA,NA
"138",1957,"The Birth of an Industry"," Mr 18","128","Mr","18","03",1957-03-18,129
"139",1957,"The States Can Do It"," Mr 25","120","Mr","25","03",1957-03-25,121
"140",1957,"Want and Need"," Ap 1","112","Ap","1","04",1957-04-01,113
"141",1957,"The Ultimate Wrong"," Ap 8","120","Ap","8","04",1957-04-08,121
"142",1957,"An Embarrassed Senator"," Ap 15","120","Ap","15","04",1957-04-15,121
"143",1957,"The Era of Planning"," Ap 22","132","Ap","22","04",1957-04-22,133
"144",1957,"Not a Needy State"," Ap 29","116","Ap","29","04",1957-04-29,117
"145",1957,"Common Sense and Taxes"," My 6","120","My","6","05",1957-05-06,121
"146",1957,"They Grow and Grow"," My 13","128","My","13","05",1957-05-13,129
"147",1957,"Old Stuff"," My 20","124","My","20","05",1957-05-20,125
"148",1957,"Above the Law"," My 27","124","My","27","05",1957-05-27,125
"149",1957,"Keys to Make-Believe"," Je 3","108","Je","3",NA,NA,109
"150",1957,"Here Who Comes"," Je 10","120","Je","10",NA,NA,121
"151",1957,"Files on Parade"," Je 17","124","Je","17",NA,NA,125
"152",1957,"Robbing Peter tp Pay","",NA,NA,NA,NA,NA,NA
"153",1957,"Background for Supreme Court articles; pic"," Jl 15","15","Jl","15","07",1957-07-15,16
"154",1957,"Visits S","C",NA,"C",NA,NA,NA,NA
"155",1957,"Under God and Law"," J1 1","80","J","1",NA,NA,81
"156",1957,"""The Vice of Vagueness’"," J] 8","92","J","8",NA,NA,93
"157",1957,"Beyond the Fifth"," J1 15","108","J","1",NA,NA,109
"158",1957,"Fish and Politics"," J] 22","92","J","22",NA,NA,93
"159",1957,"Northwest Power Needs"," J1 29","92","J","1",NA,NA,93
"160",1957,"Fruits of Confidence"," Ag 5","100","Ag","5","08",1957-08-05,101
"161",1957,"Knight's Predicament"," S 9","116","S","9","09",1957-09-09,117
"162",1957,"Making Lawmakers"," S 16","128","S","16","09",1957-09-16,129
"163",1957,"The Issue in Arizona"," S 23","120","S","23","09",1957-09-23,121
"164",1957,"The Leader Above All","",NA,NA,NA,NA,NA,NA
"165",1957,"After Little Rock"," O 7","112","O","7","10",1957-10-07,113
"166",1957,"Calm and Determined"," O 14","136","O","14","10",1957-10-14,137
"167",1957,"The Score on Economy"," O 21","120","O","21","10",1957-10-21,121
"168",1957,"An Awakened Watchdog"," O 28","112","O","28","10",1957-10-28,113
"169",1957,"California Politics"," N 4","120","N","4","11",1957-11-04,121
"170",1957,"Lagoona Controversy"," N 11","128","N","11","11",1957-11-11,129
"171",1957,"Harvest of Folly"," N 18","140","N","18","11",1957-11-18,141
"172",1957,"Is T-H a Dead Letter"," N 25","132","N","25","11",1957-11-25,133
"173",1957,"A Luminous Figure"," D 2","104","D","2","12",1957-12-02,105
"174",1957,"No Time for Committees"," D 9","108","D","9","12",1957-12-09,109
"175",1957,"Lilliputian Regency"," D 16","124","D","16","12",1957-12-16,125
"176",1957,"Party Aches and Pains"," D 23","80","D","23","12",1957-12-23,81
"177",1957,"The Senate Turns Left"," D 30","72","D","30","12",1957-12-30,73
"178",1959,"Reviews Schlesinger boek on Roosevelt; pic"," Ja 5","69","Ja","5","01",1959-01-05,70
"179",1959,"It’s Up to Two Texans"," Ja 5","72","Ja","5","01",1959-01-05,73
"180",1959,"The Less Abundant Life"," Ja 12","92","Ja","12","01",1959-01-12,93
"181",1959,"Vanishing Proletariat"," Ja 19","92","Ja","19","01",1959-01-19,93
"182",1959,"A Stool Needs Three Legs"," Ja 26","108","Ja","26","01",1959-01-26,109
"183",1959,"Inflation’s Ugly Face"," F 2","88","F","2","02",1959-02-02,89
"184",1959,"Dollar War at Home"," F 9","100","F","9","02",1959-02-09,101
"185",1959,"Business and Politics"," F 16","108","F","16","02",1959-02-16,109
"186",1959,"The Measure of a Man"," F 23","108","F","23","02",1959-02-23,109
"187",1959,"The Integration Complex"," Mr 2","88","Mr","2","03",1959-03-02,89
"188",1959,"The Drys Last Hurrah"," Mr 9","116","Mr","9","03",1959-03-09,117
"189",1959,"Criticism of the Court"," Mr 16","100","Mr","16","03",1959-03-16,101
"190",1959,"Available and Controlled"," Mr 23","112","Mr","23","03",1959-03-23,113
"191",1959,"Admiral Land on Flags"," Mr 30","104","Mr","30","03",1959-03-30,105
"192",1959,"Japan’s Future and Ours"," Ap 6","126","Ap","6","04",1959-04-06,127
"193",1959,"The Paramount Issue"," Ap 13","126","Ap","13","04",1959-04-13,127
"194",1959,"Most Dangerous Rumor"," Ap 20","120","Ap","20","04",1959-04-20,121
"195",1959,"An Amazing Recovery"," Ap 27","120","Ap","27","04",1959-04-27,121
"196",1959,"Soaking the Saver"," My 4","108","My","4","05",1959-05-04,109
"197",1959,"Japan's Party"," Politics",NA,"Politics",NA,NA,NA,NA
"198",1959,"Choices in Washington"," My 18","124","My","18","05",1959-05-18,125
"199",1959,"The End of the Freeway"," My 25","124","My","25","05",1959-05-25,125
"200",1959,"The Great Delusion"," Je 1","100","Je","1",NA,NA,101
"201",1959,"LookingToward1960","Je15","112","Je","15",NA,NA,113
"202",1959,"Defiance to Omnipotence"," Je 22","96","Je","22",NA,NA,97
"203",1959,"Money Against Nature"," Je 29","100","Je","29",NA,NA,101
"204",1959,"Cites books on leadership"," Ag 31","88","Ag","31","08",1959-08-31,89
"205",1959,"Sowing the Windfallis"," Jl 6","88","Jl","6","07",1959-07-06,89
"206",1959,"Trickle-Down Welfare"," Jl 13","92","Jl","13","07",1959-07-13,93
"207",1959,"Good Gulf Citizenship"," Jl 20","100","Jl","20","07",1959-07-20,101
"208",1959,"Inflation, a Moral Issue"," Jl 27","92","Jl","27","07",1959-07-27,93
"209",1959,"All or Nothing"," Ag 3","80","Ag","3","08",1959-08-03,81
"210",1959,"Japan's Super-Salesman"," Ag 10","92","Ag","10","08",1959-08-10,93
"211",1959,"The Net Gain"," Ag 17","100","Ag","17","08",1959-08-17,101
"212",1959,"A TVA in the Northwest"," Ag 24","88","Ag","24","08",1959-08-24,89
"213",1959,"The Feedback Obsession"," Ag 31","88","Ag","31","08",1959-08-31,89
"214",1959,"What For and How Long"," S 7","84","S","7","09",1959-09-07,85
"215",1959,"The Vital First Years"," S 14","124","S","14","09",1959-09-14,125
"216",1959,"The Senator Is Troubled"," S 21","132","S","21","09",1959-09-21,133
"217",1959,"Mr K, Farm Expert"," S 28","124","S","28","09",1959-09-28,125
"218",1959,"While Congress Fiddled"," O 5","92","O","5","10",1959-10-05,93
"219",1959,"Poll ‘Em and Scare ‘Em"," O 12","60","O","12","10",1959-10-12,61
"220",1959,"Heritage of Q'Connell"," N 2","108","N","2","11",1959-11-02,109
"221",1959,"Wohlstand Fur Alle"," N 9","128","N","9","11",1959-11-09,129
"222",1959,"Machiavelli Revisited"," N 16","124","N","16","11",1959-11-16,125
"223",1959,"Machiavelli Reconsidered"," N 23","124","N","23","11",1959-11-23,125
"224",1959,"Dilemma of the Left"," N 30","112","N","30","11",1959-11-30,113
"225",1959,"What Happened in 1948"," D 7","120","D","7","12",1959-12-07,121
"226",1959,"Retrospect and Prospect"," D 14","124","D","14","12",1959-12-14,125
"227",1959,"Gaitskell at Blackpool"," D 21","100","D","21","12",1959-12-21,101
"228",1959,"Were Those Years Dark"," D 28","68","D","28","12",1959-12-28,69
"229",1953,"New Federal Power Policy"," J1 20","104","J","1",NA,NA,105
"230",1953,"Hell's Canyon Issues"," J1 27","80","J","1",NA,NA,81
"231",1953,"Highway Slaughter"," S 21","108; Irs","S","21","09",1953-09-21,NA
"232",1955,"Rept from England part 2"," My 30","34","My","30","05",1955-05-30,35
"233",1957,"Announcement of upcoming Byrd articles, Ag 5: 100",NA,NA,NA,NA,NA,NA,NA
"234",1959,"BritainStaysRight"," O 19","56","O","19","10",1959-10-19,57
"235",1959,"Lessons for Americans"," O 26","132","O","26","10",1959-10-26,133
