"box_folder","subject","date","year"
"box 122, folder 13","National Association of Purchasing Agents Address May 23, 1938","May 23, 1938","1938"
"box 122, folder 14","National Conference of State Liquor Administrators Address June 13, 1938","June 13, 1938","1938"
"box 122, folder 15","California Commonwealth Club Address June 17, 1938","June 17, 1938","1938"
"box 122, folder 16","Stanford University Address June 18, 1938","June 18, 1938","1938"
"box 122, folder 17","Ohio University Address, (no text or notes) July 14, 1938","July 14, 1938","1938"
"box 122, folder 18","Committee of One Hundred Address (Painesville, Ohio) August 2, 1938","August 2, 1938","1938"
"box 122, folder 19","Station WMCA Radio Address (New York City), (and other material for John O'Connor Campaign) September 17, 1938,","September 17, 1938","1938"
"box 123, folder 1","Newark Advertising Club Address October 20, 1938","October 20, 1938","1938"
"box 123, folder 2","New York Herald Tribune Forum Address October 25, 1938","October 25, 1938","1938"
"box 123, folder 3","G. P. Putnam's Sons Address October 27, 1938","October 27, 1938","1938"
"box 123, folder 4","American Institute of Electrical Engineers Address (Pittsfield, MA), (no text or notes) November 1, 1938","November 1, 1938","1938"
"box 123, folder 5","Syracuse Association of Credit Men Address November 8, 1938","November 8, 1938","1938"
"box 123, folder 6","Chicago Association of Commerce Address November 9, 1938","November 9, 1938","1938"
"box 123, folder 7","Graduate Teachers College Address (Winnetka, IL) November 9, 1938","November 9, 1938","1938"
"box 123, folder 8","Chicago Commonwealth Club Address, (no text or notes) November 10, 1938","November 10, 1938","1938"
"box 123, folder 9","Chicago Athletic Association Address, (no text or notes) November 10, 1938","November 10, 1938","1938"
"box 123, folder 10","Madison Civics Club Address, (no text or notes) November 12, 1938","November 12, 1938","1938"
"box 123, folder 11","New York State Federation of Women's Clubs Address, (no text or notes) November 14, 1938","November 14, 1938","1938"
"box 123, folder 12","Life Advertisers Association Address, (no text or notes) November 16, 1938","November 16, 1938","1938"
"box 123, folder 13","New York Canadian Club Address December 6, 1938","December 6, 1938","1938"
"box 123, folder 14","National Association of Manufacturers Address December 7, 1938","December 7, 1938","1938"
"box 123, folder 15","Eastern Industrial Advertisers Address, (no text or notes) December 9, 1938","December 9, 1938","1938"
"box 123, folder 16","Station WJZ Radio Address (New York City) December 11, 1938","December 11, 1938","1938"
"box 123, folder 17","Reformed Church Men's Club Address (Bronxville) January 10, 1939","January 10, 1939","1939"
"box 123, folder 18","Station WEVD Radio Debate (New York City) February 22, 1939","February 22, 1939","1939"
"box 123, folder 19","Detroit and Flint Addresses (Michigan) May 25 and 26, 1939","1939","1939"
"box 123, folder 20","National Industrial Advertisers Association Address September 20, 1939","September 20, 1939","1939"
"box 123, folder 21","Insurance Advertising Conference Address October 2, 1939","October 2, 1939","1939"
"box 123, folder 22","Cleveland Advertising Club Address October 4, 1939","October 4, 1939","1939"
"box 123, folder 23","New York Advertising Club Address October 13, 1939","October 13, 1939","1939"
"box 123, folder 24","Hartford Chamber of Commerce Address October 25, 1939","October 25, 1939","1939"
"box 123, folder 25","Yale Talk October 30, 1939","October 30, 1939","1939"
"box 123, folder 26","Harvard Club Address November 3, 1939","November 3, 1939","1939"
"box 124, folder 1","Buffalo Transportation Club Address November 16, 1939","November 16, 1939","1939"
"box 124, folder 2","Kenmore High School Teachers Association Address (Kenmore, NY), (no text or notes) November 17, 1939","November 17, 1939","1939"
"box 124, folder 3","Boston Commercial Club Address November 21, 1939","November 21, 1939","1939"
"box 124, folder 4","Hazelton City Teachers Library Association Address (PA), (no text or notes) November 22, 1939","November 22, 1939","1939"
"box 124, folder 5","Worcester Economic Club Address November 27, 1939","November 27, 1939","1939"
"box 124, folder 6","Detroit Bankers Club Address, (no text or notes) November 30, 1939","November 30, 1939","1939"
"box 124, folder 7","Wisconsin Manufacturers' Association Address (PA), (no text or notes) November 22, 1939","November 22, 1939","1939"
"box 124, folder 8","Youngstown Chamber of Commerce Address December 5, 1939","December 5, 1939","1939"
"box 124, folder 9","Peoria Association of Commerce Address December 7, 1939","December 7, 1939","1939"
"box 124, folder 10","Toledo Rotary Club Address January 8, 1940","January 8, 1940","1940"
"box 124, folder 11","National Retail Furniture Association Address January 10, 1940","January 10, 1940","1940"
"box 124, folder 12","Athenaeum Address (Summit, NJ) January 11, 1940","January 11, 1940","1940"
"box 124, folder 13","Melrose Teachers' Public Forum Address January 17, 1940","January 17, 1940","1940"
"box 124, folder 14","Thayer Academy Alumni Association Address, (no text or notes) January 18, 1940","January 18, 1940","1940"
"box 124, folder 15","Credit Men's Association of Eastern Pennsylvania Address January 19, 1940","January 19, 1940","1940"
"box 124, folder 16","Bridgeport University Club Address February 9, 1940","February 9, 1940","1940"
"box 124, folder 17","Chicago Dental Society Address, (no text or notes) February 12, 1940","February 12, 1940","1940"
"box 124, folder 18","Indianapolis Contemporary Club Address February 14, 1940","February 14, 1940","1940"
"box 124, folder 19","La Grange Legion Address (IL), (no text or notes) February 18, 1940","February 18, 1940","1940"
"box 124, folder 20","Grinnell College Address February 19, 1940","February 19, 1940","1940"
"box 124, folder 21","Milwaukee Rotary Club Address, (no text or notes) February 20, 1940","February 20, 1940","1940"
"box 124, folder 22","Milwaukee City Club Address, (no text or notes) February 20, 1940","February 20, 1940","1940"
"box 124, folder 23","Northwestern University Address, (no text or notes) February 21, 1940","February 21, 1940","1940"
"box 124, folder 24","Fort Smith Junior College Address February 22, 1940","February 22, 1940","1940"
"box 124, folder 25","San Antonio Open Forum, (no text or notes) February 26, 1940","February 26, 1940","1940"
"box 124, folder 26","New York City Town Hall Address March 5, 1940","March 5, 1940","1940"
"box 124, folder 27","Jamestown Civic Forum Address (NY) March 12, 1940","March 12, 1940","1940"
"box 124, folder 28","New York Bond Club Address April 24, 1940","April 24, 1940","1940"
"box 124, folder 29","Industrial Advertisers Association Address June 25, 1940","June 25, 1940","1940"
"box 124, folder 30","California Address Summer 1940","1940","1940"
"box 125, folder 1","Chicago Union League Club Address September 17, 1940","September 17, 1940","1940"
"box 125, folder 2","Minneapolis Advertising Club Address, (no text or notes) September 18, 1940","September 18, 1940","1940"
"box 125, folder 3","Stamford Associated Willkie Clubs Address (Conn.), See also SPECIAL CORRESPONDENCE October 1, 1940.","October 1, 1940","1940"
"box 125, folder 4","Boston Chamber of Commerce Address, (no text or notes) October 7, 1940","October 7, 1940","1940"
"box 125, folder 5","Plainfield, New Jersey Address, (no text or notes) October 7, 1940","October 7, 1940","1940"
"box 125, folder 6","Port Washington Address (Long Island) October 11, 1940","October 11, 1940","1940"
"box 125, folder 7","Moline After Dinner Club Address October 14, 1940","October 14, 1940","1940"
"box 125, folder 8","Republican Women of Delaware Address October 16, 1940","October 16, 1940","1940"
"box 125, folder 9","Virginia Democrats for Willkie Address October 16, 1940","October 16, 1940","1940"
"box 125, folder 10","New York City Address, (no text or notes) October 23, 1940","October 23, 1940","1940"
"box 125, folder 11","Rochester, New York Address, (no text or notes) October 24, 1940","October 24, 1940","1940"
"box 125, folder 12","Cleveland Addresses October 25 and 26, 1940","1940","1940"
"box 125, folder 13","Manhattan Campaign Committee Address, (no text or notes) October 29, 1940","October 29, 1940","1940"
"box 125, folder 14","Philadelphia Town Hall Address October 31, 1940","October 31, 1940","1940"
"box 125, folder 15","Women's National Republican Club Address November 1, 1940","November 1, 1940","1940"
"box 125, folder 16","Election Eve Broadcast November 4, 1940","November 4, 1940","1940"
"box 125, folder 17","Invitations to speak during Willkie Campaign, (not accepted) 1940","1940","1940"
"box 125, folder 18","First Presbyterian Church Address (Santa Barbara) December 29, 1940","December 29, 1940","1940"
"box 125, folder 19","Cincinnati Advertising Club Address January 22, 1941","January 22, 1941","1941"
"box 125, folder 20","Indianapolis Advertising Club Address January 23, 1941","January 23, 1941","1941"
"box 125, folder 21","Columbus Advertising Club Address, (no text or notes) January 24, 1941","January 24, 1941","1941"
"box 126, folder 1","Barrington Town-Warming Address (Illinois), (no text or notes) January 17, 1941","January 17, 1941","1941"
"box 126, folder 2","United Charities Campaign Address, (no text or notes) February 10, 1941","February 10, 1941","1941"
"box 126, folder 3","Cleveland Advertising Club Address February 26, 1941","February 26, 1941","1941"
"box 126, folder 4","St. Louis Chamber of Commerce Address, (no text or notes) February 28, 1941","February 28, 1941","1941"
"box 126, folder 5","Life Underwriters' Association of New York Address March 27, 1941","March 27, 1941","1941"
"box 126, folder 6","Chicago Executives' Club Address April 18, 1941","April 18, 1941","1941"
"box 126, folder 7","National Industrial Advertising Association Address April 18, 1941","April 18, 1941","1941"
"box 126, folder 8","New Jersey Manufacturers' Association Address May 10, 1941","May 10, 1941","1941"
"box 126, folder 9","Harvard Medical Society of New York Address, (no text or notes) May 31, 1941","May 31, 1941","1941"
"box 126, folder 10","New York Union League Club Address May 15, 1941","May 15, 1941","1941"
"box 126, folder 11","Pittsburgh Advertising Club Address May 27, 1941","May 27, 1941","1941"
"box 126, folder 12","Pennsylvania Grade Crude Oil Association Address June 19, 1941","June 19, 1941","1941"
"box 126, folder 13","Lancaster Rotary Club Address, (no text or notes) August 21, 1941","August 21, 1941","1941"
"box 126, folder 14","Financial Advertisers' Association Address, (no text or notes) September 8, 1941","September 8, 1941","1941"
"box 126, folder 15","Iowa Bankers' Association Address, (cancelled) September 10, 1941","September 10, 1941","1941"
"box 126, folder 16","National Hardwood Lumber Association Address September 18, 1941","September 18, 1941","1941"
"box 126, folder 17","Philadelphia Sales Managers' Association Address, (no text or notes) October 20, 1941","October 20, 1941","1941"
"box 126, folder 18","Indiana Association of Personal Finance Companies Address November 5, 1941","November 5, 1941","1941"
"box 126, folder 19","Chicago Sales Executives Club Address November 13, 1941","November 13, 1941","1941"
"box 127, folder 1","Cleveland Media Group Address January 26, 1942","January 26, 1942","1942"
"box 127, folder 2","New York Sales Managers' Club Address, (no text or notes) February 6, 1942","February 6, 1942","1942"
"box 127, folder 3","Toledo Chamber of Commerce Address February 19, 1942","February 19, 1942","1942"
"box 127, folder 4","Wesleyan University Address, (no text or notes) March 2, 1942","March 2, 1942","1942"
"box 127, folder 5","Boston Real Estate Exchange Address March 4, 1942","March 4, 1942","1942"
"box 127, folder 6","Rochester Yale Club Address March 20, 1942","March 20, 1942","1942"
"box 127, folder 7","Buffalo Aero Club Address March 27, 1942","March 27, 1942","1942"
"box 127, folder 8","St. Paul Advertising Club Address March 28, 1942","March 28, 1942","1942"
"box 127, folder 9","American Hardware Manufacturers' Association Address April 22, 1942","April 22, 1942","1942"
"box 127, folder 10","Indiana Bankers' Association Address May 13, 1942","May 13, 1942","1942"
"box 127, folder 11","Western Trip September 1942","September 1942","1942"
"box 127, folder 12","Baltimore Advertising Club Address October 21, 1942","October 21, 1942","1942"
"box 127, folder 13","Iowa Bankers' Association Address October 26, 1942","October 26, 1942","1942"
"box 127, folder 14","Industrial Marketers of Cleveland Address, (no text or notes) October 28, 1942","October 28, 1942","1942"
"box 127, folder 15","Cleveland Chamber of Commerce Address November 10, 1942","November 10, 1942","1942"
"box 127, folder 16","Syracuse Advertising Club Address November 18, 1942","November 18, 1942","1942"
"box 127, folder 17","Miscellaneous Speeches 1943","1943","1943"
"box 127, folder 18","Shreveport Chamber of Commerce Address January 22, 1943","January 22, 1943","1943"
"box 127, folder 19","Chicago Union League Club Address February 9, 1943","February 9, 1943","1943"
"box 127, folder 20","Friend of the Claremont Colleges Address February 19, 1943","February 19, 1943","1943"
"box 128, folder 1","Minneapolis Association of Sales Managers Address, (no text or notes) March 24, 1943","March 24, 1943","1943"
"box 128, folder 2","St. Louis Chamber of Commerce Address March 26, 1943","March 26, 1943","1943"
"box 128, folder 3","Baldwin-Wallace College Address May 31, 1943","May 31, 1943","1943"
"box 128, folder 4","Chicago Rotary Club Address September 14, 1943","September 14, 1943","1943"
"box 128, folder 5","National Physicians Committee Address, (no text or notes) October 4, 1943","October 4, 1943","1943"
"box 128, folder 6","Disston and Sonds Address October 8, 1943","October 8, 1943","1943"
"box 128, folder 7","Carrier Institute of Business Address October 11, 1943","October 11, 1943","1943"
"box 128, folder 8","American Institute of Steel Construction Address October 19, 1943","October 19, 1943","1943"
"box 128, folder 10","New York Sales Managers' Club Address, (no text or notes) October 22, 1943","October 22, 1943","1943"
"box 128, folder 11","American Association of Advertising Agencies Address November 5, 1943","November 5, 1943","1943"
"box 128, folder 12","Montreal Advertising and Sales Executives Club Address December 1, 1943","December 1, 1943","1943"
"box 128, folder 13","Portland Address, (no text or notes) December 18, 1943","December 18, 1943","1943"
"box 128, folder 14","San Francisco Advertising Club Address, (no text or notes) December 22, 1943","December 22, 1943","1943"
"box 128, folder 15","Los Angeles Town Hall Address, (no text or notes) December 27, 1943","December 27, 1943","1943"
"box 128, folder 16","Cuvier Press Club Address, (no text or notes) January 19, 1944","January 19, 1944","1944"
"box 128, folder 17","Chicago Union League Club Address January 20, 1944","January 20, 1944","1944"
"box 129, folder 1","University School Commencement Address (Cleveland, Ohio) January 31, 1944","January 31, 1944","1944"
"box 129, folder 2","Texas Company Address February 9, 1944","February 9, 1944","1944"
"box 129, folder 3","Philadelphia Rotary Club Address March 8, 1944","March 8, 1944","1944"
"box 129, folder 4","Pittsburgh Advertising Club Address, (no text or notes) March 14, 1944","March 14, 1944","1944"
"box 129, folder 5","Independent Petroleum Association of America Address, (no text or notes) April 29, 1944","April 29, 1944","1944"
"box 129, folder 6","Ohio State Bar Association Address May 12, 1944","May 12, 1944","1944"
"box 129, folder 7","Philadelphia City Business Club Address August 11, 1944","August 11, 1944","1944"
"box 129, folder 8","Portland Chamber of Commerce Address September 18, 1944","September 18, 1944","1944"
"box 129, folder 9","Los Angeles Rotary Club Address September 29, 1944","September 29, 1944","1944"
"box 129, folder 10","National Stationers Association Address, (no text or notes) October 3, 1944","October 3, 1944","1944"
"box 129, folder 11","New York Financial Advertisers Address, (no text or notes) October 18, 1944","October 18, 1944","1944"
"box 129, folder 12","Chicago Union League Club Address October 25, 1944","October 25, 1944","1944"
"box 129, folder 13","Detroit Adcraft Club Address, (?) October 26, 1944","October 26, 1944","1944"
"box 129, folder 14","Toledo Club Address, (no text or notes) October 27, 1944","October 27, 1944","1944"
"box 129, folder 15","Texaco Round Table Address, (no text or notes) November 1, 1944","November 1, 1944","1944"
"box 129, folder 16","National Association of Public Relations Council Address November 16, 1944","November 16, 1944","1944"
"box 129, folder 17","Tax Foundation Address December 6, 1944","December 6, 1944","1944"
"box 129, folder 18","Indiana State Bar Association Address January 13, 1945","January 13, 1945","1945"
"box 129, folder 19","Economic Club of Southwestern Michigan Address, (no text or notes) January 24, 1945","January 24, 1945","1945"
"box 129, folder 20","Milwaukee Advertising Club Address January 25, 1945","January 25, 1945","1945"
"box 129, folder 21","Republican Club of the 9th A.D. Address March 16, 1945","March 16, 1945","1945"
"box 129, folder 22","Newark Address April 24, 1945","April 24, 1945","1945"
"box 129, folder 23","American Council on Public Relations Committee Address, (no text or notes) May 9, 1945","May 9, 1945","1945"
"box 129, folder 24","America's Town Meeting of the Air Address May 31, 1945","May 31, 1945","1945"
"box 129, folder 25","Los Angeles Town Hall Address June 25, 1945","June 25, 1945","1945"
"box 129, folder 26","Norwalk, Conn. Address, (no test or notes) August 30, 1945","August 30, 1945","1945"
"box 129, folder 27","Ohio Society of New York Address October 8, 1945","October 8, 1945","1945"
"box 129, folder 28","Peoria Advertising and Selling Club Address October 15, 1945","October 15, 1945","1945"
"box 129, folder 29","Ohio Public Expenditure Council Address, (no text or notes) November 16, 1945","November 16, 1945","1945"
"box 130, folder 1","Republican Committee of One Hundred Address, (no text or notes) January 8, 1946","January 8, 1946","1946"
"box 130, folder 2","Chicago Commonwealth Club Address, (no text or notes) January 31, 1946","January 31, 1946","1946"
"box 130, folder 3","Kansas City Advertising and Sales Executives Club Address February 4, 1946","February 4, 1946","1946"
"box 130, folder 4","New York Sales Managers' Club Address, (no text or notes) March 1, 1946","March 1, 1946","1946"
"box 130, folder 5","Pennsylvania State Chamber of Commerce Address March 20, 1946","March 20, 1946","1946"
"box 130, folder 6","United States Independent Telephone Association Address April 6, 1946","April 6, 1946","1946"
"box 130, folder 7","Minneapolis Sales Managers' Club Address, (no text or notes) April 17, 1946","April 17, 1946","1946"
"box 130, folder 8","Chicago Union League Club Address, (no text or notes) April 18, 1946","April 18, 1946","1946"
"box 130, folder 9","Women's National Republican Club Address, (no text or notes) April 23, 1946","April 23, 1946","1946"
"box 130, folder 10","Indianapolis Rotary Club Address, (no text or notes) May 21, 1946","May 21, 1946","1946"
"box 130, folder 11","Chicago Commercial Club Address May 22, 1946","May 22, 1946","1946"
"box 130, folder 12","National Federation of Sales Executives Address May 22, 1946","May 22, 1946","1946"
"box 130, folder 13","American Psychiatric Association Address May 29, 1946","May 29, 1946","1946"
"box 130, folder 14","Los Angeles Advertising Club Address August 13, 1946","August 13, 1946","1946"
"box 130, folder 15","Nebraska State Bankers Association Address October 12, 1946","October 12, 1946","1946"
"box 130, folder 16","Providence Sales Managers' Club Address October 14, 1946","October 14, 1946","1946"
"box 130, folder 17","American Marketing Association Address October 23, 1946","October 23, 1946","1946"
"box 130, folder 18","Limited Price Variety Stores Association Address, (no text or notes) November 6, 1946","November 6, 1946","1946"
"box 130, folder 19","Minneapolis Advertising Club Address, (no text or notes) November 20, 1946","November 20, 1946","1946"
"box 130, folder 20","Saint Paul Association of Commerce Address, (no text or notes) November 20, 1946","November 20, 1946","1946"
"box 130, folder 21","National Association of Manufacturers Address December 4, 1946","December 4, 1946","1946"
"box 130, folder 22","St. Louis Advertising Club Address January 28, 1947","January 28, 1947","1947"
"box 130, folder 23","Statement before the House Committee on Un-American Activities February 11, 1947","February 11, 1947","1947"
"box 130, folder 24","American Retail Federation Address February 24, 1947","February 24, 1947","1947"
"box 130, folder 25","Women's National Republican Club Address, (no text or notes) February 25, 1947","February 25, 1947","1947"
"box 130, folder 26","San Francisco Advertising Club Address April 2, 1947","April 2, 1947","1947"
"box 130, folder 27","Montreal Advertising Club Address April 16, 1947","April 16, 1947","1947"
"box 130, folder 28","Agnes Scott College Address May 15, 1947","May 15, 1947","1947"
"box 130, folder 29","Los Angeles Advertising Club Address, (no text or notes) August 12, 1947","August 12, 1947","1947"
"box 130, folder 30","Address at the Conference on the Citizen's Participation in Public Affairs September 29, 1947","September 29, 1947","1947"
"box 130, folder 31","Detroit Community Fund Address October 29, 1947","October 29, 1947","1947"
"box 130, folder 32","National Beer Wholesalers' Association Address November 4, 1947","November 4, 1947","1947"
"box 130, folder 33","Kansas City Advertising Club Address November 10, 1947","November 10, 1947","1947"
"box 131, folder 1","St. Louis Advertising Club Address, (no text or notes) November 11, 1947","November 11, 1947","1947"
"box 131, folder 2","Toledo Advertising Club Address, (no text or notes) November 12, 1947","November 12, 1947","1947"
"box 131, folder 3","Dayton Rotary Club Address November 13, 1947","November 13, 1947","1947"
"box 131, folder 4","Dayton Council on World Affairs Address November 13, 1947","November 13, 1947","1947"
"box 131, folder 5","Speaking Tour November 8-16, 1947","1947","1947"
"box 131, folder 6","La Grange Community Forum Address (Illinois) December 14, 1947","December 14, 1947","1947"
"box 131, folder 7","Western Reserve University Address December 15, 1947","December 15, 1947","1947"
"box 131, folder 8","Woman's Press Club of New York City Address December 27, 1947","December 27, 1947","1947"
"box 131, folder 9","Miscellaneous Newspaper Clippings from 1947","1947","1947"
"box 131, folder 10","""Books on Trial"" Appearance, (no text or notes) January 12, 1948","January 12, 1948","1948"
"box 131, folder 11","New Orleans Members' Council Address January 22, 1948","January 22, 1948","1948"
"box 131, folder 12","Statement before the Subcommittee of the House Committee on Un-American Activities February 11, 1948","February 11, 1948","1948"
"box 131, folder 13","Cincinnati Industrial Institute Address February 17, 1948","February 17, 1948","1948"
"box 131, folder 14","Kansas City Builders' Association Address March 4, 1948","March 4, 1948","1948"
"box 131, folder 15","Philadelphia Bulletin Forum Address March 10, 1948","March 10, 1948","1948"
"box 131, folder 16","America's Town Meeting of the Air Address March 16, 1948","March 16, 1948","1948"
"box 131, folder 17","Boston Commercial-Merchants Club Address March 23, 1948","March 23, 1948","1948"
"box 131, folder 18","Mutual Broadcasting Company Address, (no text or notes) March 30, 1948","March 30, 1948","1948"
"box 131, folder 19","National Machine Tool Builders Association Address April 8, 1948","April 8, 1948","1948"
"box 131, folder 20","Chicago Executives' Club Address April 9, 1948","April 9, 1948","1948"
"box 131, folder 21","National Association of Magazine Publishers Forum Address April 28, 1948","April 28, 1948","1948"
"box 131, folder 22","New York Public Relations Society Address, (no text or notes) April 30, 1948","April 30, 1948","1948"
"box 131, folder 23","National Association of Manufacturers Addresses May 6-21, 1948","1948","1948"
"box 131, folder 24","New York Employing Printers Association Address May 24, 1948","May 24, 1948","1948"
"box 131, folder 25","Pasadena Chamber of Commerce Address September 2, 1948","September 2, 1948","1948"
"box 131, folder 26","National Hardwood Lumber Association Address September 28, 1948","September 28, 1948","1948"
"box 132, folder 1","Cleveland Fifty Club Address, (no text or notes) October 11, 1948","October 11, 1948","1948"
"box 132, folder 2","Ohio Savings and Loan League Address, (no text or notes) October 12, 1948","October 12, 1948","1948"
"box 132, folder 3","General Baking Company Address October 13, 1948","October 13, 1948","1948"
"box 132, folder 4","Kohler Women's Club Address, (no text or notes) October 20, 1948","October 20, 1948","1948"
"box 132, folder 5","Corset and Brassiere Association Address, (no text or notes) November 4, 1948","November 4, 1948","1948"
"box 132, folder 6","Cotton-Textile Institute Address November 11, 1948","November 11, 1948","1948"
"box 132, folder 7","Miscellaneous Addresses and Notes 1949-1950","1949","1949"
"box 132, folder 8","St. Louis Address, (no text or notes) January 11, 1949","January 11, 1949","1949"
"box 132, folder 9","University of Wichita Address, (no text or notes) January 12, 1949","January 12, 1949","1949"
"box 132, folder 10","Topeka Knife and Fork Club Address January 13, 1949","January 13, 1949","1949"
"box 132, folder 11","Evanston School of World Affairs Address January 16, 1949","January 16, 1949","1949"
"box 132, folder 12","Chicago Rotary Club Address January 18, 1949","January 18, 1949","1949"
"box 132, folder 13","Packer Collegiate Institute Address, (no text or notes) February 4, 1949","February 4, 1949","1949"
"box 132, folder 14","Genesee Valley Club Address (Rochester) February 11, 1949","February 11, 1949","1949"
"box 132, folder 15","Writing Paper Manufacturers Association Address February 22, 1949","February 22, 1949","1949"
"box 132, folder 16","Texas and Southwestern Cattle Raisers Association Address March 22, 1949","March 22, 1949","1949"
"box 132, folder 17","University of Cincinnati Address March 25, 1949","March 25, 1949","1949"
"box 132, folder 18","St. Louis Industrial Marketing Council Address March 26, 1949","March 26, 1949","1949"
"box 132, folder 19","Peoria Advertising Club Address March 28, 1949","March 28, 1949","1949"
"box 132, folder 20","Dallas City Club Address April 13, 1949","April 13, 1949","1949"
"box 132, folder 21","East Texas Chamber of Commerce Address April 22, 1949","April 22, 1949","1949"
