docname	filename	year	pre	keyword	post
text43830	batch6_46_page0.txt	1956	There is more of Walter	Reuther	
text43834	batch6_46_page0.txt	1956		Reuther	and his associates have what
text43922	batch6_47_page0.txt	1956	The maunderings of Stevenson and the meanderings of Kefauver are the shadows of this campaign . The reality is the massive , disciplined , ruthless machine conceived and created by Walter	Reuther	and pleasantly designated as the AFL-CIO Committee on Political Education—COPE .
text43932	batch6_47_page0.txt	1956	If Walter	Reuther	had been pulling the strings directly , the Democrats in the 37 states outside the South could hardly have obeyed with more servility . For of all the 26 Democratic senators in those states , twelve had a perfect score and seven deviated only once . Of the 132 House
text43936	batch6_47_page0.txt	1956	in the Senate , and 80 per cent in the House . In the next Congress the parity between COPE and Democracy may be nearer 100 per cent . With COPE providing most of the money and manpower in Senatorial and Congressional races , the substance of power is with	Reuther	, et al . , while the name Democratic is merely a convenient reminder of the past .
text43938	batch6_47_page0.txt	1956	. It remains to be seen whether in the years ahead those American citizens who have joined unions to serve their legitimate economic interests are going to be willing to serve as pawns—paying pawns—in this movement . For they are being exploited merely to serve the personal political ambitions of	Reuther	and others .
text44398	batch6_53_page0.txt	1956	I am not suggesting here a conflict of economic groups . Class government comes not from a multiplicity of groups active in politics , but from the withholding of some while others take over . That is exactly what happened in Michigan , where the	Reuther	CIO-PAC took over the Democratic Party and then used it to dominate the government of the state .
text44402	batch6_53_page0.txt	1956	in the community and in national life are stressed and common ground is created for all . Union members themselves do not want to be a detached group in the community , concerned only with union interests and obeying at the polls the orders of a few politician-bosses like the	Reuthers	. Politics for them , as for all of us , should concern the whole of human life .
text44517	batch6_56_page0.txt	1956		Reuthers	are interested in who is
text45316	batch6_66.txt	1956	The	Reuther	war chest is probably
text47282	batch6_89_page0.txt	1956	Good . But could not escape	Reuther	
text39582	batch5_42_page0.txt	1957		Reuther	appeared .
text39887	batch5_44_page0.txt	1957	and from Walter	Reuther	of the
text39897	batch5_44_page0.txt	1957	into operation .	Reuther	and others
text39910	batch5_44_page0.txt	1957		Reuther	has in mind in his bitter
text39923	batch5_44_page0.txt	1957		REUTHER'S	PURPOSE
text39935	batch5_44_page0.txt	1957	closely allied in politics with	Reuther	,
text39950	batch5_44_page0.txt	1957	Apparently	Reuther's	purpose is to
text40577	batch6_5_page0.txt	1957	marginal Democratic counties have become solidly Democratic . This trend has been especially notable in the sparsely settled areas in the north , on the eastern border , and in the lush San Joaquin Valley . This is evidence of the recent AFL-CIO strategy , no doubt created by Walter	Reuther	, of seeking Congressional seats where the attack is least expected and where the most seats can be gained with the least expenditure of money and manpower . Alliances in such areas are made with public-power zealots , radical farmers , and other collectivist groups . Obvious examples are the
text42202	batch6_24_page0.txt	1957	And now comes the unctuous Walter	Reuther	, who realizes that
text42208	batch6_24_page0.txt	1957	passed upon at the conventions of the union . In short ,	Reuther	wants a re -
text42211	batch6_24_page0.txt	1957	This is the same Walter	Reuther	who over the years has wanted con -
text42215	batch6_24_page0.txt	1957	scrutiny for everybody but	Reuther	!
text36392	batch4_43_page0.txt	1958	letter with a union-dominated governor and legislature . The Democratic platform adopted in August was only reluctantly made available to the public in October . It is a formidable , reckless , radical mass of proposals . One provision would put into the law an idea , fostered by Walter	Reuther	during the Kohler strike , which would deny purchases by any state agency from a producer “ charged with unfair labor practices or against whom a strike is being conducted by a bona fide union . ” Another proposal , to abolish the state sales tax and increase the income
text36619	batch5_4_page0.txt	1958	there as it virtually has in Rhode Island and Michigan . Thus , in California , Knowland saw his inexorable duty . His bluntly stated reasons for running for governor were : “ I do not intend to sit complacently by and allow California to become a satellite of Walter	Reuther’s	labor-political empire . There is a job to be done in California . ” ( He would now add Hoffa to Reuther , since the Teamsters ’ boss has taken a hand in the California campaign . ) Knowland did not spell this out , and so his enemies opened
text36619	batch5_4_page0.txt	1958	His bluntly stated reasons for running for governor were : “ I do not intend to sit complacently by and allow California to become a satellite of Walter Reuther’s labor-political empire . There is a job to be done in California . ” ( He would now add Hoffa to	Reuther	, since the Teamsters ’ boss has taken a hand in the California campaign . ) Knowland did not spell this out , and so his enemies opened fire upon his motives .
text36636	batch5_5_page0.txt	1958	Essence of	Reutherism	
text36641	batch5_5_page0.txt	1958	Walter	Reuther	was recently
text36647	batch5_5_page0.txt	1958	the strands of	Reuther's	philosophy
text36672	batch5_5_page0.txt	1958	ration with	Reuther	.
text36674	batch5_5_page0.txt	1958	It has been clear that	Reuther's	ef -
text36687	batch5_5_page0.txt	1958	The objective in all	Reuther	strat -
text36702	batch5_5_page0.txt	1958	On many occasions	Reuther	has made clear that this super-group
text36709	batch5_5_page0.txt	1958	says	Reuther	, " has got to be economic
text36738	batch5_5_page0.txt	1958		Reuther's	ridiculous claim is that
text36751	batch5_5_page0.txt	1958		Reuther	. He will reward the party by
text36755	batch5_5_page0.txt	1958		Reuther	says in conclusion that " the
text36806	batch5_7_page0.txt	1958	The Conference on Economic Progress titled “ The Recession—Cause and Cure . ” Its principal author is apparently Leon Keyserling , President Truman’s Council of Economic Advisers chairman , who is now president of the “ conference . ” A group of sponsors includes three union officials , including Walter	Reuther	, five farm leaders committed to inflationary policies , three ex-members of the Roosevelt-Truman regime , and five not-well-known businessmen .
text37779	batch5_20_page0.txt	1958	Walter	Reuther	came through
text37785	batch5_20_page0.txt	1958	it was made clear that either	Reuther	
text37798	batch5_20_page0.txt	1958	who now conclude that	Reuther	won
text37800	batch5_20_page0.txt	1958	only a general delineation of	Reuther's	
text37816	batch5_20_page0.txt	1958		Reuther's	significance in the general
text37823	batch5_20_page0.txt	1958		Reuther's	undisputed purity in his pri -
text37825	batch5_20_page0.txt	1958	committee to the	Reuther	inquiry , and
text37826	batch5_20_page0.txt	1958	later to an attempt to have	Reuther	
text37830	batch5_20_page0.txt	1958		Reuther	and his counsel , Joseph L .
text37834	batch5_20_page0.txt	1958		Reuther's	staff who were flitting about
text37859	batch5_20_page0.txt	1958	UAW of which	Reuther	is the head .
text37871	batch5_20_page0.txt	1958		Reuther	at the door of the local . He
text37875	batch5_20_page0.txt	1958	Men responsible to	Reuther	, such
text37886	batch5_20_page0.txt	1958	order . Not	Reuther	but the authorities
text37945	batch5_22_page0.txt	1958	margin between the parties , may well assure a Democratic House majority for years to come . And considering the rapidity with which the power of the AFL-CIO Committee on Political Education ( COPE ) is growing , the balance of power will be with the machine of which Walter	Reuther	is master .
text38156	batch5_25_page0.txt	1958	The mastermind of COPE is Walter	Reuther	, chief of the CIO and of the UAW—the latter the most politically potent of all unions and , except for the Teamsters , the largest in membership . Already many members of the Senate and House owe their offices to him . Goldwater and Knowland are outstanding exceptions .
text38168	batch5_25_page0.txt	1958	him a national figure . The people of the state are proud of this , just as the citizens of California are of their native son , Knowland . Goldwater’s vigorous turning of a reluctant McClellan committee from the Beck-Hoffa behavior to the deeper and vastly more important issues of	Reuther’s	strikes and imperial ambitions suggests what the Arizona campaign will be like . It will be similar in national import to the 1950 campaign in Ohio , when the union bosses threw all they had against the late Senator Taft . There will be hard work and hard hitting before
text29877	batch3_22_page0.txt	1960		Reuther’s	Industrial Union Digest ,
text30967	batch3_35_page0.txt	1960	which Walter	Reuther	is president ,
text31008	batch3_35_page0.txt	1960	It is refreshing to turn to	Reuther's	
text24423	batch2_220_page0.txt	1961		Reuther	said , as the Presidential cam -
text24439	batch2_220_page0.txt	1961		Reuther	is at the bargaining table
text24456	batch2_220_page0.txt	1961	“ framework ” — a	Reutherian	cliché —
text24458	batch2_220_page0.txt	1961	their statistical roundelay .	Reuther	
text24468	batch2_220_page0.txt	1961		Reuther	demand that his and his
text24489	batch2_220_page0.txt	1961	and over by	Reuther	in the program
text24492	batch2_220_page0.txt	1961	This is the end of a	Reutherian	
text24506	batch2_220_page0.txt	1961	A quarter of a century ago ,	Reuther	
text24520	batch2_220_page0.txt	1961	have referred ,	Reuther	himself sub -
text24523	batch2_220_page0.txt	1961	ablest debating opponent	Reuther	
text18729	batch2_155_page0.txt	1962	Consider some of the incumbents now seeking re-election in big states , from the bumbling Brown in California to the negative Volpe in Massachusetts , the amiable DiSalle in Ohio , the	Reuther-geared	Swainson in Michigan . Among them all , only Rockefeller is a serious contender for a Presidential nomination .
text10318	batch2_47_page0.txt	1964	Walter	Reuther	rallied to Mr . Johnson and Hubert Humphrey .
text10369	batch2_48_page0.txt	1964	the	Reuthers	, Harvard and Texas , all
text11046	batch2_57_page0.txt	1964	As Humphrey's articulate sponsorship of statist policies brought him distinction in the Senate , he formed alliances with liberal leaders from other parts of the nation—notably with Walter	Reuther—who	had drawn their inspiration from other semi-Marxist sources .
text2187	batch1_27_page0.txt	1966	Lewis , the	Reuther	brothers and Sidney
