"","filename","category","explanation"
"57","1956-08-09_167000759_1_page0.txt","politics","hasbeensomethinginthewayoftheconsolationsincethekefauverdelegatesandthenominationwouldbeworthlessinanyevent"
"58","1956-08-11_166987545_1_page0.txt","politics;economy","spendandelectisstilllegislativeway, wetaxpayersmaybeaskingourselveswhetherwecanreallyaffordpresidentialelections"
"59","1956-08-14_166967202_1_page0.txt","politics","thecatholicvotebecausein1952thesocalledcatholicstatesshowedashifttoeisenhower, isapolticialmove"
"60","1956-08-17_166972775_1_page0.txt","politics","preferencepollontherepublicanvicepresidentialnominationamongcaliforniavoters, hishasbeenaprimemoverintheefforttodropnixon"
"61","1956-08-20_167030467_1_page0.txt","politics","sanctificationofpartyheroesisoneofthemostamusingtraitsofamericanpolítics, thisiswellshowninthecurrentconventions"
"62","1956-08-21_167026995_1_page0.txt","politics","thekeenestmindsinrepublicanchairmanhallsverylargeandveryablenationalcommitteestaffarenotonthedemocraticnationalticket, campaign"
"63","1956-08-22_167024006_1_page0.txt","politics","theresponsibilityforelectingthevitalmarginessentialtopartycontrolhasbeentakenoverbythepoliticalarmsoflaborunions, attendingtherepublicanconvention."
"64","1956-08-28_166992768_1_page0.txt","politics","nixonsrole, itwasatraditionthatnixonswasanhonor, president"
"65","1956-08-31_166992300_1_page0.txt","politics","thenitialrepublicandocumentnotonlyinthiscampaignbutinyearstocome, allaboutthenews"
"66","1956-09-04_166989848_1_page0.txt","politics","electionwhatsoever"
"67","1956-09-05_166996171_1_page0.txt","politics","therecent sessionoftheaflcioexecutive councilatthatsofar is concerned election"
"68","1956-09-07_167016888_1_page0.txt","politics","I had that for for election is near I to take"
"69","1956-09-11_167036433_1_page0.txt","politics","thathasbeensolicited"
"70","1956-09-15_167014181_1_page0.txt","politics","an election in main, election of 1962"
"71","1956-09-18_167011196_1_page0.txt","politics","at the end of this campaign"
"72","1956-09-21_167021069_1_page0.txt","politics","there will have be an election and"
"73","1956-09-24_166996599_1_page0.txt","politics","The last four year"
"74","1956-09-26_167002293_1_page0.txt","politics","to have it in election what is the best way to improve this area"
"75","1956-09-29_166981483_1_page0.txt","politics","the fact that with this state an act an election to is very hard to find"
"76","1956-10-02_167003681_1_page0.txt","politics","to be at his point for an election to be successful to put someone in charge"
"77","1956-10-04_167015295_1_page0.txt","politics","the last election as some point out and"
"78","1956-10-06_166998763_1_page0.txt","politics","during elections, as this election goes, during a party goes out"
"79","1956-10-08_167016859_1_page0.txt","politics","election years, for President, there is an office to have"
"80","1956-10-12_166981548_1_page0.txt","politics","in what is going to happen, it is because it is an election"
"81","1956-10-13_167046648_1_page0.txt","voter_turnout","estimates just issued by the us census bureau these cover"
"82","1956-10-16_167027617_1_page0.txt","politics","during his election with with a majority"
"83","1956-10-18_167040314_1_page0.txt","politics","with all this I can tell is nothing will happened before I go from this post"
"84","1956-10-20_167038525_1_page0.txt","politics","this comes near so that that comes near because all that comes from you know"
"85","1956-10-23_167022818_1_page0.txt","politics","has a lot of has done but the world that cannot control in that time"
"86","1956-10-27_167015426_1_page0.txt","politics","and he's in that way and for that that that is why that happened and"
"87","1956-10-31_167008470_1_page0.txt","politics","for election purposes and everything and nothing will stop it"
"88","1956-11-02_167062796_1_page0.txt","politics","the results of that great time in the US is that he is in that field of service"
"89","1956-11-06_167070736_1_page0.txt","politics","after this election and the"
"90","1956-11-09_167008316_1_page0.txt","other",NA
"91","1956-11-10_166980142_1_page0.txt","politics","The lessons of election has shown to come through"
"92","1956-11-13_167052081_1_page0.txt","politics","is a state and how is the Republican getting set up after all the year and election it is well-known"
"93","1956-11-17_167080687_1_page0.txt","politics","and the voters and those whodid not give"
"94","1956-11-20_167030467_1_page0.txt","politics","and in a great election"
"95","1956-11-22_167062881_1_page0.txt","politics","how thing went in elections is to come into the"
"96","1956-11-23_167025776_1_page0.txt","politics","from which I have had an election"
"97","1956-11-27_167054824_1_page0.txt","politics","aftertheelectionit'sthatthegreatprogramelectionisthatisgoodandgreat"
"98","1956-11-29_167015571_1_page0.txt","politics","the and for an election this year. But this what will take, what to do that would, or will help"
"99","1956-11-30_167046802_1_page0.txt","business","the has helped the government that government that should and all"
"100","1956-12-07_167005914_1_page0.txt","politics","that these things and that an Election has to go on to"
"101","1956-12-12_167107864_1_page0.txt","voter_turnout","what to do and get vote to count right to for the all who got done has what they was"
"102","1956-12-14_166991089_1_page0.txt","politics","In this Election how you would not have to"
"103","1956-12-18_167049731_1_page0.txt","politics","what to say about Election"
"104","1956-12-20_167045451_1_page0.txt","voter_turnout","The voting law of that state of the nation and"
"105","1956-12-22_167097904_1_page0.txt","politics","what to come of Election how do you have the state and the nation to"
"106","1956-12-26_167013872_1_page0.txt","other",NA
"107","1956-12-27_166981449_1_page0.txt","other",NA
