docname	filename	year	pre	keyword	post
text25684	batch2_234_page0.txt	1961	The evidence is now before us through the enterprise of the press and the statements of members of Congress that the	John Birch Society	has so concentrated its attention on Communism and has become so vehement in its pursuit of that one issue that it has adopted methods and has made statements which must bring it into general disrepute . Specifically , Americans do not like the terms " monolithic " or " authoritarian " as applied to any American group or society . They resent loose and inaccurate name calling especially when applied to Presidents and other high officials who are charged by the people with responsibility for their protection . They don't like the idea of " infiltrating " various worthy organizations
text26414	batch2_241_page0.txt	1961	That there is no classroom or teacher shortage was proved by the prodigious research of Roger	Freeman	and presented in 1958 in his book " School Needs in the Decade Ahead . " This did more than anything else to forestall crash programs in Congress . His new book , " Taxes for the Schools , " presents with incontestable documentation the financial situation .
text26416	batch2_241_page0.txt	1961		Freeman	says that in 1958 the public schools cost the states and local districts $ 12 billion . He estimates that with pupil-teacher ratios declining and teachers ' salaries rising , by 1969-70 the annual school expenditures will reach $ 24 billion . Freeman's estimate is almost exactly the same as that of the Rockefeller Brothers ' Fund and the Committee for Economic Development .
text26416	batch2_241_page0.txt	1961	Freeman says that in 1958 the public schools cost the states and local districts $ 12 billion . He estimates that with pupil-teacher ratios declining and teachers ' salaries rising , by 1969-70 the annual school expenditures will reach $ 24 billion .	Freeman's	estimate is almost exactly the same as that of the Rockefeller Brothers ' Fund and the Committee for Economic Development .
text26558	batch2_243_page0.txt	1961	Roger A .	Freeman	, by long and pains -
text26567	batch2_243_page0.txt	1961	In his new book	Freeman	points
text30660	batch3_34_page0.txt	1960	A considerable number of programs have stimulated many thousands who have hitherto been negligent . Such programs are directed toward management employees and have also included interested individuals such as independent retailers , distributors , agents , and professional people . The	National Association of Manufacturers	and the U.S . Chamber of Commerce began their interest at about the same time . Meanwhile , many companies established programs of their own . Johnson & Johnson and General Electric were pioneers , followed by such corporations as Ford Motor , Republic Steel , Hercules Powder , Aerojet-General , American Can , Gulf , and Esso , together with other companies in almost every line of business . Programs vary in format , content , and suggested locations and times for instruction and discussion . In many , a trained leader handles small groups in six to twelve
text30660	batch3_34_page0.txt	1960	A considerable number of programs have stimulated many thousands who have hitherto been negligent . Such programs are directed toward management employees and have also included interested individuals such as independent retailers , distributors , agents , and professional people . The National Association of Manufacturers and the U.S .	Chamber of Commerce	began their interest at about the same time . Meanwhile , many companies established programs of their own . Johnson & Johnson and General Electric were pioneers , followed by such corporations as Ford Motor , Republic Steel , Hercules Powder , Aerojet-General , American Can , Gulf , and Esso , together with other companies in almost every line of business . Programs vary in format , content , and suggested locations and times for instruction and discussion . In many , a trained leader handles small groups in six to twelve " lessons " scheduled over a number
text30882	batch3_37_page0.txt	1960		FREEMAN	UPHELD
text30914	batch3_37_page0.txt	1960		Freeman	estimated in his 1958
text31159	batch3_41_page0.txt	1960	Until recently , no such guide for conservative voters has been available . But now that need has been supplied by the Civic Affairs Associates , Inc . , 2612 P Street , N.W . , Washington 7 , D.C . Its publication is called " The Free Citizens Voting Record . " Since it has involved an expensive job of preparation backed by no such organizations as the AFL-CIO and ADA , its cost is $ 5 for single copies , and $ 1 for 50 or more . Thus it is suitable for political organizations ,	chambers of commerce	, and trade associations rather than for general distribution . The booklet begins with a statement of the policies and principles on the basis of which its rating of members is calculated . These principles are stated under these general titles : The Free Market ; Limited Government ; Economy in Government ; Economic Growth With Stability ; Equality Under the Law With Elimination of Physical Coercion ; National Security . Its definition of these objectives conforms to what Americans not interested in radical change believe .
text36261	batch5_2_page0.txt	1958	views of their dominant members , it is vital to have citizens ' groups which will fight to make parties stand for realities . A citizens ' group has been organized to " preserve America as an economically stable , self-governing republic that may continue to provide its people with a widely distributed well-being and to serve as an example to the world of a continentwide civilization that can survive without resort to organized intolerance , economic class conflict , the liquidation of oppositions , or slavery to an all-powerful state . " The name of this group is "	Americans for Constitutional Action	. " Heading the list of distinguished Americans who constitute its board of trustees is Adm . Ben Moreell . The noted head of the famous Seabees in the war in the Pacific and more recently the president and chairman of the Jones and Laughlin Steel Co . is the sort of man who can make such a group a powerful force in support of enlightened and dynamic conservatism .
text36592	batch5_9_page0.txt	1958	conclusive denial is Roger	Freeman's	
text36619	batch5_9_page0.txt	1958		Freeman	estimates on the basis of
text36735	batch5_10_page0.txt	1958	Roger	Freeman	of the Institute for
text36774	batch5_10_page0.txt	1958	money ?	Freeman	concludes that while
text36792	batch5_10_page0.txt	1958	of digging by	Freeman	have gone into
text36797	batch5_10_page0.txt	1958	mented by	Freeman	, has to do with
text38652	batch5_35_page0.txt	1958		Chambers of Commerce	and manu -
text38655	batch5_35_page0.txt	1958	tions , the	Chamber of Commerce	of
text38714	batch5_35_page0.txt	1958		Chamber of Commerce	of the United
text40786	batch6_13_page0.txt	1957		Chambers of Commerce	claim it is .
text41773	batch6_25_page0.txt	1957	the	Chamber of Commerce	of the
text42019	batch6_29_page0.txt	1957		Chamber of Commerce	of the United
text43870	batch6_52_page0.txt	1956	election . In 1933 the foregoing New Deal items were supplemented and enacted into law . The TVA was the “ yardstick ” concept enlarged into a vast paternalism by George Norris , liberal Republican . The guarantee of bank deposits was suggested to the RFC by President Hoover and was put through in March 1933 against opposition by F.D.R . through the efforts of Jesse Jones , John N . Garner , and Senator Vandenberg . The NRA was created by Hugh Johnson out of several plans , the most definitive of which came from the president of the	Chamber of Commerce	of the United States . Those illustrate the essential unity of history of which Maitland wrote . The origins of the early New Deal were in both parties and in no party . The Maitland phrase , “ a seamless web , ” was actually used by F.D.R . to illustrate his belief in the basic unity of all economic interests . He also expressed this concept in a sentence , quoted by Freidel : “ I plead not for a class control but for a true concert of interests . ” That attracted many conservatives , who left in
text44441	batch6_62_page0.txt	1956	Tumulty , Steed , Anfuso ,	Buckley	,
text45159	batch6_70_page0.txt	1956		Chamber of Commerce	has sent out a
text47016	batch6_93_page0.txt	1955	A .	Freeman	, assistant to Governor
text47018	batch6_93_page0.txt	1955		Freeman	served as chief advisor to
text47027	batch6_93_page0.txt	1955	this subject with	Freeman’s	answers
text47036	batch6_93_page0.txt	1955	1954 .	Freeman	answers that this fig -
text47097	batch6_93_page0.txt	1955	perusal of this	Freeman	study , is that
text48895	batch6_116_page0.txt	1955	able Roger A .	Freeman	, had a point of
text48910	batch6_116_page0.txt	1955	Mr .	Freeman	, testifying before the
text55787	batch6_197_page0.txt	1953	The eight economists were Gottfried Haberler and Edward H . Chamberlin of Harvard , John Maurice Clark of Columbia University , Frank H . Knight and	Milton Friedman	of the University of Chicago , Kenneth E . Boulding of the University of Michigan , Paul A . Samuelson of the Massachusetts Institute of Technology , and David McCord Wright of the University of Virginia . Those familiar with the literature of economics will recognize that the attitudes of these men range over all shades of economic theory and ideology , from left to the extreme right . Each prepared a formal paper on a phase of labor economics and all were furnished with copies in advance in order to facilitate discussion . Each paper was read and followed
text58082	batch6_219_page0.txt	1953	State	Chamber of Commerce	, and
text60991	batch6_252_page0.txt	1952	IT WAS , I believe , John Chamberlain of * The	Freeman	* who created the expression " we-elite . " By this he meant people who falsely profess devotion to democracy but constantly speak of what " we " should do for people—the " we " meaning those who are talking . They conceive themselves , the " elite , " to be the sanctified ministers of enlightenment and the givers of every perfect gift .
text62490	batch6_270_page0.txt	1952	the work and ideas of	Freeman	L .
text62550	batch6_270_page0.txt	1952		Freeman	Guerin of Columbus , Ohio ,
text68153	batch7_33_page0.txt	1951	writes movingly in The	Freeman	of
text69684	batch7_53_page0.txt	1950	"	Chambers of Commerce	who have
text86857	batch7_241_page0.txt	1946		National Association of Manufacturers	
text96927	batch7_390_page0.txt	1944	Portland has employed Robert Moses of New York City , who prepared a city plan for future improvements . L . Deming Tilton of the San Francisco Planning Commission has completed a comprehensive plan for that city . And in Los Angeles , a number of organizations and committees , including the state and the city	chambers of commerce	, are at work .
text116520	batch8_195_page0.txt	1939	" National security " would be an appropriate way to designate the theme of the annual Congress of American Industry recently held by the	National Association of Manufacturers	. " National " because in its extraordinarily well-planned program , in its statement of principles and in the general atmosphere surrounding the meetings the congress emphasized the broad interests of the nation rather than the narrower problems of industrial management alone . " Security " because the Congress sought to point the way to a spiritual and material knitting together of the many dissociated elements of our life through a healthy increase in productive power , an equitable distribution of the products of industry , a sound financial policy , a humane but workable division of responsibility for individual
text118468	batch8_211_page0.txt	1939	" American industry hates war , " says the	National Association of Manufacturers	. " We can and must stay out of war . " More , " industry opposes the utilization of war emergency to boost prices for the purpose of making excessive profits . "
text118470	batch8_211_page0.txt	1939	On three successive nights , Howard Coonley , president of the	National Association of Manufacturers	, Colby Chester and William B . Warner , past presidents , have amplified and explained these positions . " Industrialists of this country fear the dodges of war psychology , " said Mr . Warner ; " they prefer to face the task of solving difficult economic problems by the slow , and at times , cumbersome , but always sure democratic processes . Industry has no stomach for war . Let those whose standards permit choose that course ; but the manufacturer will not capitalize catastrophe . His memory of the debacle of the last conflict is too
text118479	batch8_211_page0.txt	1939	The Wall Street Journal , reflecting opinion of the financial center of the country , has made similar assertions . Likewise the	Chamber of Commerce	of the United States . Likewise Charles Belknap , executive vice president of the Monsanto Chemical Co . of St . Louis , who cogently points out that the chemical industry opposes participation in war because " wars are invariably followed by business depressions . . . War disrupts peacetime progress , substitutes temporary profits and long-term taxes for the long-term real profits of planned research and development . " There have been few occasions when business opinion in this country has so promptly and with such unanimity taken a position on a public question .
text125174	batch8_269_page0.txt	1938	If Charles R . Hook , president of the	National Association of Manufacturers	, were to attend a meeting of employers in a foreign country and were to shout to the international delegates assembled there that American labor unionists were attempting to impose Communism upon the United States , Washington would roundly condemn him for rattling the saber . And yet when the Beau Sabreur of labor , John L . Lewis , appearing before the International Labor Congress in Mexico City not so long ago , declared that American employers were attempting to bring about Fascism in the United States and that the great corporations were the enemies of the workers of
text131415	batch8_317_page0.txt	1937	The spark of peace between government and business glows cheeringly this week with the appearance of a conciliatory statement of principles by the	National Association of Manufacturers	. This platform for American industry describes the requirements of American industrial management in such a moderate tone and specifies them in such considered terms that it is at last possible to conceive of the Administration's finding common ground with business in the immediate job of checking the recession .
text132698	batch8_326_page0.txt	1937	your	Chamber of Commerce	friends . . .
