"","filename","category","explanation"
"41","1956-06-12_166965487_1_page0.txt","voter_turnout","7 mentions of specific voter participation, turnout, and efforts to vote"
"42","1956-06-13_166981229_1_page0.txt","other",NA
"43","1956-06-14_166942731_1_page0.txt","voter_turnout","3 mentions of specific voter participation and election day"
"44","1956-06-19_166927499_1_page0.txt","other",NA
"45","1956-06-21_166961475_1_page0.txt","other",NA
"46","1956-06-26_166936987_1_page0.txt","other",NA
"47","1956-07-02_166987194_1_page0.txt","other",NA
"48","1956-07-03_166977307_1_page0.txt","voter_turnout","5 mentions of efforts to influence voters and political action"
"49","1956-07-05_166973311_1_page0.txt","other",NA
"50","1956-07-11_166959354_1_page0.txt","other",NA
"51","1956-07-17_166984053_1_page0.txt","other",NA
"52","1956-07-20_166968775_1_page0.txt","voter_turnout","4 mentions of efforts to get people to vote and voter population"
"53","1956-07-25_166961624_1_page0.txt","other",NA
"54","1956-07-26_166959488_1_page0.txt","voter_turnout","5 mentions of specific voter participation and voter appeal"
"55","1956-07-30_166962149_1_page0.txt","other",NA
"56","1956-08-07_166977911_1_page0.txt","voter_turnout","6 mentions of voter participation through polls and election outcomes"
"57","1956-08-09_167000759_1_page0.txt","other",NA
"58","1956-08-11_166987545_1_page0.txt","voter_turnout","6 mentions of efforts to get votes and voter turnout levels"
"59","1956-08-14_166967202_1_page0.txt","voter_turnout","7 mentions of specific voter participation and efforts to get votes"
"60","1956-08-17_166972775_1_page0.txt","voter_turnout","11 mentions of voter participation, poll results, and efforts to get votes"
"61","1956-08-20_167030467_1_page0.txt","other",NA
"62","1956-08-21_167026995_1_page0.txt","voter_turnout","8 mentions of efforts to get people to vote and voter registration"
"63","1956-08-22_167024006_1_page0.txt","voter_turnout","8 mentions of efforts to get people to vote and specific voter participation"
"64","1956-08-28_166992768_1_page0.txt","other",NA
"65","1956-08-31_166992300_1_page0.txt","other",NA
"66","1956-09-04_166989848_1_page0.txt","other",NA
"67","1956-09-05_166996171_1_page0.txt","voter_turnout","15 mentions of voter participation, turnout levels, and efforts to get votes"
"68","1956-09-07_167016888_1_page0.txt","other",NA
"69","1956-09-11_167036433_1_page0.txt","voter_turnout","4 mentions of voting, elections, and taxpayer's choice"
"70","1956-09-15_167014181_1_page0.txt","voter_turnout","10 mentions of election results, organizational efforts, and get-out-the-vote drives"
"71","1956-09-18_167011196_1_page0.txt","other",NA
"72","1956-09-21_167021069_1_page0.txt","voter_turnout","15 mentions of get-out-the-vote efforts, voter turnout, and participation levels"
"73","1956-09-24_166996599_1_page0.txt","voter_turnout","9 mentions of voter registration statistics, turnout levels, and political activity"
"74","1956-09-26_167002293_1_page0.txt","voter_turnout","6 mentions of get-out-the-vote efforts and voter turnout rates"
"75","1956-09-29_166981483_1_page0.txt","other",NA
"76","1956-10-02_167003681_1_page0.txt","voter_turnout","8 mentions of voter registration, turnout levels, and efforts to get votes"
"77","1956-10-04_167015295_1_page0.txt","voter_turnout","7 mentions of get-out-the-vote efforts, voter registration, and turnout levels"
"78","1956-10-06_166998763_1_page0.txt","voter_turnout","6 mentions of election context, registration drives, and efforts to get votes"
"79","1956-10-08_167016859_1_page0.txt","other",NA
"80","1956-10-09_167023665_1_page0.txt","voter_turnout","4 mentions of voter turnout, election outcomes, and get-out-the-vote efforts"
"81","1956-10-12_166981548_1_page0.txt","other",NA
"82","1956-10-13_167046648_1_page0.txt","voter_turnout","23 mentions of voter turnout rates, participation levels, and barriers to voting"
"83","1956-10-16_167027617_1_page0.txt","voter_turnout","12 mentions of election outcomes, voter turnout, and get-out-the-vote efforts"
"84","1956-10-18_167040314_1_page0.txt","other",NA
"85","1956-10-20_167038525_1_page0.txt","voter_turnout","7 mentions of specific voter participation and voting records"
"86","1956-10-23_167022818_1_page0.txt","voter_turnout","5 mentions of specific voter participation and voting records"
"87","1956-10-27_167015426_1_page0.txt","voter_turnout","8 mentions of specific voter participation and voting records"
"88","1956-10-31_167008470_1_page0.txt","voter_turnout","11 mentions of political activities, election efforts, and voter registration"
"89","1956-11-02_167062796_1_page0.txt","other",NA
"90","1956-11-06_167070736_1_page0.txt","voter_turnout","3 mentions of election contests and how elections are won"
"91","1956-11-09_167008316_1_page0.txt","other",NA
"92","1956-11-10_166980142_1_page0.txt","voter_turnout","10 mentions of election outcomes, voter turnout, and get-out-the-vote efforts"
"93","1956-11-13_167052081_1_page0.txt","voter_turnout","8 mentions of election results, voter turnout, and participation levels"
"94","1956-11-17_167080687_1_page0.txt","voter_turnout","14 mentions of election predictions and specific voter participation"
"95","1956-11-20_167074206_1_page0.txt","voter_turnout","9 mentions of specific voter participation and efforts to get votes"
"96","1956-11-22_167062881_1_page0.txt","voter_turnout","12 mentions of specific voter participation, get-out-the-vote efforts, and barriers"
"97","1956-11-23_167025776_1_page0.txt","voter_turnout","12 mentions of election predictions, surveys, and efforts to inform voters"
"98","1956-11-27_167054824_1_page0.txt","voter_turnout","8 mentions of specific voter participation, get-out-the-vote efforts, and poll results"
"99","1956-11-29_167015571_1_page0.txt","voter_turnout","7 mentions of election costs, campaign funds, and specific voter participation"
"100","1956-11-30_167046802_1_page0.txt","other",NA
"101","1956-12-07_167005914_1_page0.txt","voter_turnout","14 mentions of political expenditures, election efforts, and free speech in campaigning"
"102","1956-12-12_167107864_1_page0.txt","voter_turnout","25 mentions of voter turnout rates, barriers to voting, and absentee voting"
"103","1956-12-14_166991089_1_page0.txt","voter_turnout","3 mentions of election efforts and campaign funding"
"104","1956-12-18_167049731_1_page0.txt","other",NA
"105","1956-12-20_167045451_1_page0.txt","voter_turnout","20 mentions of barriers to voting, absentee voting, voter registration, and efforts to vote"
"106","1956-12-22_167097904_1_page0.txt","voter_turnout","7 mentions of specific voter participation, poll results, and election efforts"
"107","1956-12-26_167013872_1_page0.txt","other",NA
"108","1956-12-27_166981449_1_page0.txt","other",NA
