changed_july24,jan7_category,july24_category1,july24_category2,changed_oct20,Oct20_category1,Oct20_category2,july24_correct,july24_human_comments,filename,jan7_explanation,oct_20explanation,july24_explanation
same,politics,politics,NA,same,politics,LABOR,YES?,Not sure if business includes discussion of the labor movement but if that is the case than definitely also business,1956-04-13_166915845_1_page0.txt,4 mentions of candidate; 3 mentions of harriman; 2 mentions of stevenson,Mentions political wisemen in the labor movement and labor leaders in politics.,"political wise men in  the labor movement are  quietly discounting stevenson kefauver and harriman, to the political party"
same,politics,politics,NA,different,other,NA,YES,,1956-04-17_166910108_1_page0.txt,1 mention of politics; 1 mention of party; 1 mention of presidency,NA,"collegestudentstotakemoreinterestinpolitics, thissurveyresultsshowsthatwomensstudentsweresomewhatmorepoorlyinformedthanthemen"
same,politics,politics,NA,same,politics,NA,YES+,Definitely also business or economy as it directly discusses the reelationship and impact of politics on farmers and the agricultural industry is a huge financial powerhouse in America,1956-04-19_166931315_1_page0.txt,13 mentions of vote; 3 mentions of eisenhower; 2 mentions of primary votes,"Discusses primary votes, elections, and seasoned politicians.","theimportanceofthefarmvoteandconsequentlythefarmrevoltaregreatlyexaggerated, inpresidentsreelectionproblemsthatwouldaffecttheresultingoutcomeoftheelection"
same,politics,politics,NA,same,politics,NA,YES?,Talks about presidents but president's health and not so much politics,1956-04-25_166936535_1_page0.txt,3 mentions of president; 2 mentions of chairman; 1 mention of democratic leaders,Mentions democratic leaders and a presidents health.,"thedemocraticleaderswillpersistinmakingattacksuponthehealthpreservingroutinewhichthepresidentsdoctorshaveprescribed, thatthispresidentwillbeahighriskforthevotingpopulation"
same,politics,politics,NA,different,economy,politics,YES,,1956-05-04_166942067_1_page0.txt,1 mention of presidential elections; 2 mentions of democrats; 2 mentions of senators,"Expensive programs, a presidential election, and record tax payments.","maybeaskingourselveswhetherwecanreallyaffordpresidentialelections, bothpartiesarerecklesslybiddingforourvoteswithourmoney"
different,other,business,NA,different,business,NA,YES,,1956-05-08_166912917_1_page0.txt,NA,"Insurance companies, potential danger of the new generation of power, Electric company is mentioned.",providing insurane uptop 500000000.00 against atomic reactor accident that may spread inurious materials over a wide area
same,other,other,NA,different,economy,NA,NO,Definitely economy as it discusses funding of welfare,1956-05-15_166921781_1_page0.txt,NA,Mentions OAS and the amount that the government would owe.,NA
same,politics,politics,NA,same,politics,NA,YES,,1956-05-18_166972318_1_page0.txt,5 mentions of eisenhower; 4 mentions of candidate; 2 mentions of stevenson,"Mentioned president, democratic statement and  voters.","aregravelyburdeningthepatiencenottosaythesenseofhumorofthepeoplewhohearorreadabouttheirspeeches, thisveryindifferencemaybeaperiltotherepublicanparty"
same,other,other,NA,different,economy,NA,YES+,Def economy as it covers the national debt,1956-05-23_166967752_1_page0.txt,NA,"Mentions debts, taxpayers and the federal government.",NA
same,other,other,NA,same,other,NA,YES?,Supreme court = politics ?,1956-05-24_166952012_1_page0.txt,NA,NA,NA
different,politics,business,NA,different,LABOR,politics,YES,,1956-05-29_166942378_1_page0.txt,1 mention of election year; 2 mentions of political activity; 1 mention of elect,Mentions organized labor to elect a Congressmen and senators and election year.,rejoiceandtogoalloutineffortandexpensethiselectionyeartoelectprolaborcongressmenandsenators
same,other,other,NA,same,other,NA,YES,,1956-05-31_166955164_1_page0.txt,NA,NA,NA
same,politics,politics,NA,same,politics,NA,YES+,Also business as there was a lot of discussion of the relationship between candidates and businessmen as well as their labor policy,1956-06-06_166953689_1_page0.txt,14 mentions of candidate; 13 mentions of vote; 11 mentions of election,"Mentions the election of senator, and candidates.","inthecomingelection, Republican affection"
different,politics,business,NA,different,business,NA,YES+,Def also economy as it discusses the great depression,1956-06-07_166972889_1_page0.txt,2 mentions of president; 1 mention of vice president; 1 mention of political debt,Mentions loan to business and to railroads.,major builder of a great city and as public administor
same,politics,politics,NA,same,politics,NA,YES,,1956-06-12_166965487_1_page0.txt,14 mentions of democratic candidates; 13 mentions of vote; 11 mentions of republican,Mentions candidates and Republican and Democratic district,"willtheregophavecontrolofthehouse, witheisenhowerontheticket"
different,politics,other,NA,different,other,NA,YES,,1956-06-13_166981229_1_page0.txt,1 mention of pre-election; 1 mention of politically conscious,NA,NA
same,politics,politics,NA,same,politics,NA,YES,,1956-06-14_166942731_1_page0.txt,4 mentions of candidate; 2 mentions of election; 2 mentions of vote,"Mentioned leader of tammany hall, and democratic national committee.",whocontrivedthenominationofaverellharrimanforthegovernorshipofnewyorkandnowseemstobemanagingtheharrimandrivetonominatethenewyorkgovernorforthepresidency
same,politics,politics,NA,same,politics,NA,YES+,Economy as it discusses the price of lare scale projects,1956-06-19_166927499_1_page0.txt,1 mention of republican senators; 1 mention of congressmen; 1 mention of sen morse,Talked about politicians and election.,In this session there was unbelievable logrolling. A current example is contained in a report of a deal.
same,politics,politics,NA,same,politics,NA,YES,Also about presidential health,1956-06-21_166961475_1_page0.txt,3 mentions of president; 1 mention of partisan; 1 mention of serve another term,"Partisan source is charging, presidents and doctors is political propaganda.","thiscampaign, inrecentyearsimagineitisthentherewillbeanelection."
same,politics,politics,NA,same,politics,LABOR,YES+,Also business -> discussion of farmers union and other organizations relationship with Democratic part,1956-07-02_166987194_1_page0.txt,2 mentions of democratic party; 1 mention of political action; 1 mention of elected,The democratic party is mentioned several times and AFL-CIO are pushing.,"thoseDemocratswhobelieveinaconservativeapproachtopublicproblemsshouldbegintopack, foritmaywellbethatbeforeanotherpresidentialyearcomeseverythingbutthenameofthedemocraticpartywillhavegone"
same,politics,politics,NA,same,politics,LABOR,YES,,1956-07-03_166977307_1_page0.txt,4 mentions of political; 4 mentions of candidate; 2 mentions of endorsement,"AFL-CIO, and Union leaders are mentioned with respect to candidates","The aio, the merger of the aofl and ci, questions if they will endorse any presidential candidate"
different,other,politics,NA,different,politics,NA,YES,Segregation causing different division of aid for school construction,1956-07-05_166973311_1_page0.txt,NA,Congress and powell amendment mentioned several times,"ifthatprovestobetrue, the presidentandcongressmightwelladoptthecoursewhichwouldhavebeenbetterinanyevent"
different,politics,economy,NA,different,economy,politics,YES,,1956-07-11_166959354_1_page0.txt,1 mention of democrats; 1 mention of sen douglas; 1 mention of walter reuther,"Secretary, and  Humphrey said in economic term.","tax cuts scheduled to take place, shifts in monetary policy and tax reduction"
same,politics,politics,NA,same,politics,NA,YES,,1956-07-17_166984053_1_page0.txt,2 mentions of sen; 1 mention of democrats; 1 mention of rep,There is a discussion about states edition laws.,"thereare47suchstatelawssmithhasnowpreparedandintroducedabillhr3tomodifythesocalledpreemptiondoctrine, topermitconcurrentjurisdiction, intheprotectionofthestateanditscitizen"
same,politics,politics,NA,same,politics,business,YES+,"Business also, discusses businessmen and relationshiop with american public. Surprised this one was not caught",1956-07-20_166968775_1_page0.txt,5 mentions of politicians; 4 mentions of voters; 2 mentions of politics,"Candidates for the democratic nomination mentioned, also talking about businessmen.","businessmencannotbetrustedinpublicoffice, apparentlyinheritedmoneyqualifiesamanforthemanagementofgreataffairsearnedmoneydoesnot"
same,politics,politics,NA,different,LABOR,business,YES+,"Economy, discusses tariffs ",1956-07-25_166961624_1_page0.txt,2 mentions of political action; 1 mention of parties; 1 mention of campaign,"Mention labor, and business  is very important.","thatbyauthorityoftraditionthecandidateforpresidentshouldchoosethecandidateforvicepresident, perhapssomeamateurtoldhimsoorperhapsdewey"
same,politics,politics,NA,same,politics,NA,YES,"Discusses education policy, interesting",1956-07-26_166959488_1_page0.txt,11 mentions of vote; 7 mentions of republican; 7 mentions of governor,The article mention election with a  potential senate.,thisyearwitheisenhower
different,other,politics,NA,different,economy,politics,YES?,,1956-07-30_166962149_1_page0.txt,NA,Senate and millions discussed,"whatthiscongress, taxpayerschoicethereforeislimited."
same,politics,politics,NA,same,politics,NA,YES,Discusses polls but not voter turnout,1956-08-07_166977911_1_page0.txt,4 mentions of poll; 3 mentions of democrats; 2 mentions of election,"Discusses an election, pollsters, and candidate health.",isasmatterofcoldpoliticsitspromotionbydemocratsandothersofsomewhatdoubtfulrepublicanismwouldfatallyimpairit
same,politics,politics,NA,NA,NA,NA,YES,,1956-08-09_167000759_1_page0.txt,15 mentions of kefauver; 6 mentions of nomination; 5 mentions of campaign,NA,hasbeensomethinginthewayoftheconsolationsincethekefauverdelegatesandthenominationwouldbeworthlessinanyevent
same,politics,politics,economy,different,economy,politics,YES+,Voter turnout,1956-08-11_166987545_1_page0.txt,3 mentions of votes; 3 mentions of elect; 1 mention of voters,"Congress, administration and taxpayers mentioned several times.","spendandelectisstilllegislativeway, wetaxpayersmaybeaskingourselveswhetherwecanreallyaffordpresidentialelections"
same,politics,politics,NA,same,politics,NA,YES+,"Voter turnout, specifically the catholic vote",1956-08-14_166967202_1_page0.txt,9 mentions of vote; 8 mentions of candidate; 5 mentions of eisenhower,"Talked about election, Catholic vote and candidates.","thecatholicvotebecausein1952thesocalledcatholicstatesshowedashifttoeisenhower, isapolticialmove"
same,politics,politics,NA,same,politics,NA,YES,,1956-08-17_166972775_1_page0.txt,9 mentions of nixon; 7 mentions of votes; 4 mentions of candidate,"Candidate, voters mentioned several times.","preferencepollontherepublicanvicepresidentialnominationamongcaliforniavoters, hishasbeenaprimemoverintheefforttodropnixon"
same,politics,politics,NA,same,politics,NA,,"I argue other, as it discusses politics but in a historical/forewarning context",1956-08-20_167030467_1_page0.txt,2 mentions of roosevelt; 1 mention of politics; 1 mention of candidate for president,Mentions parties and the election.,"sanctificationofpartyheroesisoneofthemostamusingtraitsofamericanpolítics, thisiswellshowninthecurrentconventions"
same,politics,politics,NA,NA,NA,NA,YES+,Voter turnout,1956-08-21_167026995_1_page0.txt,3 mentions of political action; 2 mentions of election; many mentions of party,NA,"thekeenestmindsinrepublicanchairmanhallsverylargeandveryablenationalcommitteestaffarenotonthedemocraticnationalticket, campaign"
same,politics,politics,NA,same,politics,NA,YES,,1956-08-22_167024006_1_page0.txt,11 mentions of party; 11 mentions of president; 9 mentions of eisenhower,Mention election to senator and democratic national committee.,"theresponsibilityforelectingthevitalmarginessentialtopartycontrolhasbeentakenoverbythepoliticalarmsoflaborunions, attendingtherepublicanconvention."
same,politics,politics,NA,same,politics,NA,YES,,1956-08-28_166992768_1_page0.txt,7 mentions of nixon; 6 mentions of party government; 5 mentions of president,Mention a president and his  running mate by an overwhelming support.,"nixonsrole, itwasatraditionthatnixonswasanhonor, president"
same,politics,politics,NA,same,politics,NA,YES,,1956-08-31_166992300_1_page0.txt,7 mentions of republican party; 7 mentions of president; 1 mention of campaign,Mentioned president and election to come and congress is involved.,"thenitialrepublicandocumentnotonlyinthiscampaignbutinyearstocome, allaboutthenews"
same,politics,politics,NA,same,politics,NA,YES+,"Business or economy also, as it discusses deealings of the suez canal",1956-09-04_166989848_1_page0.txt,2 mentions of campaign; 2 mentions of presidential; 1 mention of vice presidential candidates,The great issue in this matter it is the violation of the international convention of 1888 which is about politics and policy,electionwhatsoever
same,politics,politics,NA,different,LABOR,politics,YES,,1956-09-05_166996171_1_page0.txt,many mentions of politics; 9 mentions of election; 6 mentions of campaign,Discussion about Union target Congress.,therecent sessionoftheaflcioexecutive councilatthatsofar is concerned election
same,politics,politics,NA,NA,NA,NA,YES+,"Economy too, lots of discussion of economic policies",1956-09-07_167016888_1_page0.txt,7 mentions of election; 6 mentions of president; 5 mentions of democrats,NA,I had that for for election is near I to take
same,politics,politics,NA,different,economy,politics,YES+,Economy too ? Discuss cost of running government,1956-09-11_167036433_1_page0.txt,3 mentions of election; 3 mentions of candidate; 1 mention of politicians,1 billions dollars mentioned and also congress is involved.,thathasbeensolicited
same,politics,politics,NA,same,politics,LABOR,YES,,1956-09-15_167014181_1_page0.txt,4 mentions of election; 7 mentions of republican party; 1 mention of campaign,The name eisonhower and mention labor union in politics.,"an election in main, election of 1962"
same,politics,politics,NA,same,politics,NA,No,"Other, as it discusses a political book",1956-09-18_167011196_1_page0.txt,2 mentions of political; 1 mention of politics; 1 mention of campaign,It is all related to party and election.,at the end of this campaign
same,politics,politics,NA,NA,NA,NA,YES+,Voter turnout,1956-09-21_167021069_1_page0.txt,8 mentions of election; many mentions of vote; many mentions of democratic party,NA,there will have be an election and
same,politics,politics,NA,same,politics,NA,YES+,Voter turnout,1956-09-24_166996599_1_page0.txt,2 mentions of election; 4 mentions of registration; many mentions of republican,The reaction of republican and it also mention the  candidates,The last four year
same,politics,politics,NA,same,politics,LABOR,YES+,"Business, discusses the role of the """"business community"""" of voter influence in Seattle",1956-09-26_167002293_1_page0.txt,7 mentions of election; 9 mentions of magnuson; 3 mentions of primary,labor unions has a lot of role in election.,to have it in election what is the best way to improve this area
same,politics,politics,NA,NA,NA,NA,YES,,1956-09-29_166981483_1_page0.txt,3 mentions of vote; 1 mention of republican campaign; 2 mentions of candidate,NA,the fact that with this state an act an election to is very hard to find
same,politics,politics,NA,same,politics,NA,YES,Tone sounds almost desperate or defeated. Did something happena t this time in history to cause this change?,1956-10-02_167003681_1_page0.txt,many mentions of president; many mentions of republican party; many mentions of eisenhower,Presidents appeal.,to be at his point for an election to be successful to put someone in charge
same,politics,politics,NA,same,politics,NA,YES,Very poetic or prose-like in tone,1956-10-04_167015295_1_page0.txt,3 mentions of election; 2 mentions of politicians; 2 mentions of voters,It is a campaign issue about president health.,the last election as some point out and
same,politics,politics,NA,same,politics,NA,YES,,1956-10-06_166998763_1_page0.txt,7 mentions of election; 5 mentions of candidate; 4 mentions of political,"In this campaign, there  are lots to lose for president and the economy .","during elections, as this election goes, during a party goes out"
same,politics,politics,NA,same,politics,NA,YES+,Economy also as it discusses education budget,1956-10-08_167016859_1_page0.txt,many mentions of stevenson; many mentions of truman administration; many mentions of eisenhower administration,Candidate adlal stevenson's policy mentined.,"election years, for President, there is an office to have"
same,politics,politics,NA,same,politics,NA,YES,,1956-10-12_166981548_1_page0.txt,4 mentions of president; 2 mentions of political; 1 mention of political campaign,President decision making.,"in what is going to happen, it is because it is an election"
different,politics,voter_turnout,NA,different,voter_turnout,politics,YES,,1956-10-13_167046648_1_page0.txt,many mentions of vote; many mentions of elections; many mentions of polls,Vote that they prefer and election,estimates just issued by the us census bureau these cover
same,politics,politics,NA,same,politics,NA,YES,,1956-10-16_167027617_1_page0.txt,many mentions of democratic; many mentions of republican; many mentions of election,Many state elections mentined.,during his election with with a majority
same,politics,politics,NA,same,politics,NA,YES?,Moreso critiquing another political commentator's piece than about politics themselves,1956-10-18_167040314_1_page0.txt,many mentions of president; many mentions of republican party; many mentions of political,"Republicans party mention, candidiate it is mostly a  political letter",with all this I can tell is nothing will happened before I go from this post
same,politics,politics,NA,same,politics,NA,YES,,1956-10-20_167038525_1_page0.txt,many mentions of kefauver; many mentions of vote; many mentions of senate,"Discussion to gain more, if the is election, candidates",this comes near so that that comes near because all that comes from you know
same,politics,politics,NA,same,politics,NA,YES,,1956-10-23_167022818_1_page0.txt,many mentions of kefauver; many mentions of vote; many mentions of senate,To influence the public with action is a vote.,has a lot of has done but the world that cannot control in that time
same,politics,politics,NA,same,politics,NA,YES,,1956-10-27_167015426_1_page0.txt,many mentions of senator; many mentions of president; many mentions of republican,Senate voting,and he's in that way and for that that that is why that happened and
same,politics,politics,NA,different,LABOR,politics,YES+,Discussion of unions and their rights to support political movements financially,1956-10-31_167008470_1_page0.txt,many mentions of political activities; many mentions of election; many mentions of candidate,There is arestriction about activities.,for election purposes and everything and nothing will stop it
same,politics,politics,NA,same,politics,NA,YES,,1956-11-02_167062796_1_page0.txt,7 mentions of election; 6 mentions of democrats; 2 mentions of nixon,Candidate and elction time mentioned several times.,the results of that great time in the US is that he is in that field of service
same,politics,politics,NA,same,politics,NA,NO,Criticizes coverage of a campaign but is not directly about politics,1956-11-06_167070736_1_page0.txt,3 mentions of campaign; many mentions of stevenson; many mentions of eisenhower,Most the article it is to promote the the candidates before the action start.,after this election and the
same,other,other,NA,different,politics,NA,YES,More abstract article about historical context and how it was reflected in Eisenhower election,1956-11-09_167008316_1_page0.txt,NA,The present event about the soviet empire crumbled with history lesson.,NA
same,politics,politics,NA,same,politics,NA,YES+,Also voter turnout,1956-11-10_166980142_1_page0.txt,many mentions of election; many mentions of party; many mentions of republican party,The lesson it is about after an election  and to make the president  to be more stronger,The lessons of election has shown to come through
same,politics,politics,NA,same,politics,NA,,,1956-11-13_167052081_1_page0.txt,many mentions of election; many mentions of party; many mentions of republican party,Mention the election result after a  loss to  the president,is a state and how is the Republican getting set up after all the year and election it is well-known
same,politics,politics,NA,different,business,NA,YES,,1956-11-17_167080687_1_page0.txt,many mentions of prediction; many mentions of election; many mentions of candidates,"There are several business  , they make and see.",and the voters and those whodid not give
same,politics,politics,NA,different,LABOR,politics,YES,,1956-11-22_167062881_1_page0.txt,many mentions of campaign; many mentions of election; many mentions of political education,Union people and they labor.,how thing went in elections is to come into the
same,politics,politics,NA,same,politics,NA,NO,More about coverage of politics and accuracy of polls than politics themselves,1956-11-23_167025776_1_page0.txt,5 mentions of campaign; 4 mentions of election; 4 mentions of president,Election year  for all kind of the news..,from which I have had an election
same,politics,politics,NA,same,politics,NA,YES+,Discussion of power/electric industry,1956-11-27_167054824_1_page0.txt,2 mentions of campaign; 2 mentions of voters; 1 mention of election,In this story it is the plan of the election that will change to be effective,aftertheelectionit'sthatthegreatprogramelectionisthatisgoodandgreat
same,politics,politics,NA,different,economy,politics,YES+,"Economy, maybe. Campaign funding via taxpayer dollars",1956-11-29_167015571_1_page0.txt,5 mentions of election; 4 mentions of republican; 3 mentions of party,"All the expense are more to spent for taxes , to make the election to be more expensive .","the and for an election this year. But this what will take, what to do that would, or will help"
different,other,business,NA,different,business,NA,YES,,1956-11-30_167046802_1_page0.txt,NA,"The story is business, if  all this activity will give to the better job",the has helped the government that government that should and all
same,politics,politics,NA,different,LABOR,NA,YES,,1956-12-07_167005914_1_page0.txt,many mentions of political activities; many mentions of election; many mentions of campaign,Mentions violation from the part  time,that these things and that an Election has to go on to
different,politics,voter_turnout,NA,different,voter_turnout,NA,YES,,1956-12-12_167107864_1_page0.txt,many mentions of vote; many mentions of elections; many mentions of polls,People did not show for the election,what to do and get vote to count right to for the all who got done has what they was
same,politics,politics,NA,same,politics,NA,YES,,1956-12-14_166991089_1_page0.txt,many mentions of democratic parties; many mentions of election; many mentions of campaign,The power  the make the election is a story.,In this Election how you would not have to
same,politics,politics,NA,different,economy,NA,YES+,"Poverty, low-income, marginalized populations ",1956-12-18_167049731_1_page0.txt,2 mentions of campaign; 1 mention of voters; 1 mention of president roosevelt,What could  get from new trade,what to say about Election
different,politics,voter_turnout,NA,different,voter_turnout,NA,YES,,1956-12-20_167045451_1_page0.txt,many mentions of voters; many mentions of election; many mentions of voting,"Voters make election , not to easy to make the situation be better for  each voters.",The voting law of that state of the nation and
same,politics,politics,NA,same,politics,NA,YES,,1956-12-22_167097904_1_page0.txt,many mentions of nixon; many mentions of president; many mentions of stassen,Candidate the election come by and to make every thing easy.,what to come of Election how do you have the state and the nation to
same,other,other,NA,different,LABOR,NA,YES,,1956-12-26_167013872_1_page0.txt,NA,The workers who has more value.,NA
different,politics,other,NA,same,politics,NA,YES,,1956-12-27_166981449_1_page0.txt,1 mention of political ideas; 1 mention of president truman; 1 mention of political head,Science in a political position.,NA
NA,NA,politics,NA,NA,NA,NA,Not found,Not found,1956-06-26_166904773_1_page0.txt,NA,NA,"democraticleaderstocommentonphysicafitnessofthecandidates, asthiswillbeafactortheelection"
NA,NA,politics,NA,NA,NA,NA,Not Found,,1956-11-20_167030467_1_page0.txt,NA,NA,and in a great election
