changed_july24,jan7_category,july24_category1,july24_category2,changed_oct20,Oct20_category1,Oct20_category2,july24_correct,july24_human_comments,filename,jan7_explanation,oct_20explanation,july24_explanation
different,voter_turnout,politics,NA,different,politics,NA,YES+,Definitely also business or economy as it directly discusses the reelationship and impact of politics on farmers and the agricultural industry is a huge financial powerhouse in America,1956-04-19_166931315_1_page0.txt,"9 mentions of votes/voters, 3 demographic breakdowns, 1 turnout rate, 1 absentee voting, 1 poll, 1 numerical quantity","Discusses primary votes, elections, and seasoned politicians.","theimportanceofthefarmvoteandconsequentlythefarmrevoltaregreatlyexaggerated, inpresidentsreelectionproblemsthatwouldaffecttheresultingoutcomeoftheelection"
different,other,politics,NA,different,economy,politics,YES,,1956-05-04_166942067_1_page0.txt,NA,"Expensive programs, a presidential election, and record tax payments.","maybeaskingourselveswhetherwecanreallyaffordpresidentialelections, bothpartiesarerecklesslybiddingforourvoteswithourmoney"
different,other,business,NA,different,business,NA,YES,,1956-05-08_166912917_1_page0.txt,NA,"Insurance companies, potential danger of the new generation of power, Electric company is mentioned.",providing insurane uptop 500000000.00 against atomic reactor accident that may spread inurious materials over a wide area
same,other,other,NA,different,economy,NA,NO,Definitely economy as it discusses funding of welfare,1956-05-15_166921781_1_page0.txt,NA,Mentions OAS and the amount that the government would owe.,NA
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-05-18_166972318_1_page0.txt,"2 mentions of voter turnout, 2 Get-out-the-vote efforts","Mentioned president, democratic statement and  voters.","aregravelyburdeningthepatiencenottosaythesenseofhumorofthepeoplewhohearorreadabouttheirspeeches, thisveryindifferencemaybeaperiltotherepublicanparty"
same,other,other,NA,different,economy,NA,YES+,Def economy as it covers the national debt,1956-05-23_166967752_1_page0.txt,NA,"Mentions debts, taxpayers and the federal government.",NA
same,other,other,NA,same,other,NA,YES?,Supreme court = politics ?,1956-05-24_166952012_1_page0.txt,NA,NA,NA
different,voter_turnout,business,NA,different,LABOR,politics,YES,,1956-05-29_166942378_1_page0.txt,2 mentions of Get-out-the-vote efforts,Mentions organized labor to elect a Congressmen and senators and election year.,rejoiceandtogoalloutineffortandexpensethiselectionyeartoelectprolaborcongressmenandsenators
same,other,other,NA,same,other,NA,YES,,1956-05-31_166955164_1_page0.txt,NA,NA,NA
different,voter_turnout,politics,NA,different,politics,NA,YES+,Also business as there was a lot of discussion of the relationship between candidates and businessmen as well as their labor policy,1956-06-06_166953689_1_page0.txt,2 mentions of votes,"Mentions the election of senator, and candidates.","inthecomingelection, Republican affection"
different,other,business,NA,different,business,NA,YES+,Def also economy as it discusses the great depression,1956-06-07_166972889_1_page0.txt,NA,Mentions loan to business and to railroads.,major builder of a great city and as public administor
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-06-12_166965487_1_page0.txt,"3 mentions of votes, 1 election returns, 1 demographic breakdowns, 1 numerical quantities",Mentions candidates and Republican and Democratic district,"willtheregophavecontrolofthehouse, witheisenhowerontheticket"
same,other,other,NA,same,other,NA,YES,,1956-06-13_166981229_1_page0.txt,NA,NA,NA
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-06-14_166942731_1_page0.txt,"6 mentions of election outcomes, 2 Get-out-the-vote efforts, 1 barriers to voting, 1 numerical quantities","Mentioned leader of tammany hall, and democratic national committee.",whocontrivedthenominationofaverellharrimanforthegovernorshipofnewyorkandnowseemstobemanagingtheharrimandrivetonominatethenewyorkgovernorforthepresidency
different,other,politics,NA,different,politics,NA,YES+,Economy as it discusses the price of lare scale projects,1956-06-19_166927499_1_page0.txt,NA,Talked about politicians and election.,In this session there was unbelievable logrolling. A current example is contained in a report of a deal.
different,other,politics,NA,different,politics,NA,YES,Also about presidential health,1956-06-21_166961475_1_page0.txt,NA,"Partisan source is charging, presidents and doctors is political propaganda.","thiscampaign, inrecentyearsimagineitisthentherewillbeanelection."
different,other,politics,NA,different,politics,LABOR,YES+,Also business -> discussion of farmers union and other organizations relationship with Democratic part,1956-07-02_166987194_1_page0.txt,NA,The democratic party is mentioned several times and AFL-CIO are pushing.,"thoseDemocratswhobelieveinaconservativeapproachtopublicproblemsshouldbegintopack, foritmaywellbethatbeforeanotherpresidentialyearcomeseverythingbutthenameofthedemocraticpartywillhavegone"
different,voter_turnout,politics,NA,different,politics,LABOR,YES,,1956-07-03_166977307_1_page0.txt,2 mentions of Get-out-the-vote efforts,"AFL-CIO, and Union leaders are mentioned with respect to candidates","The aio, the merger of the aofl and ci, questions if they will endorse any presidential candidate"
different,other,politics,NA,different,politics,NA,YES,Segregation causing different division of aid for school construction,1956-07-05_166973311_1_page0.txt,NA,Congress and powell amendment mentioned several times,"ifthatprovestobetrue, the presidentandcongressmightwelladoptthecoursewhichwouldhavebeenbetterinanyevent"
different,other,economy,NA,different,economy,politics,YES,,1956-07-11_166959354_1_page0.txt,NA,"Secretary, and  Humphrey said in economic term.","tax cuts scheduled to take place, shifts in monetary policy and tax reduction"
different,other,politics,NA,different,politics,NA,YES,,1956-07-17_166984053_1_page0.txt,NA,There is a discussion about states edition laws.,"thereare47suchstatelawssmithhasnowpreparedandintroducedabillhr3tomodifythesocalledpreemptiondoctrine, topermitconcurrentjurisdiction, intheprotectionofthestateanditscitizen"
different,voter_turnout,politics,NA,different,politics,business,YES+,"Business also, discusses businessmen and relationshiop with american public. Surprised this one was not caught",1956-07-20_166968775_1_page0.txt,"2 mentions of votes/voters, 1 demographic breakdowns, 1 Get-out-the-vote effort","Candidates for the democratic nomination mentioned, also talking about businessmen.","businessmencannotbetrustedinpublicoffice, apparentlyinheritedmoneyqualifiesamanforthemanagementofgreataffairsearnedmoneydoesnot"
different,other,politics,NA,different,LABOR,business,YES+,"Economy, discusses tariffs ",1956-07-25_166961624_1_page0.txt,NA,"Mention labor, and business  is very important.","thatbyauthorityoftraditionthecandidateforpresidentshouldchoosethecandidateforvicepresident, perhapssomeamateurtoldhimsoorperhapsdewey"
different,voter_turnout,politics,NA,different,politics,NA,YES,"Discusses education policy, interesting",1956-07-26_166959488_1_page0.txt,"2 mentions of votes, 1 election margin",The article mention election with a  potential senate.,thisyearwitheisenhower
different,voter_turnout,politics,NA,different,politics,NA,YES,Discusses polls but not voter turnout,1956-08-07_166977911_1_page0.txt,"2 mentions of polls, 1 demographic breakdowns","Discusses an election, pollsters, and candidate health.",isasmatterofcoldpoliticsitspromotionbydemocratsandothersofsomewhatdoubtfulrepublicanismwouldfatallyimpairit
different,other,politics,NA,NA,NA,NA,YES,,1956-08-09_167000759_1_page0.txt,NA,NA,hasbeensomethinginthewayoftheconsolationsincethekefauverdelegatesandthenominationwouldbeworthlessinanyevent
different,voter_turnout,politics,economy,different,economy,politics,YES+,Voter turnout,1956-08-11_166987545_1_page0.txt,"1 mention of votes, 1 amount of people participating, 1 barriers to voting","Congress, administration and taxpayers mentioned several times.","spendandelectisstilllegislativeway, wetaxpayersmaybeaskingourselveswhetherwecanreallyaffordpresidentialelections"
different,voter_turnout,politics,NA,different,politics,NA,YES+,"Voter turnout, specifically the catholic vote",1956-08-14_166967202_1_page0.txt,6 mentions of demographic breakdowns of voter participation,"Talked about election, Catholic vote and candidates.","thecatholicvotebecausein1952thesocalledcatholicstatesshowedashifttoeisenhower, isapolticialmove"
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-08-17_166972775_1_page0.txt,"4 mentions of votes/voters, 3 mentions of polls, 1 numerical quantities","Candidate, voters mentioned several times.","preferencepollontherepublicanvicepresidentialnominationamongcaliforniavoters, hishasbeenaprimemoverintheefforttodropnixon"
different,other,politics,NA,different,politics,NA,,"I argue other, as it discusses politics but in a historical/forewarning context",1956-08-20_167030467_1_page0.txt,NA,Mentions parties and the election.,"sanctificationofpartyheroesisoneofthemostamusingtraitsofamericanpolítics, thisiswellshowninthecurrentconventions"
different,voter_turnout,politics,NA,NA,NA,NA,YES+,Voter turnout,1956-08-21_167026995_1_page0.txt,"7 mentions of Get-out-the-vote efforts, 2 demographic breakdowns, 1 voter registration drives",NA,"thekeenestmindsinrepublicanchairmanhallsverylargeandveryablenationalcommitteestaffarenotonthedemocraticnationalticket, campaign"
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-08-22_167024006_1_page0.txt,2 mentions of Get-out-the-vote efforts,Mention election to senator and democratic national committee.,"theresponsibilityforelectingthevitalmarginessentialtopartycontrolhasbeentakenoverbythepoliticalarmsoflaborunions, attendingtherepublicanconvention."
different,other,politics,NA,different,politics,NA,YES,,1956-08-28_166992768_1_page0.txt,NA,Mention a president and his  running mate by an overwhelming support.,"nixonsrole, itwasatraditionthatnixonswasanhonor, president"
different,other,politics,NA,different,politics,NA,YES,,1956-08-31_166992300_1_page0.txt,NA,Mentioned president and election to come and congress is involved.,"thenitialrepublicandocumentnotonlyinthiscampaignbutinyearstocome, allaboutthenews"
different,other,politics,NA,different,politics,NA,YES+,"Business or economy also, as it discusses deealings of the suez canal",1956-09-04_166989848_1_page0.txt,NA,The great issue in this matter it is the violation of the international convention of 1888 which is about politics and policy,electionwhatsoever
different,voter_turnout,politics,NA,different,LABOR,politics,YES,,1956-09-05_166996171_1_page0.txt,"7 mentions of Get-out-the-vote efforts, 1 voters, 1 voter participation, 1 voter turnout",Discussion about Union target Congress.,therecent sessionoftheaflcioexecutive councilatthatsofar is concerned election
different,other,politics,NA,NA,NA,NA,YES+,"Economy too, lots of discussion of economic policies",1956-09-07_167016888_1_page0.txt,NA,NA,I had that for for election is near I to take
different,other,politics,NA,different,economy,politics,YES+,Economy too ? Discuss cost of running government,1956-09-11_167036433_1_page0.txt,NA,1 billions dollars mentioned and also congress is involved.,thathasbeensolicited
different,voter_turnout,politics,NA,different,politics,LABOR,YES,,1956-09-15_167014181_1_page0.txt,8 mentions of Get-out-the-vote efforts,The name eisonhower and mention labor union in politics.,"an election in main, election of 1962"
different,other,politics,NA,different,politics,NA,No,"Other, as it discusses a political book",1956-09-18_167011196_1_page0.txt,NA,It is all related to party and election.,at the end of this campaign
different,voter_turnout,politics,NA,NA,NA,NA,YES+,Voter turnout,1956-09-21_167021069_1_page0.txt,"7 mentions of Get-out-the-vote efforts, 5 numerical quantities/votes, 2 voter turnout",NA,there will have be an election and
different,voter_turnout,politics,NA,different,politics,NA,YES+,Voter turnout,1956-09-24_166996599_1_page0.txt,"4 mentions of voter registration statistics, 3 numerical quantities, 2 Get-out-the-vote efforts, 1 demographic breakdowns, 1 voter access issues",The reaction of republican and it also mention the  candidates,The last four year
different,voter_turnout,politics,NA,different,politics,LABOR,YES+,"Business, discusses the role of the """"business community"""" of voter influence in Seattle",1956-09-26_167002293_1_page0.txt,"3 mentions of votes, 3 mentions of voters, 2 Get-out-the-vote efforts, 1 voter turnout rates",labor unions has a lot of role in election.,to have it in election what is the best way to improve this area
different,voter_turnout,politics,NA,NA,NA,NA,YES,,1956-09-29_166981483_1_page0.txt,"4 mentions of Get-out-the-vote efforts, 1 demographic breakdowns",NA,the fact that with this state an act an election to is very hard to find
different,voter_turnout,politics,NA,different,politics,NA,YES,Tone sounds almost desperate or defeated. Did something happena t this time in history to cause this change?,1956-10-02_167003681_1_page0.txt,"4 mentions of Get-out-the-vote efforts, 2 demographic breakdowns, 1 voter registration statistics, 1 polls, 1 voter turnout rates",Presidents appeal.,to be at his point for an election to be successful to put someone in charge
different,voter_turnout,politics,NA,different,politics,NA,YES,Very poetic or prose-like in tone,1956-10-04_167015295_1_page0.txt,"5 mentions of Get-out-the-vote efforts, 1 voter registration, 1 voter turnout rates",It is a campaign issue about president health.,the last election as some point out and
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-10-06_166998763_1_page0.txt,"2 mentions of Get-out-the-vote efforts, 1 voter registration drives","In this campaign, there  are lots to lose for president and the economy .","during elections, as this election goes, during a party goes out"
different,other,politics,NA,different,politics,NA,YES+,Economy also as it discusses education budget,1956-10-08_167016859_1_page0.txt,NA,Candidate adlal stevenson's policy mentined.,"election years, for President, there is an office to have"
different,other,politics,NA,different,politics,NA,YES,,1956-10-12_166981548_1_page0.txt,NA,President decision making.,"in what is going to happen, it is because it is an election"
same,voter_turnout,voter_turnout,NA,same,voter_turnout,politics,YES,,1956-10-13_167046648_1_page0.txt,"14 numerical quantities, 6 barriers to voting, 6 voter turnout rates, 4 amount of people participating, 1 absentee voting, 1 Get-out-the-vote effort, 1 voter registration, 1 demographic breakdowns",Vote that they prefer and election,estimates just issued by the us census bureau these cover
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-10-16_167027617_1_page0.txt,"4 mentions of numerical quantities, 3 mentions of Get-out-the-vote efforts, 1 mention of voter turnout rates",Many state elections mentined.,during his election with with a majority
different,voter_turnout,politics,NA,different,politics,NA,YES?,Moreso critiquing another political commentator's piece than about politics themselves,1956-10-18_167040314_1_page0.txt,"3 mentions of Get-out-the-vote efforts, 5 mentions of numerical quantities/statistics","Republicans party mention, candidiate it is mostly a  political letter",with all this I can tell is nothing will happened before I go from this post
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-10-20_167038525_1_page0.txt,2 mentions of votes/voters,"Discussion to gain more, if the is election, candidates",this comes near so that that comes near because all that comes from you know
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-10-23_167022818_1_page0.txt,"2 mentions of votes, 2 numerical quantities/voting",To influence the public with action is a vote.,has a lot of has done but the world that cannot control in that time
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-10-27_167015426_1_page0.txt,5 mentions of numerical quantities/statistics,Senate voting,and he's in that way and for that that that is why that happened and
different,voter_turnout,politics,NA,different,LABOR,politics,YES+,Discussion of unions and their rights to support political movements financially,1956-10-31_167008470_1_page0.txt,"6 mentions of Get-out-the-vote efforts, 2 mentions of votes, 1 mention of voter registration",There is arestriction about activities.,for election purposes and everything and nothing will stop it
different,other,politics,NA,different,politics,NA,YES,,1956-11-02_167062796_1_page0.txt,NA,Candidate and elction time mentioned several times.,the results of that great time in the US is that he is in that field of service
different,voter_turnout,politics,NA,different,politics,NA,NO,Criticizes coverage of a campaign but is not directly about politics,1956-11-06_167070736_1_page0.txt,"1 mention of voting patterns, 1 mention of numerical quantities/statistics",Most the article it is to promote the the candidates before the action start.,after this election and the
same,other,other,NA,different,politics,NA,YES,More abstract article about historical context and how it was reflected in Eisenhower election,1956-11-09_167008316_1_page0.txt,NA,The present event about the soviet empire crumbled with history lesson.,NA
different,voter_turnout,politics,NA,different,politics,NA,YES+,Also voter turnout,1956-11-10_166980142_1_page0.txt,"4 mentions of voters, 4 mentions of Get-out-the-vote efforts, 2 mentions of demographic breakdowns",The lesson it is about after an election  and to make the president  to be more stronger,The lessons of election has shown to come through
different,voter_turnout,politics,NA,different,politics,NA,,,1956-11-13_167052081_1_page0.txt,"4 mentions of demographic breakdowns, 2 mentions of numerical quantities/statistics, 1 mention of Get-out-the-vote efforts",Mention the election result after a  loss to  the president,is a state and how is the Republican getting set up after all the year and election it is well-known
different,voter_turnout,politics,NA,different,business,NA,YES,,1956-11-17_167080687_1_page0.txt,6 mentions of numerical quantities/election predictions/polls,"There are several business  , they make and see.",and the voters and those whodid not give
different,voter_turnout,politics,NA,different,LABOR,politics,YES,,1956-11-22_167062881_1_page0.txt,"8 mentions of Get-out-the-vote efforts, 2 mentions of numerical quantities/votes, 1 mention of transporting voters to polls",Union people and they labor.,how thing went in elections is to come into the
different,voter_turnout,politics,NA,different,politics,NA,NO,More about coverage of politics and accuracy of polls than politics themselves,1956-11-23_167025776_1_page0.txt,"2 mentions of polls/surveys, 2 mentions of numerical quantities/election predictions",Election year  for all kind of the news..,from which I have had an election
different,voter_turnout,politics,NA,different,politics,NA,YES+,Discussion of power/electric industry,1956-11-27_167054824_1_page0.txt,"1 mention of Get-out-the-vote efforts, 2 mentions of polls, 2 mentions of voters",In this story it is the plan of the election that will change to be effective,aftertheelectionit'sthatthegreatprogramelectionisthatisgoodandgreat
different,voter_turnout,politics,NA,different,economy,politics,YES+,"Economy, maybe. Campaign funding via taxpayer dollars",1956-11-29_167015571_1_page0.txt,"1 mention of numerical quantities, 2 mentions of Get-out-the-vote efforts","All the expense are more to spent for taxes , to make the election to be more expensive .","the and for an election this year. But this what will take, what to do that would, or will help"
different,other,business,NA,different,business,NA,YES,,1956-11-30_167046802_1_page0.txt,NA,"The story is business, if  all this activity will give to the better job",the has helped the government that government that should and all
different,voter_turnout,politics,NA,different,LABOR,NA,YES,,1956-12-07_167005914_1_page0.txt,"4 mentions of Get-out-the-vote efforts, 1 mention of voting",Mentions violation from the part  time,that these things and that an Election has to go on to
same,voter_turnout,voter_turnout,NA,same,voter_turnout,NA,YES,,1956-12-12_167107864_1_page0.txt,"14 numerical quantities, 6 barriers to voting, 6 voter turnout rates, 4 amount of people participating, 1 absentee voting, 1 Get-out-the-vote effort, 1 voter registration, 1 demographic breakdowns",People did not show for the election,what to do and get vote to count right to for the all who got done has what they was
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-12-14_166991089_1_page0.txt,"1 mention of Get-out-the-vote efforts, 1 numerical quantity",The power  the make the election is a story.,In this Election how you would not have to
different,voter_turnout,politics,NA,different,economy,NA,YES+,"Poverty, low-income, marginalized populations ",1956-12-18_167049731_1_page0.txt,"1 mention of voters, 7 demographic breakdowns, 1 numerical quantity",What could  get from new trade,what to say about Election
same,voter_turnout,voter_turnout,NA,same,voter_turnout,NA,YES,,1956-12-20_167045451_1_page0.txt,"10 mentions of barriers to voting, 6 mentions of absentee voting, 4 mentions of voter registration, 2 mentions of voter suppression, 2 numerical quantities, 1 amount of people participating, 1 registration statistics","Voters make election , not to easy to make the situation be better for  each voters.",The voting law of that state of the nation and
different,voter_turnout,politics,NA,different,politics,NA,YES,,1956-12-22_167097904_1_page0.txt,"3 mentions of polls, 6 mentions of votes, 6 mentions of numerical quantities, 1 mention of Get-out-the-vote efforts",Candidate the election come by and to make every thing easy.,what to come of Election how do you have the state and the nation to
same,other,other,NA,different,LABOR,NA,YES,,1956-12-26_167013872_1_page0.txt,NA,The workers who has more value.,NA
same,other,other,NA,different,politics,NA,YES,,1956-12-27_166981449_1_page0.txt,NA,Science in a political position.,NA
NA,NA,politics,NA,NA,politics,NA,YES?,Talks about presidents but president's health and not so much politics,1956-04-25_166936535_1_page0.txt,NA,Mentions democratic leaders and a presidents health.,"thedemocraticleaderswillpersistinmakingattacksuponthehealthpreservingroutinewhichthepresidentsdoctorshaveprescribed, thatthispresidentwillbeahighriskforthevotingpopulation"
NA,NA,politics,NA,NA,economy,politics,YES?,,1956-07-30_166962149_1_page0.txt,NA,Senate and millions discussed,"whatthiscongress, taxpayerschoicethereforeislimited."
NA,NA,politics,NA,NA,NA,NA,Not found,Not found,1956-06-26_166904773_1_page0.txt,NA,NA,"democraticleaderstocommentonphysicafitnessofthecandidates, asthiswillbeafactortheelection"
NA,NA,politics,NA,NA,NA,NA,Not Found,,1956-11-20_167030467_1_page0.txt,NA,NA,and in a great election
