changed_july24,jan7_category1,jan7_category2,july24_category1,july24_category2,changed_oct20,Oct20_category1,Oct20_category2,july24_correct,july24_human_comments,filename,oct_20explanation,july24_explanation,jan7_explanation
same,business,NA,business,NA,same,business,NA,YES,,1956-03-01_166888260_1_page0.txt,"Mentions the Ford Foundation, business administration, and marketing experiments.",research on business administration,"3 business administration, 2 consumer behavior, 1 marketing experts"
different,other,NA,politics,NA,different,politics,NA,YES,,1956-03-07_166905237_1_page0.txt,"Discusses potential candidates, state chairmen, and the election.","political opinion, presidential candidate",No categories met the 2-mention threshold.
different,other,NA,politics,NA,different,politics,NA,YES,,1956-03-09_166917090_1_page0.txt,"Discusses traditions, candidates, and the political party.","nomination for vice president, presidential candidate",No categories met the 2-mention threshold.
different,business,NA,politics,business,same,business,politics,YES,,1956-03-15_166889978_1_page0.txt,"Discusses big business, small business, and democratic politicians.","bid for votes, small business","3 big business, 2 small businesses, 2 department of commerce"
different,business,NA,politics,NA,different,politics,NA,YES?,could also be business as they briefly discuss natural resource industry but that is more of a policy constraint so I am unsure,1956-03-16_166891660_1_page0.txt,"Mentions a secretary, candidates, and political parties.","coming campaign, fighting morse with sufficient vigor and knowledge","2 public power vs private power, 1 Idaho Power Co."
same,business,NA,business,NA,same,business,NA,YES,,1956-03-20_166937059_1_page0.txt,Mentions antitrust law and corporation size.,antitrust law mentioned,"3 antitrust laws, 1 General Motors, 1 Bethlehem Steel, 1 Youngstown Sheet & Tube"
different,economy,NA,politics,NA,same,economy,politics,YES+,Definitely also business or economy as it directly discusses the reelationship and impact of politics on farmers and the agricultural industry is a huge financial powerhouse in America,1956-03-26_166904773_1_page0.txt,"Farm statistics, presidential campaigns and politicians mentioned several times.","presldential primary campaigns, bid as a price for votes","3 national economy, 1 national product, 1 farm gross national product"
same,business,labor classification,business,NA,different,LABOR,NA,YES,,1956-03-27_166923452_1_page0.txt,"Mentions a strike, unions, and a new federation.",internal weakness of the merger,"3 unions, 2 strike, 2 Westinghouse, 1 economy"
different,other,NA,politics,NA,different,politics,NA,YES,"""""Liberal (nusiance) party"""" made me LOL",1956-03-29_166909981_1_page0.txt,"Discusses electing the president, vice president, and politicians resist efforts.","electing the president and vice president, political decision",No categories met the 2-mention threshold.
different,labor classification,NA,business,NA,different,LABOR,NA,YES,,1956-04-03_166935666_1_page0.txt,Mentions the union shop and railway labor act,unionshop amendment,"4 union shop, 2 union membership, 2 right-to-work"
same,other,NA,other,NA,same,other,NA,YES,,1956-04-10_166951384_1_page0.txt,NA,NA,No categories met the 2-mention threshold.
different,labor classification,NA,politics,NA,different,politics,LABOR,YES?,Not sure if business includes discussion of the labor movement but if that is the case than definitely also business,1956-04-13_166915845_1_page0.txt,Mentions political wisemen in the labor movement and labor leaders in politics.,"political wise men in  the labor movement are  quietly discounting stevenson kefauver and harriman, to the political party","4 labor leaders, 1 AFL, 1 CIO"
different,other,NA,politics,NA,same,other,NA,YES,,1956-04-17_166910108_1_page0.txt,NA,"collegestudentstotakemoreinterestinpolitics, thissurveyresultsshowsthatwomensstudentsweresomewhatmorepoorlyinformedthanthemen",No categories met the 2-mention threshold.
different,other,NA,politics,NA,different,politics,NA,YES+,Definitely also business or economy as it directly discusses the reelationship and impact of politics on farmers and the agricultural industry is a huge financial powerhouse in America,1956-04-19_166931315_1_page0.txt,"Discusses primary votes, elections, and seasoned politicians.","theimportanceofthefarmvoteandconsequentlythefarmrevoltaregreatlyexaggerated, inpresidentsreelectionproblemsthatwouldaffecttheresultingoutcomeoftheelection",No categories met the 2-mention threshold.
different,other,NA,politics,NA,different,politics,NA,YES?,Talks about presidents but president's health and not so much politics,1956-04-25_166936535_1_page0.txt,Mentions democratic leaders and a presidents health.,"thedemocraticleaderswillpersistinmakingattacksuponthehealthpreservingroutinewhichthepresidentsdoctorshaveprescribed, thatthispresidentwillbeahighriskforthevotingpopulation",No categories met the 2-mention threshold.
different,economy,NA,politics,NA,same,economy,politics,YES,,1956-05-04_166942067_1_page0.txt,"Expensive programs, a presidential election, and record tax payments.","maybeaskingourselveswhetherwecanreallyaffordpresidentialelections, bothpartiesarerecklesslybiddingforourvoteswithourmoney","3 spending, 2 tax cuts, 2 fiscal year"
same,business,NA,business,NA,same,business,NA,YES,,1956-05-08_166912917_1_page0.txt,"Insurance companies, potential danger of the new generation of power, Electric company is mentioned.",providing insurane uptop 500000000.00 against atomic reactor accident that may spread inurious materials over a wide area,"4 insurance companies, 3 atomic power, 1 civilian industry"
different,economy,NA,other,NA,same,economy,NA,NO,Definitely economy as it discusses funding of welfare,1956-05-15_166921781_1_page0.txt,Mentions OAS and the amount that the government would owe.,NA,"2 social security, 2 unfunded accrued liability, 1 financial"
different,labor classification,NA,politics,NA,different,politics,NA,YES,,1956-05-18_166972318_1_page0.txt,"Mentioned president, democratic statement and  voters.","aregravelyburdeningthepatiencenottosaythesenseofhumorofthepeoplewhohearorreadabouttheirspeeches, thisveryindifferencemaybeaperiltotherepublicanparty","2 Walter, Victor and Roy Reuther, 1 thousand of workers, 1 corral obedient congressmen"
different,economy,NA,other,NA,same,economy,NA,YES+,Def economy as it covers the national debt,1956-05-23_166967752_1_page0.txt,"Mentions debts, taxpayers and the federal government.",NA,"3 hidden debt, 2 public debt, 1 unfunded accrued liability, 1 taxpayers"
same,other,NA,other,NA,same,other,NA,YES?,Supreme court = politics ?,1956-05-24_166952012_1_page0.txt,NA,NA,No categories met the 2-mention threshold.
different,labor classification,NA,business,NA,different,LABOR,politics,YES,,1956-05-29_166942378_1_page0.txt,Mentions organized labor to elect a Congressmen and senators and election year.,rejoiceandtogoalloutineffortandexpensethiselectionyeartoelectprolaborcongressmenandsenators,"5 union, 3 compulsory unionism, 2 right-to-work laws"
same,other,NA,other,NA,same,other,NA,YES,,1956-05-31_166955164_1_page0.txt,NA,NA,No categories met the 2-mention threshold.
different,labor classification,NA,politics,NA,different,politics,NA,YES+,Also business as there was a lot of discussion of the relationship between candidates and businessmen as well as their labor policy,1956-06-06_166953689_1_page0.txt,"Mentions the election of senator, and candidates.","inthecomingelection, Republican affection","2 organized labor, 1 labor policies, 1 business leaders (political contributions)"
different,economy,NA,business,NA,different,business,NA,YES+,Def also economy as it discusses the great depression,1956-06-07_166972889_1_page0.txt,Mentions loan to business and to railroads.,major builder of a great city and as public administor,"4 Reconstruction Finance Corp (RFC), 3 credit, 2 banks, 2 government credit"
different,labor classification,NA,politics,NA,different,politics,NA,YES,,1956-06-12_166965487_1_page0.txt,Mentions candidates and Republican and Democratic district,"willtheregophavecontrolofthehouse, witheisenhowerontheticket","4 Committee on Political Education (COPE), 1 labor unions, 1 rank and file of labor"
different,economy,NA,other,NA,different,other,NA,YES,,1956-06-13_166981229_1_page0.txt,NA,NA,"2 public money, 1 housing units, 1 housing act, 1 general welfare"
different,labor classification,NA,politics,NA,different,politics,NA,YES,,1956-06-14_166942731_1_page0.txt,"Mentioned leader of tammany hall, and democratic national committee.",whocontrivedthenominationofaverellharrimanforthegovernorshipofnewyorkandnowseemstobemanagingtheharrimandrivetonominatethenewyorkgovernorforthepresidency,"2 American Labor Party, 1 union"
different,business,NA,politics,NA,different,politics,NA,YES+,Economy as it discusses the price of lare scale projects,1956-06-19_166927499_1_page0.txt,Talked about politicians and election.,In this session there was unbelievable logrolling. A current example is contained in a report of a deal.,"2 Idaho Power Co., 1 private investors money, 1 competition, 1 coal industry"
different,other,NA,politics,NA,different,politics,NA,YES,Also about presidential health,1956-06-21_166961475_1_page0.txt,"Partisan source is charging, presidents and doctors is political propaganda.","thiscampaign, inrecentyearsimagineitisthentherewillbeanelection.",No categories met the 2-mention threshold.
different,economy,labor classification,politics,NA,different,politics,LABOR,YES+,Also business -> discussion of farmers union and other organizations relationship with Democratic part,1956-07-02_166987194_1_page0.txt,The democratic party is mentioned several times and AFL-CIO are pushing.,"thoseDemocratswhobelieveinaconservativeapproachtopublicproblemsshouldbegintopack, foritmaywellbethatbeforeanotherpresidentialyearcomeseverythingbutthenameofthedemocraticpartywillhavegone","2 AFL-CIO, 1 labor, 4 economic policy/issues, 2 easy credit, 2 minimum wage, 2 housing, 2 education, 2 resource development, 2 social security, 2 health insurance, 2 agricultural program, 2 price supports, 2 cheap credit, 2 food allotment, 2 private monopoly (power), 2 right-to-work laws"
different,labor classification,NA,politics,NA,different,politics,LABOR,YES,,1956-07-03_166977307_1_page0.txt,"AFL-CIO, and Union leaders are mentioned with respect to candidates","The aio, the merger of the aofl and ci, questions if they will endorse any presidential candidate","2 AFL and CIO, 2 union, 1 labor leaders, 1 labor movement"
different,other,NA,politics,NA,different,politics,NA,YES,Segregation causing different division of aid for school construction,1956-07-05_166973311_1_page0.txt,Congress and powell amendment mentioned several times,"ifthatprovestobetrue, the presidentandcongressmightwelladoptthecoursewhichwouldhavebeenbetterinanyevent",No categories met the 2-mention threshold.
different,business,economy,economy,NA,different,economy,politics,YES,,1956-07-11_166959354_1_page0.txt,"Secretary, and  Humphrey said in economic term.","tax cuts scheduled to take place, shifts in monetary policy and tax reduction","3 economy, 3 business, 2 government spending, 2 monetary policy, 2 tax reduction, 1 unemployment"
different,labor classification,NA,politics,NA,different,politics,NA,YES,,1956-07-17_166984053_1_page0.txt,There is a discussion about states edition laws.,"thereare47suchstatelawssmithhasnowpreparedandintroducedabillhr3tomodifythesocalledpreemptiondoctrine, topermitconcurrentjurisdiction, intheprotectionofthestateanditscitizen","2 AFL-CIO, 2 socialist (preemption), 1 union"
different,business,labor classification,politics,NA,different,politics,business,YES+,"Business also, discusses businessmen and relationshiop with american public. Surprised this one was not caught",1956-07-20_166968775_1_page0.txt,"Candidates for the democratic nomination mentioned, also talking about businessmen.","businessmencannotbetrustedinpublicoffice, apparentlyinheritedmoneyqualifiesamanforthemanagementofgreataffairsearnedmoneydoesnot","8 businessmen/business, 2 salesmanship, 2 labor movement"
different,economy,labor classification,politics,NA,different,LABOR,business,YES+,"Economy, discusses tariffs ",1956-07-25_166961624_1_page0.txt,"Mention labor, and business  is very important.","thatbyauthorityoftraditionthecandidateforpresidentshouldchoosethecandidateforvicepresident, perhapssomeamateurtoldhimsoorperhapsdewey","2 tariff, 2 free trade, 2 international trade, 2 AFL, 2 CIO, 2 unions"
different,labor classification,NA,politics,NA,different,politics,NA,YES,"Discusses education policy, interesting",1956-07-26_166959488_1_page0.txt,The article mention election with a  potential senate.,thisyearwitheisenhower,"2 labor union, 2 organized labor, 1 manpower, 1 union workers"
different,economy,NA,politics,NA,same,economy,politics,YES?,,1956-07-30_166962149_1_page0.txt,Senate and millions discussed,"whatthiscongress, taxpayerschoicethereforeislimited.","2 federal aid, 2 federal money, 1 subsidies, 1 federal expenditures"
different,other,NA,politics,NA,different,politics,NA,YES,Discusses polls but not voter turnout,1956-08-07_166977911_1_page0.txt,"Discusses an election, pollsters, and candidate health.",isasmatterofcoldpoliticsitspromotionbydemocratsandothersofsomewhatdoubtfulrepublicanismwouldfatallyimpairit,No categories met the 2-mention threshold.
different,economy,NA,politics,economy,same,economy,politics,YES+,Voter turnout,1956-08-11_166987545_1_page0.txt,"Congress, administration and taxpayers mentioned several times.","spendandelectisstilllegislativeway, wetaxpayersmaybeaskingourselveswhetherwecanreallyaffordpresidentialelections","3 spending, 2 taxes, 2 fiscal year, 1 appropriations, 1 soil bank, 1 highway program, 1 social security, 1 tax money"
different,labor classification,NA,politics,NA,different,politics,NA,YES+,"Voter turnout, specifically the catholic vote",1956-08-14_166967202_1_page0.txt,"Talked about election, Catholic vote and candidates.","thecatholicvotebecausein1952thesocalledcatholicstatesshowedashifttoeisenhower, isapolticialmove","2 labor, 1 political arms of labor"
different,other,NA,politics,NA,different,politics,NA,YES,,1956-08-17_166972775_1_page0.txt,"Candidate, voters mentioned several times.","preferencepollontherepublicanvicepresidentialnominationamongcaliforniavoters, hishasbeenaprimemoverintheefforttodropnixon",No categories met the 2-mention threshold.
different,other,NA,politics,NA,different,politics,NA,,"I argue other, as it discusses politics but in a historical/forewarning context",1956-08-20_167030467_1_page0.txt,Mentions parties and the election.,"sanctificationofpartyheroesisoneofthemostamusingtraitsofamericanpolítics, thisiswellshowninthecurrentconventions",No categories met the 2-mention threshold.
different,labor classification,NA,politics,NA,different,politics,NA,YES,,1956-08-22_167024006_1_page0.txt,Mention election to senator and democratic national committee.,"theresponsibilityforelectingthevitalmarginessentialtopartycontrolhasbeentakenoverbythepoliticalarmsoflaborunions, attendingtherepublicanconvention.","4 labor unions, 4 AFL-CIO Committee on Political Education (COPE)"
different,other,NA,politics,NA,different,politics,NA,YES,,1956-08-28_166992768_1_page0.txt,Mention a president and his  running mate by an overwhelming support.,"nixonsrole, itwasatraditionthatnixonswasanhonor, president",No categories met the 2-mention threshold.
different,economy,NA,politics,NA,different,politics,NA,YES,,1956-08-31_166992300_1_page0.txt,Mentioned president and election to come and congress is involved.,"thenitialrepublicandocumentnotonlyinthiscampaignbutinyearstocome, allaboutthenews","2 free economy, 2 farmers, 2 labor relations, 2 business cycle"
different,business,economy,politics,NA,different,politics,NA,YES+,"Business or economy also, as it discusses deealings of the suez canal",1956-09-04_166989848_1_page0.txt,The great issue in this matter it is the violation of the international convention of 1888 which is about politics and policy,electionwhatsoever,"4 American oil companies, 2 property, 2 international contract, 1 private aid"
different,labor classification,NA,politics,NA,different,LABOR,politics,YES,,1956-09-05_166996171_1_page0.txt,Discussion about Union target Congress.,therecent sessionoftheaflcioexecutive councilatthatsofar is concerned election,"6 AFL-CIO, 2 union, 2 labor people, 2 labor leader"
different,economy,NA,politics,NA,same,economy,politics,YES+,Economy too ? Discuss cost of running government,1956-09-11_167036433_1_page0.txt,1 billions dollars mentioned and also congress is involved.,thathasbeensolicited,"3 taxpayers, 3 spending, 2 federal government, 2 revenues, 1 national debt"
different,economy,labor classification,politics,NA,different,politics,LABOR,YES,,1956-09-15_167014181_1_page0.txt,The name eisonhower and mention labor union in politics.,"an election in main, election of 1962","2 AFL-CIO, 2 labor unions, 2 labor, 2 prosperity, 1 economic matters"
different,other,NA,politics,NA,different,politics,NA,No,"Other, as it discusses a political book",1956-09-18_167011196_1_page0.txt,It is all related to party and election.,at the end of this campaign,No categories met the 2-mention threshold.
different,labor classification,NA,politics,NA,different,politics,NA,YES+,Voter turnout,1956-09-24_166996599_1_page0.txt,The reaction of republican and it also mention the  candidates,The last four year,"2 organized labor, 1 labor"
different,business,labor classification,politics,NA,different,politics,LABOR,YES+,"Business, discusses the role of the """"business community"""" of voter influence in Seattle",1956-09-26_167002293_1_page0.txt,labor unions has a lot of role in election.,to have it in election what is the best way to improve this area,"3 business, 2 labor unions, 2 organized labor, 1 Teamsters, 1 CIO"
different,business,economy,politics,NA,different,politics,NA,YES,Tone sounds almost desperate or defeated. Did something happena t this time in history to cause this change?,1956-10-02_167003681_1_page0.txt,Presidents appeal.,to be at his point for an election to be successful to put someone in charge,"2 business, 2 profits, 1 national economy, 1 presidential victory"
different,economy,labor classification,politics,NA,different,politics,NA,YES,Very poetic or prose-like in tone,1956-10-04_167015295_1_page0.txt,It is a campaign issue about president health.,the last election as some point out and,"3 economic burden, 2 employment, 2 AFL-CIO Committee on Political Education (COPE), 1 labor"
different,labor classification,NA,politics,NA,different,politics,NA,YES,,1956-10-06_166998763_1_page0.txt,"In this campaign, there  are lots to lose for president and the economy .","during elections, as this election goes, during a party goes out","2 labor’s political arms, 1 AFL-CIO Committee on Political Education (COPE)"
different,economy,NA,politics,NA,different,politics,NA,YES+,Economy also as it discusses education budget,1956-10-08_167016859_1_page0.txt,Candidate adlal stevenson's policy mentined.,"election years, for President, there is an office to have","2 federal government, 2 school needs, 2 appropriation, 1 cost, 1 federal action"
different,other,NA,politics,NA,different,politics,NA,YES,,1956-10-12_166981548_1_page0.txt,President decision making.,"in what is going to happen, it is because it is an election",No categories met the 2-mention threshold.
different,other,NA,voter_turnout,NA,different,voter_turnout,politics,YES,,1956-10-13_167046648_1_page0.txt,Vote that they prefer and election,estimates just issued by the us census bureau these cover,No categories met the 2-mention threshold.
different,labor classification,NA,politics,NA,different,politics,NA,YES,,1956-10-16_167027617_1_page0.txt,Many state elections mentined.,during his election with with a majority,"2 CIO, 1 AFL, 1 labor is split"
different,labor classification,NA,politics,NA,different,politics,NA,YES?,Moreso critiquing another political commentator's piece than about politics themselves,1956-10-18_167040314_1_page0.txt,"Republicans party mention, candidiate it is mostly a  political letter",with all this I can tell is nothing will happened before I go from this post,"2 AFL-CIO Committee on Political Education (COPE), 2 party workers"
different,economy,labor classification,politics,NA,different,politics,NA,YES,,1956-10-20_167038525_1_page0.txt,"Discussion to gain more, if the is election, candidates",this comes near so that that comes near because all that comes from you know,"2 federal government, 2 government control, 1 federal employees, 1 American interests"
different,economy,labor classification,politics,NA,different,politics,NA,YES,,1956-10-23_167022818_1_page0.txt,To influence the public with action is a vote.,has a lot of has done but the world that cannot control in that time,"3 federal government, 2 taxes, 2 subsidies, 2 government control, 2 foreign competition, 2 American interests, 1 labor"
different,other,NA,politics,NA,different,politics,NA,YES,,1956-10-27_167015426_1_page0.txt,Senate voting,and he's in that way and for that that that is why that happened and,No categories met the 2-mention threshold.
different,business,labor classification,politics,NA,different,LABOR,politics,YES+,Discussion of unions and their rights to support political movements financially,1956-10-31_167008470_1_page0.txt,There is arestriction about activities.,for election purposes and everything and nothing will stop it,"4 labor unions, 4 corporations, 2 political expenditures, 2 UAW, 1 business corporations"
different,economy,labor classification,politics,NA,different,politics,NA,YES,,1956-11-02_167062796_1_page0.txt,Candidate and elction time mentioned several times.,the results of that great time in the US is that he is in that field of service,"2 reforms, 2 reciprocal trade, 1 tariffs, 1 Reconstruction Finance Corp, 2 credit, 2 money, 2 spending, 2 investment, 2 federal money, 2 power projects, 2 farmers, 1 business, 1 national policy"
different,other,NA,politics,NA,different,politics,NA,NO,Criticizes coverage of a campaign but is not directly about politics,1956-11-06_167070736_1_page0.txt,Most the article it is to promote the the candidates before the action start.,after this election and the,No categories met the 2-mention threshold.
different,economy,NA,other,NA,different,politics,NA,YES,More abstract article about historical context and how it was reflected in Eisenhower election,1956-11-09_167008316_1_page0.txt,The present event about the soviet empire crumbled with history lesson.,NA,"2 rising standard of living, 1 populations"
different,labor classification,NA,politics,NA,different,politics,NA,YES+,Also voter turnout,1956-11-10_166980142_1_page0.txt,The lesson it is about after an election  and to make the president  to be more stronger,The lessons of election has shown to come through,"2 labor, 2 Committee on Political Education (COPE), 1 union"
different,labor classification,NA,politics,NA,different,politics,NA,,,1956-11-13_167052081_1_page0.txt,Mention the election result after a  loss to  the president,is a state and how is the Republican getting set up after all the year and election it is well-known,"2 union memberships, 1 labor groups"
different,other,NA,politics,NA,different,business,NA,YES,,1956-11-17_167080687_1_page0.txt,"There are several business  , they make and see.",and the voters and those whodid not give,No categories met the 2-mention threshold.
different,labor classification,NA,politics,NA,different,LABOR,politics,YES,,1956-11-22_167062881_1_page0.txt,Union people and they labor.,how thing went in elections is to come into the,"3 CIO, 2 UAW, 2 union"
different,other,NA,politics,NA,different,politics,NA,NO,More about coverage of politics and accuracy of polls than politics themselves,1956-11-23_167025776_1_page0.txt,Election year  for all kind of the news..,from which I have had an election,No categories met the 2-mention threshold.
different,business,labor classification,politics,NA,different,politics,NA,YES+,Discussion of power/electric industry,1956-11-27_167054824_1_page0.txt,In this story it is the plan of the election that will change to be effective,aftertheelectionit'sthatthegreatprogramelectionisthatisgoodandgreat,"3 power policies, 2 private capital, 2 power companies, 2 unions, 1 private investors, 1 taxpayers"
different,economy,labor classification,politics,NA,same,economy,politics,YES+,"Economy, maybe. Campaign funding via taxpayer dollars",1956-11-29_167015571_1_page0.txt,"All the expense are more to spent for taxes , to make the election to be more expensive .","the and for an election this year. But this what will take, what to do that would, or will help","4 spending, 3 taxpayers, 2 tax cuts, 2 budget estimates, 2 labor, 2 farmers, 2 money"
same,business,NA,business,NA,same,business,NA,YES,,1956-11-30_167046802_1_page0.txt,"The story is business, if  all this activity will give to the better job",the has helped the government that government that should and all,"5 business, 2 economy, 2 private enterprise, 1 private business, 1 industry"
different,business,labor classification,politics,NA,different,LABOR,NA,YES,,1956-12-07_167005914_1_page0.txt,Mentions violation from the part  time,that these things and that an Election has to go on to,"3 labor organization, 4 UAW, 3 corporation, 2 political expenditures, 2 unions"
different,other,NA,voter_turnout,NA,different,voter_turnout,NA,YES,,1956-12-12_167107864_1_page0.txt,People did not show for the election,what to do and get vote to count right to for the all who got done has what they was,No categories met the 2-mention threshold.
different,other,NA,politics,NA,different,politics,NA,YES,,1956-12-14_166991089_1_page0.txt,The power  the make the election is a story.,In this Election how you would not have to,No categories met the 2-mention threshold.
different,economy,labor classification,politics,NA,same,economy,NA,YES+,"Poverty, low-income, marginalized populations ",1956-12-18_167049731_1_page0.txt,What could  get from new trade,what to say about Election,"3 low-income families, 2 AFL-CIO, 2 income, 1 money income, 1 economic review, 1 property"
different,other,NA,voter_turnout,NA,different,voter_turnout,NA,YES,,1956-12-20_167045451_1_page0.txt,"Voters make election , not to easy to make the situation be better for  each voters.",The voting law of that state of the nation and,No categories met the 2-mention threshold.
different,other,NA,politics,NA,different,politics,NA,YES,,1956-12-22_167097904_1_page0.txt,Candidate the election come by and to make every thing easy.,what to come of Election how do you have the state and the nation to,No categories met the 2-mention threshold.
different,labor classification,NA,other,NA,different,LABOR,NA,YES,,1956-12-26_167013872_1_page0.txt,The workers who has more value.,NA,"3 workers, 1 workers organizations, 1 organized, 1 population"
same,other,NA,other,NA,different,politics,NA,YES,,1956-12-27_166981449_1_page0.txt,Science in a political position.,NA,No categories met the 2-mention threshold.
different,labor classification,NA,politics,NA,NA,NA,NA,YES,,1956-08-09_167000759_1_page0.txt,NA,hasbeensomethinginthewayoftheconsolationsincethekefauverdelegatesandthenominationwouldbeworthlessinanyevent,"2 bosses of political labor, 1 Ed Crump"
different,labor classification,NA,politics,NA,NA,NA,NA,YES+,Voter turnout,1956-08-21_167026995_1_page0.txt,NA,"thekeenestmindsinrepublicanchairmanhallsverylargeandveryablenationalcommitteestaffarenotonthedemocraticnationalticket, campaign","4 labor, 4 AFL-CIO Committee on Political Education (COPE), 2 union"
different,economy,NA,politics,NA,NA,NA,NA,YES+,"Economy too, lots of discussion of economic policies",1956-09-07_167016888_1_page0.txt,NA,I had that for for election is near I to take,"2 reciprocal trade, 2 tariff, 1 comprehensive planning (river valleys), 1 social security, 1 bank deposits, 1 securities exchange act, 1 spending program"
different,labor classification,NA,politics,NA,NA,NA,NA,YES+,Voter turnout,1956-09-21_167021069_1_page0.txt,NA,there will have be an election and,"4 CIO, 2 union men, 2 labor of the unions"
different,business,economy;labor classification,politics,NA,NA,NA,NA,YES,,1956-09-29_166981483_1_page0.txt,NA,the fact that with this state an act an election to is very hard to find,"2 lumber business, 1 textile business, 3 CIO, 2 workers, 2 tariff argument, 1 American textile industry, 1 Gatt"
NA,other,NA,NA,NA,NA,NA,NA,NA,NA,1956-06-26_166936987_1_page0.txt,NA,NA,No categories met the 2-mention threshold.
NA,business,labor classification,NA,NA,NA,NA,NA,NA,NA,1956-10-09_167023665_1_page0.txt,NA,NA,"2 major industries, 2 coal industry, 3 business community, 1 labor"
NA,business,economy;labor classification,NA,NA,NA,NA,NA,NA,NA,1956-11-20_167074206_1_page0.txt,NA,NA,"2 industrial state, 2 new businesses, 2 economic differences, 2 unionism, 2 labor, 2 Committee on Political Education"
