date,year,filename,category,explanation
1950-08-15,1950,166095570,other,No categories met the 3-mention threshold.
1950-08-16,1950,166092565,LABOR,Contains 3 mentions of union and Walter Reuther's UAW efforts.
1950-08-18,1950,166114994,other,No categories met the 3-mention threshold.
1950-08-20,1950,166109778,other,No categories met the 3-mention threshold.
1950-08-25,1950,166104398,other,No categories met the 3-mention threshold.
1950-08-28,1950,166101063,other,No categories met the 3-mention threshold.
1950-08-29,1950,166068910,other,No categories met the 3-mention threshold.
1950-08-31,1950,166136328,LABOR,"Contains 3 mentions of UAW, union, and strike."
1950-09-05,1950,166168999,other,No categories met the 3-mention threshold.
1950-09-06,1950,166166605,other,No categories met the 3-mention threshold.
1950-09-08,1950,166160545,other,No categories met the 3-mention threshold.
1950-09-13,1950,166121539,other,No categories met the 3-mention threshold.
1950-09-14,1950,166111180,LABOR,Contains 3 mentions of union collective bargaining/wage plans.
1950-09-15,1950,166162429,other,No categories met the 3-mention threshold.
1950-09-18,1950,166138425,other,No categories met the 3-mention threshold.
1950-09-21,1950,166170561,other,No categories met the 3-mention threshold.
1950-09-22,1950,166165970,other,No categories met the 3-mention threshold.
1950-09-28,1950,166177140,other,No categories met the 3-mention threshold.
1950-10-03,1950,166169760,other,No categories met the 3-mention threshold.
1950-10-06,1950,166113089,other,No categories met the 3-mention threshold.
1950-10-09,1950,166121102,other,No categories met the 3-mention threshold.
1950-10-12,1950,166093996,LABOR,Contains 3 mentions of labor organizations/leagues and Taft-Hartley.
1950-10-14,1950,166114938,LABOR,Contains 3 references to labor organizations/leagues and Taft-Hartley.
1950-10-17,1950,166147184,other,No categories met the 3-mention threshold.
1950-10-20,1950,166092060,other,No categories met the 3-mention threshold.
1950-10-26,1950,166125467,other,No categories met the 3-mention threshold.
1950-10-29,1950,166087567,other,No categories met the 3-mention threshold.
1950-10-31,1950,166118091,other,No categories met the 3-mention threshold.
1950-11-02,1950,166156388,other,No categories met the 3-mention threshold.
1950-11-03,1950,166146676,LABOR,Contains 3 mentions of the Labor League and collective bargaining/Taft-Hartley.
1950-11-07,1950,166120198,other,No categories met the 3-mention threshold.
1950-11-09,1950,166123530,other,No categories met the 3-mention threshold.
1950-11-17,1950,166118619,other,No categories met the 3-mention threshold.
1950-11-18,1950,166176676,other,No categories met the 3-mention threshold.
1950-11-21,1950,166185136,other,No categories met the 3-mention threshold.
1950-11-25,1950,166120058,other,No categories met the 3-mention threshold.
1950-11-28,1950,166123732,other,No categories met the 3-mention threshold.
1950-12-02,1950,166196523,LABOR,"Contains 3 mentions of union leaders, workers, and weekly hours/turnover."
1950-12-05,1950,166162410,other,No categories met the 3-mention threshold.
1950-12-07,1950,166160763,other,No categories met the 3-mention threshold.
1950-12-09,1950,166155457,LABOR,Contains 3 mentions of wage increases and labor leaders/workers.
1950-12-12,1950,166153782,other,No categories met the 3-mention threshold.
1950-12-14,1950,166147051,LABOR,Contains 4 mentions of work week and labor force/leaders.
1950-12-18,1950,166182808,other,No categories met the 3-mention threshold.
1950-12-19,1950,166157889,other,No categories met the 3-mention threshold.
1950-12-22,1950,166153267,other,No categories met the 3-mention threshold.
1950-12-23,1950,166165507,other,No categories met the 3-mention threshold.
1950-12-27,1950,166172791,other,No categories met the 3-mention threshold.
1950-12-30,1950,166156643,other,No categories met the 3-mention threshold.
1951-01-03,1951,166191775,other,No categories met the 3-mention threshold.
1951-01-04,1951,166168080,other,No categories met the 3-mention threshold.
1951-01-06,1951,166189246,other,No categories met the 3-mention threshold.
1951-01-08,1951,166170182,other,No categories met the 3-mention threshold.
1951-01-11,1951,166179370,other,No categories met the 3-mention threshold.
1951-01-13,1951,166199798,other,No categories met the 3-mention threshold.
1951-01-16,1951,166169378,other,No categories met the 3-mention threshold.
1951-01-19,1951,166160194,other,No categories met the 3-mention threshold.
1951-01-20,1951,166178615,other,No categories met the 3-mention threshold.
1951-01-24,1951,166186863,other,No categories met the 3-mention threshold.
1951-01-26,1951,166195691,other,No categories met the 3-mention threshold.
1951-01-27,1951,166181045,other,No categories met the 3-mention threshold.
1951-01-30,1951,166178192,other,No categories met the 3-mention threshold.
1951-02-02,1951,166173805,other,No categories met the 3-mention threshold.
1951-02-06,1951,166223965,other,No categories met the 3-mention threshold.
1951-02-07,1951,166202950,other,No categories met the 3-mention threshold.
1951-02-08,1951,166216960,other,No categories met the 3-mention threshold.
1951-02-10,1951,166210938,other,No categories met the 3-mention threshold.
1951-02-14,1951,166148445,other,No categories met the 3-mention threshold.
1951-02-17,1951,166213072,other,No categories met the 3-mention threshold.
1951-02-19,1951,166204095,other,No categories met the 3-mention threshold.
1951-02-20,1951,166193743,other,No categories met the 3-mention threshold.
1951-02-23,1951,166199702,other,No categories met the 3-mention threshold.
1951-02-24,1951,166170185,other,No categories met the 3-mention threshold.
1951-03-03,1951,166196451,other,No categories met the 3-mention threshold.
1951-03-06,1951,166185646,other,No categories met the 3-mention threshold.
1951-03-09,1951,166226904,other,No categories met the 3-mention threshold.
1951-03-13,1951,166223420,other,No categories met the 3-mention threshold.
1951-03-16,1951,166160940,other,No categories met the 3-mention threshold.
1951-03-17,1951,166225944,other,No categories met the 3-mention threshold.
1951-03-20,1951,166209137,other,No categories met the 3-mention threshold.
1951-03-24,1951,166211523,other,No categories met the 3-mention threshold.
1951-03-28,1951,166180964,other,No categories met the 3-mention threshold.
1951-03-29,1951,166161834,other,No categories met the 3-mention threshold.
1951-03-31,1951,166176533,other,No categories met the 3-mention threshold.
1951-04-03,1951,166196210,other,No categories met the 3-mention threshold.
1951-04-05,1951,166242252,other,No categories met the 3-mention threshold.
1951-04-07,1951,166223380,other,No categories met the 3-mention threshold.
1951-04-10,1951,166231018,other,No categories met the 3-mention threshold.
1951-04-12,1951,166233420,other,No categories met the 3-mention threshold.
1951-04-17,1951,166222187,other,No categories met the 3-mention threshold.
1951-04-18,1951,166213456,other,No categories met the 3-mention threshold.
1951-04-19,1951,166227703,other,No categories met the 3-mention threshold.
1951-04-23,1951,166162657,other,No categories met the 3-mention threshold.
1951-04-24,1951,166178563,other,No categories met the 3-mention threshold.
1951-04-27,1951,166212379,other,No categories met the 3-mention threshold.
1951-05-01,1951,166248239,other,No categories met the 3-mention threshold.
1951-05-03,1951,166198731,other,No categories met the 3-mention threshold.
1951-05-05,1951,166199376,other,No categories met the 3-mention threshold.
1951-05-08,1951,166252358,other,No categories met the 3-mention threshold.
1951-05-11,1951,166247587,other,No categories met the 3-mention threshold.
1951-05-12,1951,166180801,other,No categories met the 3-mention threshold.
1951-05-15,1951,166153444,other,No categories met the 3-mention threshold.
1951-05-18,1951,166248737,other,No categories met the 3-mention threshold.
1951-05-19,1951,166212622,other,No categories met the 3-mention threshold.
1951-05-22,1951,166235532,other,No categories met the 3-mention threshold.
1951-05-24,1951,166204871,other,No categories met the 3-mention threshold.
1951-05-26,1951,166241233,other,No categories met the 3-mention threshold.
1951-05-29,1951,166239172,other,No categories met the 3-mention threshold.
1951-06-02,1951,166278893,other,No categories met the 3-mention threshold.
1951-06-04,1951,166212377,LABOR,Contains 3 references to the CIO and tax/wage programs.
1951-06-06,1951,166211806,other,No categories met the 3-mention threshold.
1951-06-08,1951,166198424,other,No categories met the 3-mention threshold.
1951-06-09,1951,166212555,other,No categories met the 3-mention threshold.
1951-06-12,1951,166170188,other,No categories met the 3-mention threshold.
1951-06-14,1951,166167762,other,No categories met the 3-mention threshold.
1951-06-15,1951,166244422,other,No categories met the 3-mention threshold.
1951-06-19,1951,166202549,other,No categories met the 3-mention threshold.
1951-06-22,1951,166195004,LABOR,Contains 3 mentions of union contracts/wage increases.
1951-06-23,1951,166208100,other,No categories met the 3-mention threshold.
1951-06-26,1951,166187474,other,No categories met the 3-mention threshold.
1951-06-29,1951,166251849,other,No categories met the 3-mention threshold.
1951-06-29,1951,166272329,other,No categories met the 3-mention threshold.
1951-07-04,1951,166280112,other,No categories met the 3-mention threshold.
1951-07-06,1951,166244267,other,No categories met the 3-mention threshold.
1951-07-07,1951,166274761,other,No categories met the 3-mention threshold.
1951-07-10,1951,166223211,other,No categories met the 3-mention threshold.
1951-07-12,1951,166248847,other,No categories met the 3-mention threshold.
1951-07-14,1951,166194525,other,No categories met the 3-mention threshold.
1951-07-18,1951,166275214,other,No categories met the 3-mention threshold.
1951-07-21,1951,166220378,other,No categories met the 3-mention threshold.
1951-07-22,1951,166200923,other,No categories met the 3-mention threshold.
1951-07-24,1951,166248503,other,No categories met the 3-mention threshold.
1951-07-27,1951,166227927,other,No categories met the 3-mention threshold.
1951-07-28,1951,166211932,other,No categories met the 3-mention threshold.
1951-07-31,1951,166224969,LABOR,Contains 3 references to the AFL/TVA and labor union organizing.
1951-08-02,1951,166233632,other,No categories met the 3-mention threshold.
1951-08-04,1951,166229322,other,No categories met the 3-mention threshold.
1951-08-07,1951,166267958,other,No categories met the 3-mention threshold.
1951-08-11,1951,166219587,other,No categories met the 3-mention threshold.
1951-08-13,1951,166231447,other,No categories met the 3-mention threshold.
1951-08-14,1951,166245280,other,No categories met the 3-mention threshold.
1951-08-16,1951,166280788,other,No categories met the 3-mention threshold.
1951-08-18,1951,166277589,other,No categories met the 3-mention threshold.
1951-08-21,1951,166246778,other,No categories met the 3-mention threshold.
1951-08-23,1951,166267132,other,No categories met the 3-mention threshold.
1951-08-25,1951,166273857,LABOR,Contains 3 mentions of the CIO union.
1951-08-28,1951,166225647,other,No categories met the 3-mention threshold.
1951-08-30,1951,166187036,other,No categories met the 3-mention threshold.
1951-09-01,1951,166261134,LABOR,Contains 3 mentions of wage/Wages and Wage Stabilization Board/cost-of-living.
1951-09-04,1951,166263938,LABOR,Contains 5 mentions of labor union and Quill's TWU/AFL.
1951-09-06,1951,166244613,other,No categories met the 3-mention threshold.
1951-09-08,1951,166256843,other,No categories met the 3-mention threshold.
1951-09-11,1951,166277951,other,No categories met the 3-mention threshold.
1951-09-13,1951,166233713,other,No categories met the 3-mention threshold.
1951-09-14,1951,166234261,other,No categories met the 3-mention threshold.
1951-09-18,1951,166231580,other,No categories met the 3-mention threshold.
1951-09-22,1951,166212680,other,No categories met the 3-mention threshold.
1951-09-25,1951,166220692,other,No categories met the 3-mention threshold.
1951-09-27,1951,166287552,other,No categories met the 3-mention threshold.
1951-09-29,1951,166234257,other,No categories met the 3-mention threshold.
1951-10-02,1951,166262673,other,No categories met the 3-mention threshold.
1951-10-04,1951,166231258,other,No categories met the 3-mention threshold.
1951-10-06,1951,166227731,other,No categories met the 3-mention threshold.
1951-10-09,1951,166260905,other,No categories met the 3-mention threshold.
1951-10-11,1951,166242397,other,No categories met the 3-mention threshold.
1951-10-12,1951,166218590,other,No categories met the 3-mention threshold.
1951-10-18,1951,166247406,other,No categories met the 3-mention threshold.
1951-10-20,1951,166263155,other,No categories met the 3-mention threshold.
1951-10-24,1951,166254371,other,No categories met the 3-mention threshold.
1951-10-25,1951,166258750,other,No categories met the 3-mention threshold.
1951-10-27,1951,166218892,other,No categories met the 3-mention threshold.
1951-10-30,1951,166259510,other,No categories met the 3-mention threshold.
1951-11-01,1951,166282310,other,No categories met the 3-mention threshold.
1951-11-02,1951,166319146,other,No categories met the 3-mention threshold.
1951-11-07,1951,166282637,LABOR,Contains 3 mentions of the CIO-PAC and campaign/working systems.
1951-11-08,1951,166283038,other,No categories met the 3-mention threshold.
1951-11-10,1951,166261608,other,No categories met the 3-mention threshold.
1951-11-13,1951,166282772,other,No categories met the 3-mention threshold.
1951-11-15,1951,166283011,other,No categories met the 3-mention threshold.
1951-11-20,1951,166282599,other,No categories met the 3-mention threshold.
1951-11-21,1951,166286250,other,No categories met the 3-mention threshold.
1951-11-22,1951,166292039,other,No categories met the 3-mention threshold.
1951-11-27,1951,166258364,other,No categories met the 3-mention threshold.
1951-11-29,1951,166283545,other,No categories met the 3-mention threshold.
1951-11-30,1951,166298105,other,No categories met the 3-mention threshold.
1951-12-01,1951,166283512,other,No categories met the 3-mention threshold.
1951-12-05,1951,166304381,LABOR,"Contains 3 references to labor unions, work stoppages, and incentive plans."
1951-12-07,1951,166253918,other,No categories met the 3-mention threshold.
1951-12-11,1951,166276049,LABOR,Contains 3 references to labor unions and the Wagner Act.
1951-12-14,1951,166300476,LABOR,Contains 3 mentions of the CIO/union and wage disputes.
1951-12-15,1951,166288148,other,No categories met the 3-mention threshold.
1951-12-18,1951,166254597,other,No categories met the 3-mention threshold.
1951-12-20,1951,166287775,other,No categories met the 3-mention threshold.
1951-12-22,1951,166284847,LABOR,Contains 3 references to union members/wage issues.
1951-12-25,1951,166248204,other,No categories met the 3-mention threshold.
1951-12-27,1951,166287511,other,No categories met the 3-mention threshold.
1951-12-29,1951,166309511,LABOR,"Contains 3 references to union contracts, guaranteed annual wage, and employment."
1952-01-02,1952,166323256,other,No categories met the 3-mention threshold.
1952-01-04,1952,166298915,other,No categories met the 3-mention threshold.
1952-01-05,1952,166314587,other,No categories met the 3-mention threshold.
1952-01-10,1952,166302899,other,No categories met the 3-mention threshold.
1952-01-12,1952,166321958,other,No categories met the 3-mention threshold.
1952-01-15,1952,166264316,other,No categories met the 3-mention threshold.
1952-01-17,1952,166317610,other,No categories met the 3-mention threshold.
1952-01-19,1952,166337963,other,No categories met the 3-mention threshold.
1952-01-22,1952,166302653,other,No categories met the 3-mention threshold.
1952-01-24,1952,166278470,other,No categories met the 3-mention threshold.
1952-01-29,1952,166264236,other,No categories met the 3-mention threshold.
1952-02-01,1952,166325393,other,No categories met the 3-mention threshold.
1952-02-02,1952,166323794,LABOR,Contains 3 references to labor movement and union organizations.
1952-02-05,1952,166300785,other,No categories met the 3-mention threshold.
1952-02-07,1952,166281047,other,No categories met the 3-mention threshold.
1952-02-12,1952,166296948,other,No categories met the 3-mention threshold.
1952-02-15,1952,166306482,LABOR,Contains 3 mentions of union leaders/wages and collective bargaining.
1952-02-16,1952,166288684,LABOR,Contains 3 mentions of union leaders/wages.
1952-02-21,1952,166265358,other,No categories met the 3-mention threshold.
1952-02-22,1952,166362583,LABOR,"Contains 3 references to the CIO, unionism, and company conflicts."
1952-02-26,1952,166300532,other,No categories met the 3-mention threshold.
1952-03-01,1952,166339856,other,No categories met the 3-mention threshold.
1952-03-07,1952,166304692,other,No categories met the 3-mention threshold.
1952-03-08,1952,166353161,other,No categories met the 3-mention threshold.
1952-03-11,1952,166335215,other,No categories met the 3-mention threshold.
1952-03-17,1952,166295491,other,No categories met the 3-mention threshold.
1952-03-28,1952,166312875,other,No categories met the 3-mention threshold.
1952-03-29,1952,166294584,other,No categories met the 3-mention threshold.
1952-04-01,1952,166354996,other,No categories met the 3-mention threshold.
1952-04-04,1952,166352654,other,No categories met the 3-mention threshold.
1952-04-09,1952,166333650,LABOR,Contains 3 references to the CIO union/payrolls in the steel dispute.
1952-04-11,1952,166352921,other,No categories met the 3-mention threshold.
1952-04-15,1952,166333633,other,No categories met the 3-mention threshold.
1952-04-17,1952,166277421,other,No categories met the 3-mention threshold.
1952-04-19,1952,166317767,other,No categories met the 3-mention threshold.
1952-04-21,1952,166333292,LABOR,Contains 3 references to the CIO union in the steel dispute.
1952-04-22,1952,166367999,other,No categories met the 3-mention threshold.
1952-04-26,1952,166359941,other,No categories met the 3-mention threshold.
1952-04-29,1952,166306614,LABOR,Contains 3 references to labor unions and social/political groups.
1952-05-02,1952,166391709,other,No categories met the 3-mention threshold.
1952-05-03,1952,166301931,other,No categories met the 3-mention threshold.
1952-05-06,1952,166354877,other,No categories met the 3-mention threshold.
1952-05-09,1952,166313780,LABOR,Contains 3 references to labor movement and union organizations.
1952-05-10,1952,166369992,other,No categories met the 3-mention threshold.
1952-05-13,1952,166343661,other,No categories met the 3-mention threshold.
1952-05-17,1952,166309876,other,No categories met the 3-mention threshold.
1952-05-20,1952,166337092,other,No categories met the 3-mention threshold.
1952-05-21,1952,166359502,other,No categories met the 3-mention threshold.
1952-05-22,1952,166357659,other,No categories met the 3-mention threshold.
1952-05-24,1952,166289860,LABOR,Contains 3 mentions of union/workers in the steel dispute.
1952-05-27,1952,166359887,other,No categories met the 3-mention threshold.
1952-05-28,1952,166358350,other,No categories met the 3-mention threshold.
1952-05-30,1952,166360926,other,No categories met the 3-mention threshold.
1952-06-03,1952,166359191,other,No categories met the 3-mention threshold.
1952-06-06,1952,166313690,other,No categories met the 3-mention threshold.
1952-06-07,1952,166350863,LABOR,"Contains 3 references to labor unions, the CIO, and the Wagner Act."
1952-06-13,1952,166399096,other,No categories met the 3-mention threshold.
1952-06-14,1952,166410690,other,No categories met the 3-mention threshold.
1952-06-17,1952,166304458,other,No categories met the 3-mention threshold.
1952-06-22,1952,166375944,other,No categories met the 3-mention threshold.
1952-06-24,1952,166371571,other,No categories met the 3-mention threshold.
1952-06-28,1952,166301587,LABOR,Contains 3 mentions of the Taft-Hartley Act/union and steel disputes.
1952-06-30,1952,166384267,LABOR,Contains 3 references to labor/union groups and the CIO-PAC.
1952-07-02,1952,166381179,other,No categories met the 3-mention threshold.
1952-07-04,1952,166363007,other,No categories met the 3-mention threshold.
1952-07-08,1952,166351333,other,No categories met the 3-mention threshold.
1952-07-08,1952,166351377,LABOR,"Contains 3 references to John L. Lewis, unions, and the Taft-Hartley law."
1952-07-09,1952,166352657,other,No categories met the 3-mention threshold.
1952-07-11,1952,166348292,other,No categories met the 3-mention threshold.
1952-07-12,1952,166381348,other,No categories met the 3-mention threshold.
1952-07-13,1952,166392244,other,No categories met the 3-mention threshold.
1952-07-18,1952,166379940,other,No categories met the 3-mention threshold.
1952-07-22,1952,166339967,other,No categories met the 3-mention threshold.
1952-07-23,1952,166371613,other,No categories met the 3-mention threshold.
1952-07-25,1952,166397973,other,No categories met the 3-mention threshold.
1952-07-26,1952,166347052,other,No categories met the 3-mention threshold.
1952-07-29,1952,166347443,LABOR,Contains 4 references to the Wagner Act/labor bosses/Taft-Hartley.
1952-08-01,1952,166340018,other,No categories met the 3-mention threshold.
1952-08-02,1952,166397322,LABOR,Contains 3 references to labor leaders/bosses and union members.
1952-08-05,1952,166348898,other,No categories met the 3-mention threshold.
1952-08-08,1952,166397984,other,No categories met the 3-mention threshold.
1952-08-09,1952,166378994,other,No categories met the 3-mention threshold.
1952-08-12,1952,166380848,other,No categories met the 3-mention threshold.
1952-08-14,1952,166403790,other,No categories met the 3-mention threshold.
1952-08-16,1952,166407436,other,No categories met the 3-mention threshold.
1952-09-10,1952,166373726,other,No categories met the 3-mention threshold.
1952-09-11,1952,166378074,other,No categories met the 3-mention threshold.
1952-09-13,1952,166430466,other,No categories met the 3-mention threshold.
1952-09-17,1952,166360904,other,No categories met the 3-mention threshold.
1952-09-18,1952,166385422,other,No categories met the 3-mention threshold.
1952-09-19,1952,166392105,other,No categories met the 3-mention threshold.
1952-09-23,1952,166423398,other,No categories met the 3-mention threshold.
1952-09-27,1952,166427419,LABOR,"Contains 4 references to collective bargaining, labor unions, and the AFL."
1952-09-30,1952,166345609,LABOR,Contains 3 references to the CIO and labor/wages.
1952-10-02,1952,166430853,other,No categories met the 3-mention threshold.
1952-10-06,1952,166404969,other,No categories met the 3-mention threshold.
1952-10-07,1952,166459522,other,No categories met the 3-mention threshold.
1952-10-09,1952,166391181,other,No categories met the 3-mention threshold.
1952-10-11,1952,166439195,other,No categories met the 3-mention threshold.
1952-10-14,1952,166430128,other,No categories met the 3-mention threshold.
1952-10-17,1952,166432879,other,No categories met the 3-mention threshold.
1952-10-18,1952,166429923,other,No categories met the 3-mention threshold.
1952-10-21,1952,166362068,other,No categories met the 3-mention threshold.
1952-10-25,1952,166440178,other,No categories met the 3-mention threshold.
1952-10-28,1952,166426455,LABOR,Contains 3 references to the Taft-Hartley Act.
1952-10-30,1952,166370930,other,No categories met the 3-mention threshold.
1952-11-01,1952,166397736,LABOR,Contains 4 references to the Wage Stabilization Board/wage increases/union bosses.
1952-11-06,1952,166419765,other,No categories met the 3-mention threshold.
1952-11-07,1952,166414361,other,No categories met the 3-mention threshold.
1952-11-11,1952,166409091,other,No categories met the 3-mention threshold.
1952-11-13,1952,166401211,other,No categories met the 3-mention threshold.
1952-11-19,1952,166428813,other,No categories met the 3-mention threshold.
1952-11-20,1952,166425113,other,No categories met the 3-mention threshold.
1952-11-22,1952,166402042,other,No categories met the 3-mention threshold.
1952-11-26,1952,166387165,LABOR,Contains 3 references to labor unions and the Wagner/Taft-Hartley Acts.
1952-11-27,1952,166446446,other,No categories met the 3-mention threshold.
1952-11-29,1952,166384351,other,No categories met the 3-mention threshold.
1952-12-03,1952,166389917,other,No categories met the 3-mention threshold.
1952-12-04,1952,166417202,other,No categories met the 3-mention threshold.
1952-12-06,1952,166429623,other,No categories met the 3-mention threshold.
1952-12-10,1952,166450727,other,No categories met the 3-mention threshold.
1952-12-12,1952,166424560,other,No categories met the 3-mention threshold.
1952-12-13,1952,166439458,LABOR,Contains 3 references to labor unions and the Durkin appointment.
1952-12-16,1952,166420547,other,No categories met the 3-mention threshold.
1952-12-18,1952,166421381,other,No categories met the 3-mention threshold.
1952-12-20,1952,166403314,other,No categories met the 3-mention threshold.
1952-12-23,1952,166401623,other,No categories met the 3-mention threshold.
1952-12-26,1952,166399296,other,No categories met the 3-mention threshold.
1952-12-27,1952,166448956,other,No categories met the 3-mention threshold.
1952-12-30,1952,166437217,other,No categories met the 3-mention threshold.
1953-01-01,1953,166404887,other,No categories met the 3-mention threshold.
1953-01-03,1953,166438345,other,No categories met the 3-mention threshold.
1953-01-06,1953,166427540,other,No categories met the 3-mention threshold.
1953-01-08,1953,166447453,other,No categories met the 3-mention threshold.
1953-01-10,1953,166458256,other,No categories met the 3-mention threshold.
1953-01-13,1953,166457206,other,No categories met the 3-mention threshold.
1953-01-16,1953,166398676,other,No categories met the 3-mention threshold.
1953-01-17,1953,166475141,other,No categories met the 3-mention threshold.
1953-01-21,1953,166395887,other,No categories met the 3-mention threshold.
1953-01-24,1953,166387593,other,No categories met the 3-mention threshold.
1953-01-27,1953,166452971,other,No categories met the 3-mention threshold.
1953-01-29,1953,166405896,other,No categories met the 3-mention threshold.
1953-01-31,1953,166443756,other,No categories met the 3-mention threshold.
1953-02-03,1953,166462605,other,No categories met the 3-mention threshold.
1953-02-05,1953,166416019,LABOR,Contains 4 mentions of Taft-Hartley/union shop/labor relations.
1953-02-07,1953,166414214,other,No categories met the 3-mention threshold.
1953-02-10,1953,166468536,other,No categories met the 3-mention threshold.
1953-02-13,1953,166442193,other,No categories met the 3-mention threshold.
1953-02-14,1953,166408680,other,No categories met the 3-mention threshold.
1953-02-18,1953,166453083,other,No categories met the 3-mention threshold.
1953-02-21,1953,166446753,other,No categories met the 3-mention threshold.
1953-02-24,1953,166464821,other,No categories met the 3-mention threshold.
1953-02-25,1953,166436304,other,No categories met the 3-mention threshold.
1953-02-26,1953,166449508,other,No categories met the 3-mention threshold.
1953-03-02,1953,166455600,other,No categories met the 3-mention threshold.
1953-03-03,1953,166449575,other,No categories met the 3-mention threshold.
1953-03-05,1953,166422217,other,No categories met the 3-mention threshold.
1953-03-07,1953,166447100,other,No categories met the 3-mention threshold.
1953-03-10,1953,166451557,other,No categories met the 3-mention threshold.
1953-03-12,1953,166484634,other,No categories met the 3-mention threshold.
1953-03-14,1953,166440412,other,No categories met the 3-mention threshold.
1953-03-17,1953,166456029,other,No categories met the 3-mention threshold.
